grammatical	ungrammatical
ù ǔ G ǔ r L X T ě Y T F a D F J Y ǔ n f	ù ǔ G ǔ r L X g T ě Y T F a D F J Y ǔ n f
ǔ ě q E R q W E ǎ L s R ǔ P a Z J B A O	ǔ ě q E R i W E ǎ L s R ǔ P a Z J B A O
á ǒ s z u a f O z ù b p E R A Q y ù u v	á ǒ s z u é f O z ù b p E R A Q y ù u v
à F n q é E K ù u O V a T ě y W e M J ǒ	à F f q é E K ù u O V a T ě y W e M J ǒ
ǎ O é K R X p ǎ N a I B ò I S W w x s ě	ǎ O k é K R X p ǎ N a I B ò I S W w x s ě
é a à g C ó l v M K h h z s ò v N X é O	é Z à g C ó l v M K h h z s ò v N X é O
è o ú S ǒ N a ò X d c E Y Z O J ǒ r y b	è o ú S ǒ N R ò X d c E Y Z O J ǒ r y b
ě w a ǎ g w J J y A w t H à J Z M t z S	k w a ǎ g w J J y A w t H à J Z M t z S
ò é ǒ a X T F M n ǎ i o A à z à N K W L	b ò é ǒ a X T F M n ǎ i o A à z à N K W L
ǒ ǒ X C ó ú a à t H S ò C A J Q i Q f Z	ǒ ǒ X C ó ú j a à t H S ò C A J Q i Q f Z
ú K R B p a j o F ó b s t ǎ s H i N é i	ú K R B p W j o F ó b s t ǎ s H i N é i
A W W K P a T z I t w ě x w t j T l y z	A W W K P r T z I t w ě x w t j T l y z
B n u J X B a J R g i A b P à ò s n Z j	B n u J X B k J R g i A b P à ò s n Z j
C w X N X a C G x w ú z e ò G ǔ a d Q x	C j w X N X a C G x w ú z e ò G ǔ a d Q x
E ú a w c i D h s z a ǎ n d è c J x V K	E ú c a w c i D h s z a ǎ n d è c J x V K
F K o S o a h b j f j t f p a m p ě Y x	F K o S o i h b j f j t f p a m p ě Y x
G R Y Z Z a è j o v j P L ù Y ǒ C K r N	d R Y Z Z a è j o v j P L ù Y ǒ C K r N
H O ù R a p ù N G á I è F J ǒ U s I h A	H O ù R è p ù N G á I è F J ǒ U s I h A
I T x l ǒ Q J G N à w F n q w H r a e h	I T x l ǒ Q J i N à w F n q w H r a e h
J r Y A a ǒ l U g r x ó Z m E D a H X è	J r Y A Y ǒ l U g r x ó Z m E D a H X è
K z n a N ǔ A ǎ m m Y J O o T I Q V r d	g K z n a N ǔ A ǎ m m Y J O o T I Q V r d
M ǔ L S B x l a F á w u b B x X F P T t	M ǔ L S B x l é F á w u b B x X F P T t
N è S q ǔ n X R a L U P d r z v Q à B S	N è S q ǔ n h R a L U P d r z v Q à B S
O G Q ǒ A V a n i U c i w o z N w H ù B	O G Q ǒ A V X n i U c i w o z N w H ù B
P J á W J E a N i S A ǎ ò R n t V ò K c	P J á W h E a N i S A ǎ ò R n t V ò K c
Q T Y Z ǔ N ú p q a á v v j T S m R ǒ ù	Q T Y k ǔ N ú p q a á v v j T S m R ǒ ù
R o G w z I q ò y a b w j à L H n ǒ W ó	R o G w z I q ò b a b w j à L H n ǒ W ó
T ù ó m ò H H à G a N à ù e f è X è P h	T ù ó m ò H H j à G a N à ù e f è X è P h
U à r S l a w y M B e n W y b ǎ k Z ó v	U à r S l j w y M B e n W y b ǎ k Z ó v
V é B y a i M l x ě F y ǒ à D ǎ ǒ à é A	V é B y ě i M l x ě F y ǒ à D ǎ ǒ à é A
W ǒ p a Z G C r v H i I B o Q z m ǎ O n	W ǒ p ó Z G C r v H i I B o Q z m ǎ O n
X M t B l D R J a à X Y B á d ǎ E g N h	X M t B l D R J c à X Y B á d ǎ E g N h
Y Z a A ó z Z g ǔ s A ǔ ú y o i ú d d G	Y Z G A ó z Z g ǔ s A ǔ ú y o i ú d d G
Z n S è W n M H s T à Q R ǒ a b Z ò è D	Z n e è W n M H s T à Q R ǒ a b Z ò è D
a ú ú x h á V d F E i J E r Q e G A ǔ V	O ú ú x h á V d F E i J E r Q e G A ǔ V
a R S d L u q X ǎ P Y h z ǎ u y t M z F	u R S d L u q X ǎ P Y h z ǎ u y t M z F
a i R ù c x Q O W a k Y d L z t i K L r	c i R ù c x Q O W a k Y d L z t i K L r
a x i C è d U u o e d S B U j ǎ M Q G f	o x i C è d U u o e d S B U j ǎ M Q G f
l z ǔ ě U N Z a T J J r n j c U z I P u	l z f ě U N Z a T J J r n j c U z I P u
n ò ó E w z è z ó a M C ǒ a à N J u j s	n f ó E w z è z ó a M C ǒ a à N J u j s
o G R E ò v a d L A V K A J K r C ú Y i	o G R E ò v ò d L A V K A J K r C ú Y i
p P X H H r ù F H ó x G o a L s B B C é	p P X H H r ù F H ó g x G o a L s B B C é
q V z ǔ P J Q F a H t g b J L M B R Z i	q V i ǔ P J Q F a H t g b J L M B R Z i
r w r C a r á L d u ù q b E e K ǔ d ě C	r w r h C a r á L d u ù q b E e K ǔ d ě C
t ǒ B l U I H à a W V h L x h T Y i z X	t ǒ B l U I H j à a W V h L x h T Y i z X
u P r U y ě a E J f M u Q w p k a Z v Z	u P r U y ě H E J f M u Q w p k a Z v Z
v R a ǔ M ó ó i ù Q e N m y h ò ǎ H z ǒ	v R ó ǔ M ó ó i ù Q e N m y h ò ǎ H z ǒ
w Q ù w v è á a é K W e x d c è r x P d	k w Q ù w v è á a é K W e x d c è r x P d
x a M h w G C ǎ X ú ǒ l E k ǎ T b q U d	f x a M h w G C ǎ X ú ǒ l E k ǎ T b q U d
y s é M M r è P p T R B q A a b h L y A	y s é M M r è P p T R B q A C b h L y A
ù ǔ è Q W V n a á P y s N K Q s o a A l X	ù ǔ è d W V n a á P y s N K Q s o a A l X
ǔ D a ǒ ò y d h Y M L O t Q B k K S ò f b	ǔ D c ǒ ò y d h Y M L O t Q B k K S ò f b
á G U è ú ǎ é a Z w a N ǔ W Y s a f E r e	á G U è ú ǎ é h a Z w a N ǔ W Y s a f E r e
