step,epoch,mean_loss,good_scores,bad_scores,diff,batch_size,lr
0,0,40.24754,-66.7968978881836,-66.80103302001953,0.0041351318359375,1,0.001
1,0,46.680477,-66.79474639892578,-66.80058288574219,0.00583648681640625,1,0.001
2,0,35.397472,-66.79241943359375,-66.80020141601562,0.007781982421875,1,0.001
3,0,45.093803,-66.78987121582031,-66.79972076416016,0.00984954833984375,1,0.001
4,0,38.589012,-66.78758239746094,-66.79936218261719,0.01177978515625,1,0.001
5,0,41.83853,-66.78565216064453,-66.79895782470703,0.0133056640625,1,0.001
6,0,40.226685,-66.78372192382812,-66.79877471923828,0.01505279541015625,1,0.001
7,0,40.24636,-66.78176879882812,-66.79843139648438,0.01666259765625,1,0.001
8,0,35.39833,-66.77981567382812,-66.79808044433594,0.0182647705078125,1,0.001
9,0,41.845947,-66.77786254882812,-66.79759216308594,0.0197296142578125,1,0.001
10,0,46.672485,-66.7757568359375,-66.79718780517578,0.02143096923828125,1,0.001
11,0,41.81518,-66.77361297607422,-66.79684448242188,0.02323150634765625,1,0.001
12,0,43.43663,-66.77154541015625,-66.79642486572266,0.02487945556640625,1,0.001
13,0,43.424915,-66.76948547363281,-66.79593658447266,0.02645111083984375,1,0.001
14,0,48.266655,-66.7673110961914,-66.79535675048828,0.028045654296875,1,0.001
15,0,38.617508,-66.76517486572266,-66.79483795166016,0.0296630859375,1,0.001
16,0,35.38354,-66.76316833496094,-66.79425811767578,0.03108978271484375,1,0.001
17,0,33.777473,-66.7610855102539,-66.79376983642578,0.032684326171875,1,0.001
18,0,46.65936,-66.75902557373047,-66.79320526123047,0.0341796875,1,0.001
19,0,41.81661,-66.75687408447266,-66.79268646240234,0.0358123779296875,1,0.001
20,0,33.802658,-66.7549057006836,-66.7921142578125,0.03720855712890625,1,0.001
21,0,40.223175,-66.75299835205078,-66.79151153564453,0.03851318359375,1,0.001
22,0,38.60135,-66.75114440917969,-66.7908935546875,0.0397491455078125,1,0.001
23,0,36.969162,-66.74915313720703,-66.79034423828125,0.04119110107421875,1,0.001
24,0,33.795937,-66.74726104736328,-66.78977966308594,0.04251861572265625,1,0.001
25,0,40.219994,-66.7453842163086,-66.78919982910156,0.04381561279296875,1,0.001
26,0,36.980682,-66.74347686767578,-66.78861236572266,0.045135498046875,1,0.001
27,0,48.294907,-66.74160766601562,-66.78793334960938,0.04632568359375,1,0.001
28,0,48.228058,-66.73966217041016,-66.78728485107422,0.0476226806640625,1,0.001
29,0,38.59238,-66.73783111572266,-66.7865982055664,0.04876708984375,1,0.001
30,0,35.389385,-66.73594665527344,-66.78594970703125,0.0500030517578125,1,0.001
31,0,35.35711,-66.73409271240234,-66.78533935546875,0.05124664306640625,1,0.001
32,0,33.773914,-66.73231506347656,-66.78469848632812,0.0523834228515625,1,0.001
33,0,48.26583,-66.73040008544922,-66.78404998779297,0.05364990234375,1,0.001
34,0,46.652527,-66.7283706665039,-66.78350067138672,0.0551300048828125,1,0.001
35,0,33.776726,-66.7263412475586,-66.7829818725586,0.056640625,1,0.001
36,0,43.43723,-66.72439575195312,-66.78240966796875,0.058013916015625,1,0.001
37,0,48.25771,-66.7223892211914,-66.78179168701172,0.0594024658203125,1,0.001
38,0,35.35331,-66.72032928466797,-66.78121948242188,0.06089019775390625,1,0.001
39,0,48.240208,-66.7182846069336,-66.7806396484375,0.06235504150390625,1,0.001
40,0,45.06682,-66.71643829345703,-66.7799301147461,0.0634918212890625,1,0.001
41,0,44.985645,-66.71443939208984,-66.77926635742188,0.06482696533203125,1,0.001
42,0,36.992043,-66.71247863769531,-66.77857208251953,0.06609344482421875,1,0.001
43,0,40.18059,-66.7104721069336,-66.77793884277344,0.06746673583984375,1,0.001
44,0,33.728386,-66.70838928222656,-66.77735900878906,0.0689697265625,1,0.001
45,0,38.585255,-66.70625305175781,-66.77679443359375,0.0705413818359375,1,0.001
46,0,43.40632,-66.70413970947266,-66.77618408203125,0.07204437255859375,1,0.001
47,0,43.386017,-66.7020492553711,-66.77554321289062,0.07349395751953125,1,0.001
48,0,40.16958,-66.6998291015625,-66.77497100830078,0.07514190673828125,1,0.001
49,0,33.73463,-66.69761657714844,-66.7744369506836,0.07682037353515625,1,0.001
50,0,48.224834,-66.69534301757812,-66.77386474609375,0.078521728515625,1,0.001
51,0,48.207653,-66.6929702758789,-66.77330017089844,0.08032989501953125,1,0.001
52,0,37.018425,-66.69076538085938,-66.77264404296875,0.081878662109375,1,0.001
53,0,44.990208,-66.6884536743164,-66.77200317382812,0.08354949951171875,1,0.001
54,0,48.231903,-66.68617248535156,-66.77131652832031,0.08514404296875,1,0.001
55,0,38.56879,-66.6838150024414,-66.77072143554688,0.08690643310546875,1,0.001
56,0,38.585117,-66.68156433105469,-66.77006530761719,0.0885009765625,1,0.001
57,0,44.973007,-66.67927551269531,-66.76940155029297,0.09012603759765625,1,0.001
58,0,40.220856,-66.67704010009766,-66.76874542236328,0.091705322265625,1,0.001
59,0,38.544224,-66.67484283447266,-66.7680892944336,0.0932464599609375,1,0.001
60,0,46.613953,-66.67268371582031,-66.76741027832031,0.0947265625,1,0.001
61,0,40.157272,-66.67050170898438,-66.76673889160156,0.0962371826171875,1,0.001
62,0,35.378662,-66.66841125488281,-66.76609802246094,0.097686767578125,1,0.001
63,0,33.75849,-66.6663589477539,-66.76545715332031,0.09909820556640625,1,0.001
64,0,43.464745,-66.66451263427734,-66.76471710205078,0.1002044677734375,1,0.001
65,0,35.352123,-66.66259002685547,-66.76399993896484,0.101409912109375,1,0.001
66,0,38.55127,-66.66069030761719,-66.76329040527344,0.10260009765625,1,0.001
67,0,48.14258,-66.65859985351562,-66.76261138916016,0.10401153564453125,1,0.001
68,0,46.58214,-66.65637969970703,-66.76195526123047,0.1055755615234375,1,0.001
69,0,43.390118,-66.65419006347656,-66.76129913330078,0.10710906982421875,1,0.001
70,0,41.730667,-66.65187072753906,-66.76069641113281,0.10882568359375,1,0.001
71,0,43.39405,-66.64958953857422,-66.7601089477539,0.1105194091796875,1,0.001
72,0,33.70078,-66.64725494384766,-66.75952911376953,0.112274169921875,1,0.001
73,0,44.98283,-66.64491271972656,-66.75892639160156,0.114013671875,1,0.001
74,0,41.76641,-66.64256286621094,-66.75833129882812,0.1157684326171875,1,0.001
75,0,33.736633,-66.64029693603516,-66.75776672363281,0.11746978759765625,1,0.001
76,0,36.914753,-66.63798522949219,-66.75723266601562,0.1192474365234375,1,0.001
77,0,40.123955,-66.63560485839844,-66.75670623779297,0.12110137939453125,1,0.001
78,0,44.97717,-66.63321685791016,-66.75614166259766,0.1229248046875,1,0.001
79,0,48.125065,-66.63066101074219,-66.7555923461914,0.12493133544921875,1,0.001
80,0,36.94638,-66.62818145751953,-66.75505065917969,0.12686920166015625,1,0.001
81,0,46.545643,-66.62567138671875,-66.75450134277344,0.1288299560546875,1,0.001
82,0,40.13001,-66.62309265136719,-66.75396728515625,0.1308746337890625,1,0.001
83,0,43.322433,-66.62051391601562,-66.75341033935547,0.13289642333984375,1,0.001
84,0,43.332493,-66.61790466308594,-66.75286102294922,0.13495635986328125,1,0.001
85,0,46.55011,-66.61538696289062,-66.75225067138672,0.13686370849609375,1,0.001
86,0,41.709854,-66.6128158569336,-66.751708984375,0.13889312744140625,1,0.001
87,0,35.338825,-66.61031341552734,-66.75114440917969,0.14083099365234375,1,0.001
88,0,44.94553,-66.60778045654297,-66.75057983398438,0.14279937744140625,1,0.001
89,0,40.12857,-66.60528564453125,-66.75000762939453,0.14472198486328125,1,0.001
90,0,35.290012,-66.60282897949219,-66.74947357177734,0.14664459228515625,1,0.001
91,0,46.525177,-66.60040283203125,-66.74893188476562,0.148529052734375,1,0.001
92,0,45.02416,-66.59813690185547,-66.74824523925781,0.15010833740234375,1,0.001
93,0,43.369083,-66.59587860107422,-66.74752807617188,0.15164947509765625,1,0.001
94,0,33.703915,-66.59370422363281,-66.74683380126953,0.15312957763671875,1,0.001
95,0,43.33562,-66.59154510498047,-66.74617004394531,0.15462493896484375,1,0.001
96,0,46.458664,-66.58922576904297,-66.74557495117188,0.15634918212890625,1,0.001
97,0,36.881218,-66.58686065673828,-66.74504089355469,0.15818023681640625,1,0.001
98,0,38.51985,-66.58451080322266,-66.74446868896484,0.1599578857421875,1,0.001
99,0,35.332584,-66.58216857910156,-66.74388885498047,0.16172027587890625,1,0.001
100,0,41.71379,-66.57984924316406,-66.74333190917969,0.163482666015625,1,0.001
101,0,46.508965,-66.57750701904297,-66.74275970458984,0.165252685546875,1,0.001
