['a', 'b', 'a', 'b', 'a', 'b', 'a', 'c', 'b', 'd', 'a', 'd', 'c', 'b', 'a', 'b', 'a', 'b', 'c', 'c']
['a', 'a', 'a', 'a', 'a', 'a', 'c', 'b', 'd', 'b', 'c', 'b', 'b', 'b', 'd', 'b', 'd', 'c', 'c', 'c']
['a', 'b', 'a', 'b', 'a', 'b', 'c', 'd', 'a', 'b', 'd', 'b', 'd', 'c', 'd', 'b', 'b', 'b', 'd', 'd', 'c', 'd', 'd', 'd', 'b', 'd', 'a', 'c', 'c', 'a', 'd']
['a', 'a', 'a', 'a', 'a', 'c', 'a', 'c', 'b', 'c', 'a', 'b', 'a', 'd', 'd', 'c', 'a', 'a', 'c', 'd', 'c', 'b', 'a', 'a', 'a', 'c', 'a', 'b', 'b', 'a', 'b']
step,epoch,mean_loss,good_scores,bad_scores,diff
0,0,34.547222,-56.15690231323242,-56.139400482177734,-0.0175018310546875
1,0,34.489113,-56.152156829833984,-56.140323638916016,-0.01183319091796875
2,0,33.66556,-56.14725112915039,-56.14128112792969,-0.005970001220703125
3,0,33.094456,-56.14236068725586,-56.142242431640625,-0.000118255615234375
4,0,34.733734,-56.13755798339844,-56.14324188232422,0.00568389892578125
5,0,33.581413,-56.132652282714844,-56.144256591796875,0.01160430908203125
6,0,34.261448,-56.127864837646484,-56.14522171020508,0.01735687255859375
7,0,33.355034,-56.12311553955078,-56.1462516784668,0.023136138916015625
8,0,33.919533,-56.11849594116211,-56.14726638793945,0.02877044677734375
9,0,35.173603,-56.11382293701172,-56.1483154296875,0.03449249267578125
10,0,33.34102,-56.10914993286133,-56.14939880371094,0.040248870849609375
11,0,34.259346,-56.1044921875,-56.15048599243164,0.045993804931640625
12,0,34.28727,-56.09983825683594,-56.151580810546875,0.0517425537109375
13,0,32.765438,-56.095272064208984,-56.15266799926758,0.05739593505859375
14,0,34.32624,-56.09071731567383,-56.153778076171875,0.06306076049804688
15,0,33.251427,-56.08629608154297,-56.15485763549805,0.06856155395507812
