['a', 'b', 'a', 'b', 'a', 'b', 'a', 'c', 'b', 'd', 'a', 'd', 'c', 'b', 'a', 'b', 'a', 'b', 'c', 'c']
['a', 'a', 'a', 'a', 'a', 'a', 'c', 'b', 'd', 'b', 'c', 'b', 'b', 'b', 'd', 'b', 'd', 'c', 'c', 'c']
['a', 'b', 'a', 'b', 'a', 'b', 'c', 'd', 'a', 'b', 'd', 'b', 'd', 'c', 'd', 'b', 'b', 'b', 'd', 'd', 'c', 'd', 'd', 'd', 'b', 'd', 'a', 'c', 'c', 'a', 'd']
['a', 'a', 'a', 'a', 'a', 'c', 'a', 'c', 'b', 'c', 'a', 'b', 'a', 'd', 'd', 'c', 'a', 'a', 'c', 'd', 'c', 'b', 'a', 'a', 'a', 'c', 'a', 'b', 'b', 'a', 'b']
step,epoch,mean_loss,good_scores,bad_scores,diff
0,0,35.210754,-55.82069778442383,-56.46207809448242,0.6413803100585938
1,0,33.384487,-55.70610046386719,-56.958560943603516,1.2524604797363281
2,0,33.367622,-55.47041702270508,-57.239288330078125,1.7688713073730469
3,0,34.431515,-55.16665267944336,-57.38028335571289,2.2136306762695312
4,0,33.212025,-54.96696472167969,-57.6036376953125,2.6366729736328125
5,0,33.52869,-54.799251556396484,-57.860877990722656,3.061626434326172
6,0,32.35862,-54.68154525756836,-58.159568786621094,3.4780235290527344
7,0,31.859472,-54.6189079284668,-58.51723861694336,3.8983306884765625
8,0,33.610428,-54.616127014160156,-58.92084884643555,4.304721832275391
9,0,32.51077,-54.614192962646484,-59.284576416015625,4.670383453369141
10,0,33.089455,-54.59480285644531,-59.66313171386719,5.068328857421875
11,0,32.427124,-54.52834701538086,-59.98152160644531,5.453174591064453
12,0,32.42982,-54.444053649902344,-60.253875732421875,5.809822082519531
13,0,33.6089,-54.34321975708008,-60.47036361694336,6.127143859863281
14,0,32.959858,-54.2742805480957,-60.69001388549805,6.415733337402344
15,0,34.4049,-54.25053787231445,-60.92459487915039,6.6740570068359375
