step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.23135,-54.131752014160156,-55.06159973144531,sp2,32,0.001,40.74818420410156
10,0,40.938976,-53.63680648803711,-54.56348419189453,sp2,32,0.001,39.86256408691406
20,1,40.669136,-53.183597564697266,-54.10687255859375,sp2,32,0.001,40.930538177490234
30,1,40.426575,-52.771575927734375,-53.69213104248047,sp2,32,0.001,40.930694580078125
40,2,40.210194,-52.40644454956055,-53.324188232421875,sp2,32,0.001,38.9965705871582
50,3,40.02327,-52.07968521118164,-52.99616241455078,sp2,32,0.001,39.634029388427734
60,3,39.86084,-51.7911262512207,-52.70698547363281,sp2,32,0.001,40.07128143310547
70,4,39.715553,-51.53656768798828,-52.45132827758789,sp2,32,0.001,40.558048248291016
80,5,39.589188,-51.3066291809082,-52.2214469909668,sp2,32,0.001,40.669822692871094
90,5,39.47902,-51.09468078613281,-52.01081085205078,sp2,32,0.001,39.135372161865234
100,6,39.38014,-50.917972564697266,-51.83360290527344,sp2,32,0.001,38.87376403808594
110,6,39.290306,-50.76364517211914,-51.678131103515625,sp2,32,0.001,39.20270919799805
120,7,39.21501,-50.61882400512695,-51.53421401977539,sp2,32,0.001,39.53919219970703
130,8,39.14605,-50.49163055419922,-51.40703582763672,sp2,32,0.001,39.381954193115234
140,8,39.085358,-50.37833023071289,-51.29391860961914,sp2,32,0.001,38.60993957519531
150,9,39.031197,-50.27289962768555,-51.189231872558594,sp2,32,0.001,39.2596435546875
160,10,38.980362,-50.183963775634766,-51.09974670410156,sp2,32,0.001,37.847389221191406
170,10,38.930115,-50.10323715209961,-51.01778793334961,sp2,32,0.001,38.89994812011719
175,10,38.908314,-50.06490707397461,-50.97935104370117,sp2,32,0.001,40.31187057495117
