form	categorical_judgment
ù ù l Y O l s E à ò ǔ a v j R T X ù N N A é Q G n l M x ǔ Q z	grammatical
á i á o D ǒ ò p O v K ù d ǎ é ǎ A s ě ò q P ǔ z r e X K i z A	grammatical
é Q m y t X p L u e H ě z y D X R x H R Z h q t ó I ù è à o z	grammatical
ě m Z W ù F C X à N q w N ò ǔ N M Z v Y t V á à Q à K J I l y	grammatical
ǒ N j é P X é à V P Y à l G f L S v U I N Z M s A g b L k Z I	grammatical
B R T ó ò e Z D v U E i ǒ r J o J v J c v g Y a v O M A b X i	grammatical
D w a a g L r o b à I è u r C è a d ù w a V o A ě c K h W c v	grammatical
G b ǔ m H h J à W C T T a P x ě p à q ě W ě u ú s L w j B I l	grammatical
J ǎ f b g W a i R h g ǒ ǔ h e b C u M f n ǒ J ó G L ě K Q B ǎ	grammatical
L N U g k á C C ò p Z z D K q B G P w l c M y Y l W I M ǒ F v	grammatical
O ò P S C k O J Z m e g è ǔ ě l r i u ě ú o N j E p Z A è B u	grammatical
Q v C z F é r H a P ú j A W à ě z K W C e S X D j O a z D Q m	grammatical
T S Q ù h ú j x i X N w S X G ù y t W v k ǒ t n T B y ǔ d r z	grammatical
W j z x s f d v f k D e a S Y f t V n O W ù K C t I è U k i Z	grammatical
Z x ǔ O g E W ě x V E s D ù O q Z ú E ó ě m H á O p e ó V s V	grammatical
c K l k ú o x ǒ a S x D W U ó d ǒ B G j ǒ M k q k N x ǎ ú D F	grammatical
e o c ù b k c á S X n J R q d J W n E M h P L G p k D U ǔ w t	grammatical
g v ě d d v a ú X L ò C i D ǒ r w è ǔ L Q r A h B O r n é F W	grammatical
j ě J Y ù ú i I D n U O k J ù w Q ǒ C B t V s ě h S Z ú D J P	grammatical
l W v ě o i ǔ r Y ǎ r O V F J q ě Z P N ò D z ǎ á q á é u L N	grammatical
o ó s b P C S U X z ǎ t ò S e è n R B W ù s a ó A I ú ò p s ǔ	grammatical
q P s ǒ h g y G l m à x q é k t h ù é B a R W G ó ù J ǎ ó w d	grammatical
