step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.0771,-53.94377899169922,-53.954837799072266,sp2,32,0.001,41.2125129699707
10,0,40.79173,-53.45450973510742,-53.57062530517578,sp2,32,0.001,42.018524169921875
20,1,40.53696,-53.00221633911133,-53.231163024902344,sp2,32,0.001,40.49285888671875
30,1,40.313995,-52.596961975097656,-52.93613815307617,sp2,32,0.001,41.647422790527344
40,2,40.115784,-52.238136291503906,-52.67014694213867,sp2,32,0.001,38.58609390258789
50,3,39.940918,-51.92533493041992,-52.43216323852539,sp2,32,0.001,40.279300689697266
60,3,39.789925,-51.64432144165039,-52.229434967041016,sp2,32,0.001,37.954463958740234
70,4,39.652878,-51.40237808227539,-52.037410736083984,sp2,32,0.001,39.82742691040039
80,5,39.530136,-51.188350677490234,-51.862945556640625,sp2,32,0.001,39.58924102783203
90,5,39.42384,-50.99120330810547,-51.71565628051758,sp2,32,0.001,38.07338333129883
100,6,39.32738,-50.821434020996094,-51.576698303222656,sp2,32,0.001,39.37873458862305
110,6,39.242496,-50.6700325012207,-51.45383834838867,sp2,32,0.001,39.793373107910156
120,7,39.17193,-50.53105163574219,-51.355045318603516,sp2,32,0.001,38.912010192871094
130,8,39.10639,-50.40805435180664,-51.25986862182617,sp2,32,0.001,39.149818420410156
140,8,39.044247,-50.301876068115234,-51.16509246826172,sp2,32,0.001,39.37999725341797
150,9,38.9942,-50.20108413696289,-51.09365463256836,sp2,32,0.001,36.6998291015625
160,10,38.95153,-50.10832595825195,-51.03404998779297,sp2,32,0.001,38.035552978515625
170,10,38.91295,-50.021583557128906,-50.97968673706055,sp2,32,0.001,38.61398696899414
175,10,38.892315,-49.984703063964844,-50.94744110107422,sp2,32,0.001,38.39738845825195
