form	categorical_judgment
ù ù H ǔ U g W V E V è p á k A à x ǎ t B	grammatical
ǔ C J u ú w k S ǎ ó P X y s m c t H M ě	grammatical
á X l L F O q A u k a è N I i v F ó ú o	grammatical
à n H P E n r V n à E ǎ Z m w L ò Y H e	grammatical
é ú n s ǒ n A d L r r T f P U e c H m D	grammatical
è M J M w A C l ǔ Z ú K ǒ ú á v N N ǔ à	grammatical
ě Y T j T d O k M s s ǒ H B G P h D à L	grammatical
ó w s P J y s M S ù ó b B z C p k x u Z	grammatical
ǒ U C i K ó G M j ó K y h u f é C s n K	grammatical
ú r i c o P Y H c R N a L ǒ d ǒ ó p q O	grammatical
B é ǔ j w i ù r Y B A T u ǎ B B P ó b ǔ	grammatical
C I ě M q P K i ù X P Z G A O l s u V è	grammatical
D h s r é p T Y I x ǒ ù D B s m è ǎ E v	grammatical
E t g V J f P n ó n g r l j X à B y ù ǒ	grammatical
G à r b G a M v u H i Q U L t n P f E b	grammatical
H C W Y b M B B F T o r q è M K i p X ǎ	grammatical
I Z r t s k T c W t Y x j o c Z Q x p N	grammatical
K ǒ d ǒ ù w O e y m v ǒ Z S A w u z e i	grammatical
L O ù H u g ǔ w R J A à J x j f E g ě b	grammatical
M Q ù b o r è ǔ l v E J L à X x S C è L	grammatical
N T G à H j ò I M O ě ě ú M é R ǎ T K N	grammatical
O i F w a E H s á f y Z e u k g k á I Z	grammatical
P x z à S ǒ K á F u ǒ G J b ě g g D r A	grammatical
R G V F d h S L e J n A O o ù á h F Z v	grammatical
S Z ǎ l i j j F w m G i á v o k b F d j	grammatical
T u G á K e c è u Y z g G c J O s ǎ K ó	grammatical
V H a ǎ ú L C Q o L g o f à S y r F ǎ p	grammatical
W b c ù J w ǔ ò K h A W D b ě I q O n b	grammatical
X v H c J h E K x z a à d c M ǔ n o á w	grammatical
Z ú n A j h p g Z A á M X R P x L ǒ v é	grammatical
a c E é n ě x T è ǒ T L n G T A m c Y f	grammatical
b q B C E b o z ǎ b Q J a u A S e F k q	grammatical
d A f ǔ K y I s u c h ò p B y ó á Z I ò	grammatical
e T é ù G m b ě p t T b x ú Y p è H à l	grammatical
f x X S y L V J Z d ě w i G Y T o K U w	grammatical
h ú X ù e I k r á ǎ l W T g E S y G a ù	grammatical
i R o P t e V O N ò è ǒ è ě r s ě S r ò	grammatical
j n R t ú s n A o f g H x S ǒ ù h M S d	grammatical
l á j w r x K F w s y g W ù A A E N b ò	grammatical
m U h f n Q Z V F F z a d F X á y T u R	grammatical
n p g x k h d á V o E a H I q O ó ě A n	grammatical
p ǎ x O S A P L P N V a E I e a n ě m B	grammatical
q F W S N i A N E K ó á z g I F T ú é Z	grammatical
r P d I O Q I U ě g w ǔ Z m l V l j u R	grammatical
s W s o k á z F G w U á f L G k m ó L v	grammatical
t l m h ǔ C W v Q U ù k ó ò è A E V ú l	grammatical
u v d Q Q ó ò f u D Z Y ǔ d è W c e b o	grammatical
w A o è D a f f ó O r x K P A B m F ó a	grammatical
x B v A A è S W z p r j ǔ z f á ú ó j G	grammatical
y b y à M é è è ú ú X n h K B ó L ò V m	grammatical
ù ǔ e W ǎ f c ò è Q S L T m K f K C e s	ungrammatical
ǔ Q x A K D t a A V B o i k b M S a G Z	ungrammatical
á f D v A c ǒ B d c l g ǎ L O ǒ P Z X q	ungrammatical
à y N T ú c s W K ǒ s S u d M P E Z o N	ungrammatical
é ú u f c k R n d U w d a M W s t à D d	ungrammatical
è a ǔ b a M c v T l e T Z V E u V l N ú	ungrammatical
ě f I a c à ó l à d Z m h M P R g U n C	ungrammatical
ó y a b y n à k r f F E Z e P q R i X S	ungrammatical
ǒ U k d e C ó O w c Y J p P à á g a b w	ungrammatical
ú e ǔ y z e N ò O è l è ǒ u f s N X r n	ungrammatical
A w a N o x b t Z W Z m r j P s R á á K	ungrammatical
