grammatical	ungrammatical
ù à J á z M W p l U O T b E J o W w V g	ù a à J á z M W p l U O T b E J o W w V g
ǔ H T h E Y F L a W l t ǒ g U ǒ J G e ó	ǔ H T h E Y F L a W l t ǒ g U b ǒ J G e ó
á a ǎ K k à I h k ǔ ó y q G t S ù m E J	á a ǎ K k à I h k ǔ ó y q b t S ù m E J
à j ǒ ú n i f W e K a F v ě ò ǒ x ǒ m W	à j ǒ ú n i f W e K a F v b ě ò ǒ x ǒ m W
é è g a á t d ú é D w V Q P ǔ è N s J è	é è g a á t d ú é D b V Q P ǔ è N s J è
è Z n è b ú X b l u P Y ò e p b K l é ǔ	è Z n è a b ú X b l u P Y ò e p b K l é ǔ
ě y d à Z a Y r F M o H f J è d T X i ó	ě y d à Z a Y r F M o H f J è b d T X i ó
ò H C ǔ b ú s C j g V á N Y R R v T R J	ò H a C ǔ b ú s C j g V á N Y R R v T R J
ǒ Q X j e b ǔ M à N h ǎ ǎ b ǒ k N h a p	ǒ Q X j a e b ǔ M à N h ǎ ǎ b ǒ k N h a p
ú Z W Y o ǎ g ú R è v n V b v w b S w c	ú Z W Y o ǎ g ú R a v n V b v w b S w c
A p M C D I l L a E F ǒ ǔ H f J ě l e c	A p M C D I l L a E F ǒ ǔ H f J ě l e b c
B w o N V é E h w u ò k F a y p ǒ Z J K	B w o N V é E h w u ò k F a b y p ǒ Z J K
D K q b J C X Y r ò p B é d ó y ǒ b D Y	D K q b J C X Y r a p B é d ó y ǒ b D Y
F à d V I u L b g E B F H N Q Z ǔ J ò k	F à d a V I u L b g E B F H N Q Z ǔ J ò k
G H c J N X i n F R ú q g X é b ò à b j	G H c J N X i a F R ú q g X é b ò à b j
H W z è T F s l a j G P H ǒ A g h Q n ǒ	H W z è T F s l a j G b H ǒ A g h Q n ǒ
I x ě s U ó W q k è O b x M ù k X ò Z á	I x ě s U a ó W q k è O b x M ù k X ò Z á
K C Q t e ú U ǎ z D g a y f I ù e R M K	K C Q t e ú U ǎ z D g a b f I ù e R M K
L W Y U à w F ǒ E ò j e F q U k á Z b h	L W Y U à w F ǒ E ò j e F q a k á Z b h
M l r G u y J N P a R f f d l C ó P o F	M l r G u y J N P a R f b f d l C ó P o F
O à u y d è o R G N I n m X D n a ǔ S M	O à u y d è o R G N I n m X D n a b S M
P P E é G G C l O C o F J l s m g b T T	P P E é a G G C l O C o F J l s m g b T T
Q p o O X n a g E B a D w ò U o é Z l F	Q p o O X n a g E B a D w ò U o b é Z l F
S S d Z S U a J G ě f q I K U C A ě R f	S S d Z S U a J G ě f q b K U C A ě R f
T d y K m R y ǎ p C y ǎ r a P E o z F K	T d y K m R y ǎ p C y ǎ r a P E b o z F K
U n t k h ù J ù P é W l b q j b x ò S a	U n t k h a J ù P é W l b q j b x ò S a
W ó m á ù m j P j ǒ h S J q v ù G b J è	W ó m á ù m j P j ǒ h S J q a v ù G b J è
X O p U M M ǔ T m E P a à o v y T T v ù	X O p U M M ǔ T m E P a à o b v y T T v ù
Y g K m D a ě i n u k á l D J z r d L C	Y g K m D a ě i n u k á l D J z b d L C
a ǔ F P w l h ǔ V V X i ǔ s U ó k è o d	a ǔ F P w l b h ǔ V V X i ǔ s U ó k è o d
a Q z Y f ó p F d f F a c n n ù O a G ò	a Q z Y f ó p b d f F a c n n ù O a G ò
a r v H j l U l l M h y B w J z K E ǔ j	a r v b j l U l l M h y B w J z K E ǔ j
b s A n c T è i U á N z A ě K M b J g X	b s A n a T è i U á N z A ě K M b J g X
d E d t r M u x e d ě D t H A W b z P k	d E d t r M u x e d ě D a H A W b z P k
e k h N k v c b h G à F Y à ǎ Y ě n j é	e k h N k a c b h G à F Y à ǎ Y ě n j é
g ǔ r G X ó ǒ ù k è m i G x U E b C ǔ P	g ǔ r G a X ó ǒ ù k è m i G x U E b C ǔ P
h b c M ǒ W B ě e f à L è B é K s a q j	h b c M ǒ W B ě e f à L è B é K s a q b
j B i l L B P l e a z F u l r F ǔ M u u	j B i l L B P l e a z F u l r F ǔ M u b
k U P è f W ó l n H t O ě ú O V s S n b	k U P è f W ó a l n H t O ě ú O V s S n b
l s o U A V r ù a á V q d è S C A ǔ ú X	l s o U A V r ù a á V b d è S C A ǔ ú X
n K q u C ú é N I A I n ù O j g O b H ò	n K q u C ú é N I a A I n ù O j g O b H ò
o h G ò A c a G Z S f p T Q ě Q ǒ x d U	o h G ò A c a G Z S f b T Q ě Q ǒ x d U
p k u ǒ J q L l ó M z o n k q E X N à b	p k u ǒ J q L a ó M z o n k q E X N à b
r á b Y ó à t y W h h u N T M J H b n I	a r á b Y ó à t y W h h u N T M J H b n I
s K m u m ù M X a g w Q x á y p v J è M	s K m u m ù M X a g w Q x á y p v b J è M
t X x I j ò a n s d é ù g Q H é t X p R	t X x I j ò a n s d b ù g Q H é t X p R
u y I y N ò z g N K ǒ b e o è r ǎ è e è	u y I y N ò z a N K ǒ b e o è r ǎ è e è
w K s T H n è S A b R C b ò Y M ǎ J b U	w K a T H n è S A b R C b ò Y M ǎ J b U
x N F a O ó ù Q G à y h M U e J q n ě l	x N F a b O ó ù Q G à y h M U e J q n ě l
y e g N C g e r Q A a k P n è a r B E d	y e g N C g e r Q A a k P n è a r B b d
ù ù D E ě i ó A c m o B b i s U x ò F P v	a ù ù D E ě i ó A c m o B b i s U x ò F P v
ǔ F ò V q C h R w m ǒ F q K u b Y ó m U è	ǔ F ò V q C h a w m ǒ F q K u b Y ó m U è
á N a n H y j X r l F Q A h A é t G T Y E	á N a n b y j X r l F Q A h A é t G T Y E
à j é L A X ǔ b f ǎ ò t I N J C R H T D T	à j é L A a X ǔ b f ǎ ò t I N J C R H T D T
é L U P V G q X a ǎ é P A x L M ò B k è x	é L U P V G q X a ǎ é P A x L M ò B k è x b
è P z b m D ù z i z Z S Y J j z ù N X F i	è a z b m D ù z i z Z S Y J j z ù N X F i
ě n R F V L ò z B o ù a D N R U d i Q ù m	ě n R F V L ò z B o ù a D b N R U d i Q ù m
ò A ǎ a n s r G H O U L G T t O e i F g s	ò A ǎ a n b r G H O U L G T t O e i F g s
ǒ W d b Y p l è m d z v M l m ě ù J E q b	ǒ W d b a p l è m d z v M l m ě ù J E q b
ú f ù F n ò l Z S T l D W N Z a è ò é é J	ú f ù F n ò l Z S T l D W N Z a è ò é é b
A r P Z ú n z t a g Z Q G k N e K E v W F	A r P Z ú n z t a g Z Q G b k N e K E v W F
C K j q è J n r j R H p è à ǎ ò b H V u B	C K j q è J n r j R a H p è à ǎ ò b H V u B
D b q S è C V b V Z ǔ Z X F c u J x K z r	D b a q S è C V b V Z ǔ Z X F c u J x K z r
E o à G k l Y H f S T b b D l H Y B j è ú	E o à G a k l Y H f S T b b D l H Y B j è ú
G E n l v f k v d H b ǒ C ò b Z H X M S s	G E n l a v f k v d H b ǒ C ò b Z H X M S s
H g é s J V ú C C m D x ǔ B l W ó G R b T	H g é s a J V ú C C m D x ǔ B l W ó G R b T
J ò k h D F ǒ ǒ P U T I y X d ù B b a m t	J ò k h D F ǒ ǒ a U T I y X d ù B b a m t
K X ǔ d c u ǔ U Y N U m m u I ù q è ě a S	K X ǔ d c u ǔ U Y N U m m u I ù q è ě a S b
L j ǔ ú X a X e J à q k q u J v U k W C C	L j ǔ ú X a X e J à q b q u J v U k W C C
N ǒ q i y K t s d Y ó b F e O P s W j P N	N ǒ q i y K a s d Y ó b F e O P s W j P N
O a Q j N ò u Y N M M m é ú J L a ě Y C t	O a Q j N ò u Y N M M m é ú b L a ě Y C t
Q ǒ R ǔ R y D j u r w c é c è P a c c x J	Q ǒ R ǔ R y D j u r w c é c è P a b c x J
R P B y ò U ǎ ǒ ò M T ǔ L d ù u A ú C b d	R P B y ò U ǎ ǒ ò a M T ǔ L d ù u A ú C b d
S a L t E v I e w H ǒ C I h W D A Z p H e	S a L t E v I e w H ǒ C I h W b D A Z p H e
T p Y ě e e E u t ú ò ǒ J ǎ ě é b p R e z	T p Y ě e e E u t ú ò ǒ J a ǎ ě é b p R e z
V N q N e V a W D O Q i ǔ N M è g C O q z	V N q N e V a W D O Q b ǔ N M è g C O q z
W a M ú ò n L v u K B D T e ú H W N ǔ d U	W a M ú ò n L v u K B D b e ú H W N ǔ d U
X s a c E r ǎ M D S ò u d p u F C è o t g	X s a c E r ǎ M D S ò u d p b u F C è o t g
Z ě a é f d K S m ó y a w L E Y a P i c l	Z ě a é f d K S m ó y a w L E Y a b P i c l
a ú f W D o w j C F ǔ y Q d Y B U g J g i	a ú f b W D o w j C F ǔ y Q d Y B U g J g i
a X T I k L ǎ y H I M C U ó R O m i B h é	a X T I k L ǎ y H I M C U ó b O m i B h é
b ǎ a E l K S à m E s d P j é o H S C s v	b ǎ a E l K S à m E s d P j é o H S C s v b
c G d A M i S i é A a r q i é o t t j j K	c G d A M i S i é A a r q i é o b t t j j K
d a z ě x Y e ó à y ò K D C á B T ǒ Z c B	d a z ě x Y e ó à y ò K D C á b B T ǒ Z c B
f ù t v b a A E n a t l F B B ě Q h B o C	f ù t v b a A E n a t b F B B ě Q h B o C
g é e Z x k J n M a o d T v U l p i y C k	g é e Z x k J n M a o d T v U l p i y b C k
h h I ò é n j c G h j j ǔ ó b V j s ú k b	h h I ò é n j c G h j a j ǔ ó b V j s ú k b
i r è ǔ S R ó a t Y O k l ò x S ù M J ǒ S	i r è ǔ S R ó a t Y O k l b x S ù M J ǒ S
k ǒ é y u v h c Y W x K k k y o X A a U ò	k ǒ é y u v h c Y W x K k k y o X A a U b
l Y u r W o U p t n B ù z Q b G r ǔ ú ǎ H	l Y u r W o U p a t n B ù z Q b G r ǔ ú ǎ H
m t Z s z c g à u b à a Q i ù g s ě m i L	m t Z s z c g à u b à a Q i ù g s ě m i b
o é T E J Y L W Y Y q D C j e X i b J h d	o é T E J Y L W Y a q D C j e X i b J h d
p Z H A y q Y ǔ r o t i z u Z Z b D j h u	p Z H A y q Y ǔ r o a t i z u Z Z b D j h u
q t M m b M ě l E t M é ǔ s P t S U k v V	q a t M m b M ě l E t M é ǔ s P t S U k v V
s ò C J l W g ǒ E p ò b ǒ s b z c T ù L f	s ò C J l W g a ǒ E p ò b ǒ s b z c T ù L f
t j ù T i k W E F i s A p a p P h m P Y O	t j ù T i k W E F i s A p a p P h m P b O
u w O a U K X é A a F K K é K V ǒ ó ù C F	u w O a U K X é A a F K K b K V ǒ ó ù C F
w A m v k j Q é F b U H T r n ǔ Q G D G a	w A m v a k j Q é F b U H T r n ǔ Q G D G a
x G ù N z n à K ǎ T k G B à W T U W F b k	x G ù N z n à K ǎ T k G B à W T U a W F b k
y b ě ǒ c C i P ě J F a à F ò V F e d I ù	y b ě ǒ c C i P ě J F a à F ò V F e d I b ù
ù ǔ e ù k w ú C W b h y g ó ǎ g l ù V ò z H	ù ǔ e ù k w ú a C W b h y g ó ǎ g l ù V ò z H
ǔ E è V j è N Q k n V d M R S o C z t b O ú	a ǔ E è V j è N Q k n V d M R S o C z t b O ú
á M x k b n Q z N N j O E u b A D K W r P O	á M x k b n Q z N N j O a u b A D K W r P O
à b L ǒ Z O F L H K P a N k ǔ U Q z F F B ò	à b L ǒ Z O F L H K P a N k ǔ U Q b z F F B ò
ǎ q v E N n G O D j b E à Q e D y Y O x k g	ǎ q v E N n a O D j b E à Q e D y Y O x k g
è H J l u R S R t w E ǎ i U P p t ó Y ù u b	è H J l u R S R t w E ǎ i U P p t ó Y a ù u b
ě g W i L x N W r V P b l D è é f G I ǔ A S	a ě g W i L x N W r V P b l D è é f G I ǔ A S
ò C G b á k w I C t ú a Z ǔ p Q u m ě R i l	ò C G b á k w I C t ú a Z b ǔ p Q u m ě R i l
ǒ X ǔ u l Y q X z k n l a O g X z u Y G è L	ǒ X ǔ u l Y q X z k n l a O g X b u Y G è L
ú p O Z s á N x Q K b E j W è p h ó Y F f f	ú p O a Z s á N x Q K b E j W è p h ó Y F f f
A v m E R I ě E R O V á é I r q l b C h o y	A v a m E R I ě E R O V á é I r q l b C h o y
C ó w j E y b t a C ǔ D r S n x g L Z è T v	C ó w j E y b t a C ǔ D r S n x g b Z è T v
D F e F R U C L ǔ c C D t R q a a V X ǔ B K	D F e F R U C L ǔ c C D t R q a a V X ǔ b B K
E T y x l X k U V N p g H p u b ó H n r N r	a T y x l X k U V N p g H p u b ó H n r N r
F Y k j Y j g b Q L l f g j h u k g R ě t ǒ	F Y k a Y j g b Q L l f g j h u k g R ě t ǒ
H ǔ B v i k o à o U j ǎ K N J ú g á W b K ò	H ǔ B v i k o à o U j ǎ K N J ú g a á W b K ò
I R z ó k T J E m x w I E r h Z q ě l s A b	I R z ó k T J E m x w a E r h Z q ě l s A b
J h E F r P R A n ù w O o J A á X b l h K f	J h E F r a R A n ù w O o J A á X b l h K f
L ù q H f K á I R x s ǎ a n U á ě N B M ò d	L ù q H f K á I R x s ǎ a n U á ě b N B M ò d
M I e Y d S j R e t h D b W F P á ǔ A k h é	M I e Y d S j a e t h D b W F P á ǔ A k h é
N W M P A K a F V M w ó Q s h W r E c X ě x	N W M P A K a F V M w ó Q s b h W r E c X ě x
P é ú Z N M E W N f ǒ k ǒ x b q i O W a c á	P é ú Z N M E W N f ǒ k ǒ x a b q i O W a c á
Q Y T S a K G O ǔ W y t á o á á d F I M m F	Q Y T S a K G O ǔ W y t á o á á d F b I M m F
R o I s Q R a F I x d ó p d Q m A e é p p s	R o I s Q R a F I x d ó p d Q b m A e é p p s
T ě H z m K t w b v P I à V T X J ó ǒ R u x	T ě H z m K t w a b v P I à V T X J ó ǒ R u x
U Z b m p F X M e M H J ú ǎ f l z a C o t d	a Z b m p F X M e M H J ú ǎ f l z a C o t d
V o l a i à u N U g k M Z ó à m z y e B H ù	V o l a i à u N U g k M Z ó à m z y e B H ù b
X ǎ I ó x C ě Y Y ò x A B J é ǔ o x b r v T	X a I ó x C ě Y Y ò x A B J é ǔ o x b r v T
Y N ó f k k l X b F b à Y d Y X I b ě s l d	Y N ó f k k l X b F b à Y d Y X a I b ě s l d
Z i J ǎ ě X v c q t z G m ò o H u A T b Y ò	Z i J ǎ a X v c q t z G m ò o H u A T b Y ò
a O H V ó é Z t à m f m Q è q ǒ U C á i g I	a O H V ó é Z t à m f m Q è q b ǒ U C á i g I
a v r V ǒ j R ò ó v x y G I P g N P F ò Y w	a v r V ǒ j R ò b ó v x y G I P g N P F ò Y w
c ě s D W M F B M b K a M r k n ù u G I D T	c ě s D W M a F B M b K a M r k n ù u G I D T
d O X H á M Q n ú E v g m i a r y p c t à i	d O X H á M Q n ú E v g m i a r y p c t b i
e j n U T a è Q p Y M o Z l á R m V l ě j l	e j n U T a è Q b Y M o Z l á R m V l ě j l
f x N j h F W d i C Q l Y E M f k y c F b ǔ	f x N j h a W d i C Q l Y E M f k y c F b ǔ
h ú X j a E q Y T l ǔ S q o o p á h è ó s d	h ú X j a E q Y T l ǔ S q b o o p á h è ó s d
i i ě g J ù M d è F q t h r a t D R c U à a	i i ě g J ù M d è F q t h r a b t D R c U à a
k ó p N z s A E L l N g é é u J L c ǎ é b z	k ó p N z s A E L l N g é é u J L c ǎ a b z
l Q C a B u C o é l J á S r P n R I i ú N ǎ	l Q C a B u C o é l J á S r P n R I i b N ǎ
m m a h d F T ě G ú f W ǒ k Z D J i T N f M	m m a h d F T ě G ú f W ǒ k Z D b J i T N f M
