step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.044205,-53.91651153564453,-53.905982971191406,soft_tsl2,32,0.001,41.091094970703125
10,0,41.00482,-53.858192443847656,-53.855106353759766,soft_tsl2,32,0.001,39.99345397949219
20,1,40.966316,-53.80101013183594,-53.805503845214844,soft_tsl2,32,0.001,39.296897888183594
30,1,40.92823,-53.74431610107422,-53.75651550292969,soft_tsl2,32,0.001,42.120399475097656
40,2,40.889797,-53.68703079223633,-53.7070198059082,soft_tsl2,32,0.001,41.57166290283203
50,3,40.851494,-53.62986373901367,-53.657718658447266,soft_tsl2,32,0.001,39.422576904296875
60,3,40.813183,-53.57258987426758,-53.60842514038086,soft_tsl2,32,0.001,40.93853759765625
70,4,40.7746,-53.51490020751953,-53.55887985229492,soft_tsl2,32,0.001,40.44483184814453
80,5,40.735836,-53.45691680908203,-53.50905227661133,soft_tsl2,32,0.001,41.29388427734375
90,5,40.697044,-53.398860931396484,-53.459110260009766,soft_tsl2,32,0.001,41.548858642578125
100,6,40.65832,-53.34077072143555,-53.409446716308594,soft_tsl2,32,0.001,41.50309371948242
110,6,40.61946,-53.28238296508789,-53.35972213745117,soft_tsl2,32,0.001,40.47419357299805
120,7,40.58066,-53.223934173583984,-53.310096740722656,soft_tsl2,32,0.001,40.43256759643555
130,8,40.54186,-53.16547775268555,-53.260459899902344,soft_tsl2,32,0.001,39.893150329589844
140,8,40.50301,-53.10700225830078,-53.21071243286133,soft_tsl2,32,0.001,40.23196029663086
150,9,40.464252,-53.04841613769531,-53.161476135253906,soft_tsl2,32,0.001,41.134273529052734
160,10,40.425533,-52.98978805541992,-53.112159729003906,soft_tsl2,32,0.001,39.52110290527344
170,10,40.387062,-52.931541442871094,-53.06324005126953,soft_tsl2,32,0.001,39.01776123046875
175,10,40.36783,-52.9023323059082,-53.03880310058594,soft_tsl2,32,0.001,41.1668815612793
