grammatical	ungrammatical
a ù ǔ y ǎ s k d B ǎ w p K O s X j W à t	s a ù ǔ y ǎ s k d B ǎ w p K O s X j W à t
a ǔ R q é m ǒ M n F ǒ P x s Q n Q t F Z	b a ǔ R q é m ǒ M n F ǒ P x s Q n Q t F Z
a á v z à U ě t ò A W à u f h x N H i I	e á v z à U ě t ò A W à u f h x N H i I
a ǎ K N ǎ B V d v K y D é U k I k I r è	R a ǎ K N ǎ B V d v K y D é U k I k I r è
a é j M S P c á ǎ u j B g Q ú y G A m A	ú a é j M S P c á ǎ u j B g Q ú y G A m A
a ě à o o x P C ó G X H R d ǒ ò d u ù b	e ě à o o x P C ó G X H R d ǒ ò d u ù b
a ó K c p E u á R X à B O ǎ m U ǔ z p E	ǒ a ó K c p E u á R X à B O ǎ m U ǔ z p E
a ò X n é c u v t H ó B q k V è R R e f	V ò X n é c u v t H ó B q k V è R R e f
a ǒ c U r S à z I P V ù s e y y H ě è y	v a ǒ c U r S à z I P V ù s e y y H ě è y
a ú v Y E N J H d ǒ I o Y P ù P R R u i	j a ú v Y E N J H d ǒ I o Y P ù P R R u i
a B à ò q P y R á h O m I L A D f v E p	g a B à ò q P y R á h O m I L A D f v E p
a C B f E q ò y m X á a C g k l K P w ù	C C B f E q ò y m X á a C g k l K P w ù
a D R D D ě n S c p U é z D ú V ǒ è ò Y	V a D R D D ě n S c p U é z D ú V ǒ è ò Y
a E X j ú O P y i L n s R v y c T D d v	o a E X j ú O P y i L n s R v y c T D d v
a F y V u D é l m U ù L i ě é B Y u ǒ H	i a F y V u D é l m U ù L i ě é B Y u ǒ H
a H ú t N N h e H ǎ b Y h a C r J M E M	Q a H ú t N N h e H ǎ b Y h a C r J M E M
a I M Y g n o L E Q ǔ ǎ W H j N v w q ó	K I M Y g n o L E Q ǔ ǎ W H j N v w q ó
a J c q ǎ n s n h L Z X B s d X r k k G	Q a J c q ǎ n s n h L Z X B s d X r k k G
a L á M X v P ě y m b Z P y b F ó á j w	W L á M X v P ě y m b Z P y b F ó á j w
a M H p g ù e l X p Y I á u N j ǔ p N A	j a M H p g ù e l X p Y I á u N j ǔ p N A
a N S Q p Z E f e w H P H m g ú a A S L	n N S Q p Z E f e w H P H m g ú a A S L
a O w N à H p l g M o ě j t m j ù c a d	J O w N à H p l g M o ě j t m j ù c a d
a Q P á E G L H X I N O i l B b C ǎ j q	P a Q P á E G L H X I N O i l B b C ǎ j q
a R d D m r ù w k z M ò G S R ù x t q è	Z R d D m r ù w k z M ò G S R ù x t q è
a T ǔ m E A è q y H b G ú M à z ò z R E	è T ǔ m E A è q y H b G ú M à z ò z R E
a U P P S y f B J q J ǒ z f i H f G w A	y U P P S y f B J q J ǒ z f i H f G w A
a V p ú ǎ ú G w w c t M X a I h H u ú J	L a V p ú ǎ ú G w w c t M X a I h H u ú J
a W z Q Q Z I d o T g U a F ě F f h x G	l a W z Q Q Z I d o T g U a F ě F f h x G
a Y ú s b á T F f Z z é ó é d U k I v n	L a Y ú s b á T F f Z z é ó é d U k I v n
a Z X V D v S u i s y T ó t ǒ I w J Z C	Y Z X V D v S u i s y T ó t ǒ I w J Z C
a a j ǒ l ù d x L f I d H M l o ě C w e	r a a j ǒ l ù d x L f I d H M l o ě C w e
a b v u f p N i O b ú Y ǎ G f A P O s P	c a b v u f p N i O b ú Y ǎ G f A P O s P
a d A e f J m w t a L I ó é U y c M C j	l d A e f J m w t a L I ó é U y c M C j
a e O y S è y p F ò R M L D R á é ě f P	á e O y S è y p F ò R M L D R á é ě f P
a f v v D ě A l k N á z N ǒ k X m g ǒ p	é f v v D ě A l k N á z N ǒ k X m g ǒ p
a h T á ě T k A g k M è W à g K Z y L A	P h T á ě T k A g k M è W à g K Z y L A
a i a x X g y D k á F j Q ǔ X ǎ ù a á k	g a i a x X g y D k á F j Q ǔ X ǎ ù a á k
a j n ò G u S F t J á Y J ò O Q ò N Z b	z j n ò G u S F t J á Y J ò O Q ò N Z b
a l B L D ǎ ù W y n P u e K U V B W n I	ě l B L D ǎ ù W y n P u e K U V B W n I
a m o v j é R ǎ F t M f q Q f q t c ǎ s	ù a m o v j é R ǎ F t M f q Q f q t c ǎ s
a n w Y Q ú a ó C ǔ I h r p ǒ v m l i à	v a n w Y Q ú a ó C ǔ I h r p ǒ v m l i à
a o v n M g ù E l B à S e ǎ A é j i j ǔ	J o v n M g ù E l B à S e ǎ A é j i j ǔ
a q D n L n o k ú s w q Z L M l A ǒ ǎ w	N a q D n L n o k ú s w q Z L M l A ǒ ǎ w
a r K r à J v c à u R D ě á ǒ g ò X E c	ě a r K r à J v c à u R D ě á ǒ g ò X E c
a s c J k F N L E O ò r q w h j H B K z	H a s c J k F N L E O ò r q w h j H B K z
a t o è H B O è W E p q I O ó K u P X s	E a t o è H B O è W E p q I O ó K u P X s
a v H u t p ó u E a K u h a P T x ǒ t ě	ǎ v H u t p ó u E a K u h a P T x ǒ t ě
a w O v r n K è r Q ǒ U Q v d x t z r v	R a w O v r n K è r Q ǒ U Q v d x t z r v
a x e O r O D I c o j d t u E ò b G l C	T a x e O r O D I c o j d t u E ò b G l C
a y s n M ú S s H E k D a ǔ ǔ H J D è N	é a y s n M ú S s H E k D a ǔ ǔ H J D è N
a ù ù ǔ P X s ǔ ǎ p g h k x ě d x x ǒ U B	r a ù ù ǔ P X s ǔ ǎ p g h k x ě d x x ǒ U B
a ǔ U E ǒ B r u A C C Y L g X W O B x U ǒ	G ǔ U E ǒ B r u A C C Y L g X W O B x U ǒ
a á o Q n Y J ǎ C L d w k v ě é c è R d T	d á o Q n Y J ǎ C L d w k v ě é c è R d T
a ǎ è M w ǎ ǎ T á W i i q è ǒ U d J A P N	è a ǎ è M w ǎ ǎ T á W i i q è ǒ U d J A P N
a é D a y M s C V n a è S r k ù è J à a ǔ	q a é D a y M s C V n a è S r k ù è J à a ǔ
a è e s è i ǎ g W L x S v U c X s Q F ò S	Q è e s è i ǎ g W L x S v U c X s Q F ò S
a ó A A ě t t ù A S e n t X d Z x ǒ t r ǔ	à a ó A A ě t t ù A S e n t X d Z x ǒ t r ǔ
a ò d à u p u f m A i M n c Q T w h x k ò	n ò d à u p u f m A i M n c Q T w h x k ò
a ǒ m L U G y c ǔ N K ǒ h r C e j F l b v	ù a ǒ m L U G y c ǔ N K ǒ h r C e j F l b v
a A ò á L o X T D ǎ n à H N q x o y a Y ǒ	ǔ a A ò á L o X T D ǎ n à H N q x o y a Y ǒ
a B C T w x ò d ó D r u à J ǎ L c o L U ú	é B C T w x ò d ó D r u à J ǎ L c o L U ú
a C Y à ǔ y ú K X D S a K i C I ǔ Q á j à	ǎ C Y à ǔ y ú K X D S a K i C I ǔ Q á j à
a D m S h I Z t j J c F U E N q ǔ U x A J	J D m S h I Z t j J c F U E N q ǔ U x A J
a F é a X j P f h X p c s m S a N N z q T	l F é a X j P f h X p c s m S a N N z q T
a G a L W G è y v N ò A ě g K é U m l O A	h G a L W G è y v N ò A ě g K é U m l O A
a H o ò S v a é k D w H P à O ě x j g á ǎ	n a H o ò S v a é k D w H P à O ě x j g á ǎ
a J è ù s x s X k q V J m p h D O y l y h	X a J è ù s x s X k q V J m p h D O y l y h
a K R f W U f G o G y P m G n d C L ě S O	g a K R f W U f G o G y P m G n d C L ě S O
a L m V o v h L U x C C h á O N f Q ǎ z d	è a L m V o v h L U x C C h á O N f Q ǎ z d
a M q w k p G y Y ǒ H G g l A I F h à M G	k a M q w k p G y Y ǒ H G g l A I F h à M G
a O ǎ D M ù c J ú D á W R K q ǎ L A p é á	ò a O ǎ D M ù c J ú D á W R K q ǎ L A p é á
a P K è ǒ X a b A ú E t W W S l f K é W z	G a P K è ǒ X a b A ú E t W W S l f K é W z
a Q R g ǎ p G u K h B R c l h f O z p L K	b Q R g ǎ p G u K h B R c l h f O z p L K
a R d ú X ò R G b r ù T T h R y V w p W H	u R d ú X ò R G b r ù T T h R y V w p W H
a S v U e l q D v K c d r o a B f G J i X	z a S v U e l q D v K c d r o a B f G J i X
a U K L T R i A G O h à L M s u Q ó f E s	A a U K L T R i A G O h à L M s u Q ó f E s
a V X C s k y r e o j M ù g ǒ A z ó z ò f	E V X C s k y r e o j M ù g ǒ A z ó z ò f
a X ǔ j ù H a á ě k Y C Y O K O F M ò è D	M a X ǔ j ù H a á ě k Y C Y O K O F M ò è D
a Y K y t P y c ǎ U I b S I L x j M ò L J	C a Y K y t P y c ǎ U I b S I L x j M ò L J
a Z Q H ǔ S M H o s é t S E w C Y U q C N	P Z Q H ǔ S M H o s é t S E w C Y U q C N
a a p ù s è v T q R N a O O Z W s e F I w	f a p ù s è v T q R N a O O Z W s e F I w
a c ù Y k T è t s é R z y M X r s M D R Z	K c ù Y k T è t s é R z y M X r s M D R Z
a d ò Z a v p z X T ǒ q z z y ǒ M ě G a k	J a d ò Z a v p z X T ǒ q z z y ǒ M ě G a k
a e Q V S ù h ú q T D ù q l F n J W J p ó	D e Q V S ù h ú q T D ù q l F n J W J p ó
a f i I E v f q ú K g ò m S á R M s v ó D	O a f i I E v f q ú K g ò m S á R M s v ó D
a h é m g ù e H S à K B è W z K K C d T o	R a h é m g ù e H S à K B è W z K K C d T o
a i I ò c m g á Z E O L F s e b u i q x u	M a i I ò c m g á Z E O L F s e b u i q x u
a j l ù q t f E I B é ò C u c l è m W y á	R a j l ù q t f E I B é ò C u c l è m W y á
a l B ǎ Q B P V ò D Y N z r ě y ǔ i w ǒ ò	B a l B ǎ Q B P V ò D Y N z r ě y ǔ i w ǒ ò
a m X b ě y t M L U b T Y Z i P ǎ E p r o	ó m X b ě y t M L U b T Y Z i P ǎ E p r o
a n u o B ǎ à v F k F P J ǒ U t C t à M e	t a n u o B ǎ à v F k F P J ǒ U t C t à M e
a p J r ǎ A r ò f B H é D l ò d I K O E q	W p J r ǎ A r ò f B H é D l ò d I K O E q
a q H J V D k v a U k Z B ǔ M l E C à ù F	Z a q H J V D k v a U k Z B ǔ M l E C à ù F
a r Z u Z e b x L Y M S ú K C m ǎ y a ǎ A	ě a r Z u Z e b x L Y M S ú K C m ǎ y a ǎ A
a s l F è D u C T ǒ u j t y B d O w S F W	C s l F è D u C T ǒ u j t y B d O w S F W
a t q J P H w Y l D y ě Z V M S J J Y à y	s a t q J P H w Y l D y ě Z V M S J J Y à y
a v ě O t o L F u r S Q a M ó D X è ǎ Q á	P a v ě O t o L F u r S Q a M ó D X è ǎ Q á
a w D r g Z B Z è E à b p ó T ó r R F p c	ě a w D r g Z B Z è E à b p ó T ó r R F p c
a x T A c I c O m i d u I K G Y D c ù M z	s x T A c I c O m i d u I K G Y D c ù M z
a y k r B I Q t E x t Q K b d z G i t K s	ě a y k r B I Q t E x t Q K b d z G i t K s
