step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.048733,-53.91691589355469,-53.924678802490234,ptsl2,32,0.001,40.68369674682617
10,0,41.00957,-53.85868835449219,-53.874271392822266,ptsl2,32,0.001,41.29613494873047
20,1,40.971165,-53.80150604248047,-53.8248176574707,ptsl2,32,0.001,41.20296859741211
30,1,40.93287,-53.744422912597656,-53.775665283203125,ptsl2,32,0.001,41.260841369628906
40,2,40.89467,-53.68748474121094,-53.72673416137695,ptsl2,32,0.001,40.91969680786133
50,3,40.856277,-53.630130767822266,-53.67753601074219,ptsl2,32,0.001,40.97193145751953
60,3,40.817654,-53.57234573364258,-53.62812423706055,ptsl2,32,0.001,40.083641052246094
70,4,40.77908,-53.514617919921875,-53.57883071899414,ptsl2,32,0.001,40.38816833496094
80,5,40.740463,-53.45669937133789,-53.52951431274414,ptsl2,32,0.001,41.93935012817383
90,5,40.70182,-53.39866256713867,-53.48011779785156,ptsl2,32,0.001,41.09356689453125
100,6,40.663082,-53.3404426574707,-53.43074035644531,ptsl2,32,0.001,39.71503448486328
110,6,40.624474,-53.28221893310547,-53.38163757324219,ptsl2,32,0.001,41.024662017822266
120,7,40.58579,-53.22382354736328,-53.332427978515625,ptsl2,32,0.001,40.928321838378906
130,8,40.547104,-53.165374755859375,-53.28319549560547,ptsl2,32,0.001,39.483009338378906
140,8,40.50839,-53.10692596435547,-53.234004974365234,ptsl2,32,0.001,41.36888885498047
150,9,40.469753,-53.048439025878906,-53.185001373291016,ptsl2,32,0.001,40.38987350463867
160,10,40.431305,-52.990211486816406,-53.1363525390625,ptsl2,32,0.001,39.76130676269531
170,10,40.393074,-52.93199157714844,-53.0880241394043,ptsl2,32,0.001,41.34092330932617
175,10,40.37402,-52.90289306640625,-53.063899993896484,ptsl2,32,0.001,38.092796325683594
