grammatical	ungrammatical
a a a a a t I A ǎ V B N Q q u b b b b b	ù a a a a a t I A ǎ V B N Q q u b b b b b
a a a a a z S A D R O B O F Z b b b b b	J a a a a a z S A D R O B O F Z b b b b b
a a a a a w k J O ò z T f Z z b b b b b	j a a a a a w k J O ò z T f Z z b b b b b
a a a a a M á y j W T h é F y b b b b b	à a a a a M á y j W T h é F y b b b b b
a a a a a d a a y è ó é V g O b b b b b	P a a a a d a a y è ó é V g O b b b b b
a a a a a a s R H o J L O i y b b b b b	a G a a a a a s R H o J L O i y b b b b b
a a a a a N M Z S ǔ g Z P ǎ ú b b b b b	a g a a a a N M Z S ǔ g Z P ǎ ú b b b b b
a a a a a è è ó L m h ǎ x v o b b b b b	a ó a a a è è ó L m h ǎ x v o b b b b b
a a a a a c ǎ l d e b v f P m b b b b b	a Z a a a c ǎ l d e b v f P m b b b b b
a a a a a è v ú Y ǒ S Z ǔ á g b b b b b	a a K a a a è v ú Y ǒ S Z ǔ á g b b b b b
a a a a a j Z B L è L A D F ǔ b b b b b	a a k a a a j Z B L è L A D F ǔ b b b b b
a a a a a S P j l A v S B N b b b b b b	a a ó a a S P j l A v S B N b b b b b b
a a a a a ǎ B Q á Q J L J é Q b b b b b	a a S a a ǎ B Q á Q J L J é Q b b b b b
a a a a a ù F M G é i R A J U b b b b b	a a a D a a ù F M G é i R A J U b b b b b
a a a a a E l P g m q ǎ F u C b b b b b	a a a e a a E l P g m q ǎ F u C b b b b b
a a a a a ù N N ě ǎ m l l H q b b b b b	a a a ù a ù N N ě ǎ m l l H q b b b b b
a a a a a s C z p á V j o M d b b b b b	a a a Q a s C z p á V j o M d b b b b b
a a a a a j R p Z c q ó G W C b b b b b	a a a a H a j R p Z c q ó G W C b b b b b
a a a a a n h d N á n s t R Y b b b b b	a a a a h a n h d N á n s t R Y b b b b b
a a a a a t Y w x a r ù á S ǒ b b b b b	a a a a ě t Y w x a r ù á S ǒ b b b b b
a a a a a y H g h t B H e ǎ ú b b b b b	a a a a W y H g h t B H e ǎ ú b b b b b
a a a a a Z W q T b y n Q e y b b b b b	a a a a a Z W q T b y n Q e y b p b b b b
a a a a a à R x V c U E á j B b b b b b	a a a a a à R x V c U E á j B b b b b b h
a a a a a v à U n U E q v t r b b b b b	a a a a a v à U n U E q v t r b Z b b b
a a a a a V z L n g U u U á f b b b b b	a a a a a V z L n g U u U á f b c b b b b
a a a a a l U G B j g Z X z ǔ b b b b b	a a a a a l U G B j g Z X z ǔ b b b b b ǎ
a a a a a p E F N F X z x N ó b b b b b	a a a a a p E F N F X z x N ó b d b b b
a a a a a y è q a X J p E D v b b b b b	a a a a a y è q a X J p E D v b Q b b b
a a a a a f q z N p ǔ J Y Y e b b b b b	a a a a a f q z N p ǔ J Y Y e b á b b b
a a a a a g ǔ d R á ǎ Z n b à b b b b b	a a a a a g ǔ d R á ǎ Z n b à N b b b b
a a a a a M U ù K t V ǒ E S ǒ b b b b b	a a a a a M U ù K t V ǒ E S ǒ b b b b l b
a a a a a é b w i U o i c I c b b b b b	a a a a a é b w i U o i c I c b b b ǔ b b
a a a a a T U ǒ é x F F W a Q b b b b b	a a a a a T U ǒ é x F F W a Q K b b b b
a a a a a A r c Z k j P m ò ó b b b b b	a a a a a A r c Z k j P m ò ó b b b j b
a a a a a m d z j I C Y X q è b b b b b	a a a a a m d z j I C Y X q è b b b b x
a a a a a L ù é u Z R R e K k b b b b b	a a a a a L ù é u Z R R e K k b b b b E b
a a a a a U x q ù J H m ě I R b b b b b	a a a a a U x q ù J H m ě I R b b f b b b
a a a a a ǎ ǎ u à ě u A J y m b b b b b	a a a a a ǎ ǎ u à ě u A J y m b b b b S b
a a a a a i à X a T M W ě C X b b b b b	a a a a a i à X a T M W ě C X h b b b b
a a a a a o S b F g r W G à é b b b b b	a a a a a o S b F g r W G à é b b b f b b
a a a a a d H M A I A á C f Y b b b b b	a a a a a d H M A I A á C f Y b b b z b
a a a a a ǒ d X v w y m E V e b b b b b	a a a a a ǒ d X v w y m E V e b b J b b b
a a a a a F q a ě Z Y J a à R b b b b b	a a a a a F q a ě Z Y J a à R b b b M b
a a a a a E ù P i f M y ě a O b b b b b	a a a a a E ù P i f M y ě a O b b b b A
a a a a a è k x t á S ó ó ú D b b b b b	a a a a a è k x t á S ó ó ú D b b b q b b
a a a a a ò ǎ g A G s E ě p ú b b b b b	a a a a a ò ǎ g A G s E ě p ú b K b b b b
a a a a a v á R F j B r V Y n b b b b b	a a a a t v á R F j B r V Y n b b b b b
a a a a a U s M d é p Z L T E b b b b b	a a b a a U s M d é p Z L T E b b b b b
a a a a a D à A è L w ǎ w k a b b b b b	a a x a a D à A è L w ǎ w k a b b b b b
a a a a a i B g U Q é h Q z U b b b b b	a x a a a i B g U Q é h Q z U b b b b b
a a a a a r e N H V c l G ǎ j H b b b b b	ù a a a a a r e N H V c l G ǎ j H b b b b b
a a a a a s g t v v r B T Q ě y b b b b b	O a a a a a s g t v v r B T Q ě y b b b b b
a a a a a é a R Y ǒ G X x G ò X b b b b b	l a a a a a é a R Y ǒ G X x G ò X b b b b b
a a a a a j ú U k è z B S ú N E b b b b b	A a a a a j ú U k è z B S ú N E b b b b b
a a a a a L à B D s B v A t j J b b b b b	X a a a a L à B D s B v A t j J b b b b b
a a a a a f G y z ǎ R z ǔ M h à b b b b b	a M a a a a f G y z ǎ R z ǔ M h à b b b b b
a a a a a x ě è à u ǒ ǎ Z f E B b b b b b	a p a a a a x ě è à u ǒ ǎ Z f E B b b b b b
a a a a a J N i U S D ó F y ò I b b b b b	a ú a a a J N i U S D ó F y ò I b b b b b
a a a a a L Q r C a W k è G r n b b b b b	a a ǔ a a a L Q r C a W k è G r n b b b b b
a a a a a N n g S S F w l Z D W b b b b b	a a M a a a N n g S S F w l Z D W b b b b b
a a a a a ǔ N C I H D U B k d B b b b b b	a a t a a a ǔ N C I H D U B k d B b b b b b
a a a a a ù O f ǎ o á N o o K Q b b b b b	a a E a a ù O f ǎ o á N o o K Q b b b b b
a a a a a y x D ǎ ǒ q E ó ù X Q b b b b b	a a a ǎ a a y x D ǎ ǒ q E ó ù X Q b b b b b
a a a a a m N w t ú f ù ǔ E m L b b b b b	a a a S a a m N w t ú f ù ǔ E m L b b b b b
a a a a a M á I Q Z w s á S Y W b b b b b	a a a w a a M á I Q Z w s á S Y W b b b b b
a a a a a I n b Y Q ú f t d m n b b b b b	a a a O a I n b Y Q ú f t d m n b b b b b
a a a a a x S i G x y ò M r D F b b b b b	a a a a ú a x S i G x y ò M r D F b b b b b
a a a a a T N b F C t V W á S J b b b b b	a a a a X a T N b F C t V W á S J b b b b b
a a a a a e S L A u ǒ s J x ǔ n b b b b b	a a a a z a e S L A u ǒ s J x ǔ n b b b b b
a a a a a é Y á ě K r D i O N q b b b b b	a a a a N é Y á ě K r D i O N q b b b b b
a a a a a r P o A è l E S u L E b b b b b	a a a a a r P o A è l E S u L E b b b b b l
a a a a a N á b D è à H K P ò F b b b b b	a a a a a N á b D è à H K P ò F b b u b b b
a a a a a c u Y Z r A z N R s C b b b b b	a a a a a c u Y Z r A z N R s C b b b b b V
a a a a a ǎ e à ě ě k d ǔ t Z d b b b b b	a a a a a ǎ e à ě ě k d ǔ t Z d b b S b b
a a a a a b M è B q n Q ǒ B L ǎ b b b b b	a a a a a b M è B q n Q ǒ B L ǎ b b ò b b
a a a a a P ǒ A M T y r l F è y b b b b b	a a a a a P ǒ A M T y r l F è y b b b b b ǎ
a a a a a ǔ e q r a j l ò x b ù b b b b b	a a a a a ǔ e q r a j l ò x b ù p b b b b
a a a a a R o k U J r i N Y e é b b b b b	a a a a a R o k U J r i N Y e é M b b b b
a a a a a Y l f r y ù h g P q W b b b b b	a a a a a Y l f r y ù h g P q W b b b b J b
a a a a a m B d O L O o Y y J j b b b b b	a a a a a m B d O L O o Y y J j b b b b R b
a a a a a u Q ě C N à G u S à u b b b b b	a a a a a u Q ě C N à G u S à u b b b X b
a a a a a F r P U ò H s L f J T b b b b b	a a a a a F r P U ò H s L f J T b b b b b V
a a a a a C à j N c g N m O à B b b b b b	a a a a a C à j N c g N m O à B b b a b b
a a a a a o G P è P ù ò v ò á c b b b b b	a a a a a o G P è P ù ò v ò á c b T b b b
a a a a a f L W T N b G L E O l b b b b b	a a a a a f L W T N b G L E O l b D b b b b
a a a a a z e w f W A N W g P u b b b b b	a a a a a z e w f W A N W g P u b b v b b b
a a a a a W é f n G à z Z d Y P b b b b b	a a a a a W é f n G à z Z d Y P b b b X b
a a a a a D d T A D C z è è O C b b b b b	a a a a a D d T A D C z è è O C M b b b b
a a a a a é R x F k b ǔ K s K L b b b b b	a a a a a é R x F k b ǔ K s K L b b o b b
a a a a a k t C i c á ǎ W y M p b b b b b	a a a a a k t C i c á ǎ W y M p b b b a b b
a a a a a S U ǔ K W Y p F q ù á b b b b b	a a a a a S U ǔ K W Y p F q ù á b i b b b b
a a a a a A T w T l C T Y S u L b b b b b	a a a a a A T w T l C T Y S u L b b b b b v
a a a a a x Y Z g j U à j ù I E b b b b b	a a a a a x Y Z g j U à j ù I E b b b b N
a a a a a á t W D V l n ě f a ò b b b b b	a a a a a á t W D V l n ě f a ò b U b b b
