step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.043552,-53.916290283203125,-54.4765625,sl2,32,0.01,40.888755798339844
10,0,40.323154,-52.77687072753906,-53.52070617675781,sl2,32,0.01,39.74868392944336
20,1,39.751938,-51.84432601928711,-52.76073455810547,sl2,32,0.01,41.077266693115234
30,1,39.30976,-51.09445571899414,-52.160465240478516,sl2,32,0.01,37.680213928222656
40,2,38.966866,-50.487762451171875,-51.68413162231445,sl2,32,0.01,39.353981018066406
50,3,38.70325,-50.0039176940918,-51.30609130859375,sl2,32,0.01,37.20831298828125
60,3,38.5071,-49.61832809448242,-51.016231536865234,sl2,32,0.01,38.753143310546875
70,4,38.35142,-49.303524017333984,-50.769493103027344,sl2,32,0.01,38.258514404296875
80,5,38.228382,-49.045040130615234,-50.5715217590332,sl2,32,0.01,37.21366500854492
90,5,38.13297,-48.832088470458984,-50.411373138427734,sl2,32,0.01,37.13100814819336
100,6,38.06132,-48.650997161865234,-50.27298355102539,sl2,32,0.01,37.25028991699219
110,6,38.011127,-48.50251770019531,-50.16652297973633,sl2,32,0.01,38.55962371826172
120,7,37.98114,-48.386871337890625,-50.100059509277344,sl2,32,0.01,38.32613754272461
130,8,37.955765,-48.28312301635742,-50.02494812011719,sl2,32,0.01,37.354957580566406
140,8,37.934353,-48.18994903564453,-49.9571647644043,sl2,32,0.01,36.42023468017578
150,9,37.921284,-48.11304473876953,-49.908836364746094,sl2,32,0.01,36.01606369018555
160,10,37.92167,-48.052459716796875,-49.88047790527344,sl2,32,0.01,36.05532455444336
170,10,37.925453,-47.99696731567383,-49.866153717041016,sl2,32,0.01,36.878509521484375
175,10,37.926178,-47.973182678222656,-49.851173400878906,sl2,32,0.01,36.2083625793457
