form	categorical_judgment
ù ǔ a p ǔ x x X N d K Z n M c L ó à y o	grammatical
ǔ B x I h L H p V ò p á u a é j r q f T	grammatical
á Y o ě y K ò M M G ǎ a K ǒ Q p A u m t	grammatical
à n w q á k N v C S j I R n X ù Y è a G	grammatical
é ǔ è á i J u B X N è u a h M f ó D V T	grammatical
è à ó a C b q B A e ǒ T A V Y v J J B l	grammatical
ě é o è x o g m Z t q u é ǎ ǔ W a J r é	grammatical
ó C R E a H Z Q F v g P j c ù D h r V k	grammatical
ò P L J ǎ a B E ǒ p I y o v o T ù S E K	grammatical
ǒ a f K c á b D b x t H G X o h d F B J	grammatical
ú m z l a T z ù B T y ǒ W w X v J H U g	grammatical
A u j X i D z a x L I O w z Q y á R T C	grammatical
C ǔ M N a é é J J x w z ú o i ù D T V x	grammatical
D J x ǎ F i n a R b é Q P f k F ù R i z	grammatical
E k Y n E a J t l X ù O w ǒ g X k X u á	grammatical
F v i è T v a l H m h F ě P ú ó ǔ F ó f	grammatical
H é U I A a i U ú J s M B ú B C Y f ǒ m	grammatical
I W N i X a t v ǎ q b x t è S l p j P é	grammatical
J o q a W Q v á N U T G ó s x ù C á B Z	grammatical
L à g ò M Q a I R è d c á P U á é ǒ w ó	grammatical
M C ù V B B ú ó Q m r L u a G L z R v H	grammatical
N I é Q N S K a x ò P X M o è ǒ d l x v	grammatical
O R w N ǎ à a W X ǎ D R Z o ě ù S k T ǒ	grammatical
P q M a E M ó P ó G q x R i b ǔ J V ǔ v	grammatical
R á s ú n é ò h A X J ǔ J k P a w á I ò	grammatical
S K I y r G Z á à z i ǎ a z y r C Q v t	grammatical
T U o Q à K U à j x ò R a Q x Y c à c C	grammatical
U n G m è x m E i S a ò S ò j B ó c R é	grammatical
V z u i v h à j I ú q r M s U a ě x q x	grammatical
X A q è V ó Q G X é é x W E V y h a F T	grammatical
Y S ú j k Q i ù Z ú a G á b q L R ú ó P	grammatical
Z Z h á J S a I è D E z h P x R z e B t	grammatical
a C p ǔ à I T O X l ò k ǎ á r n ú A p z	grammatical
a e ǎ S à J L E F n y B á X D w A ò H S	grammatical
a t à m W G N K Y G á y i p P u X é ú ù	grammatical
g r u x v z l ú F z t a n j d d c P c t	grammatical
i E P X v ǒ Q i X y q E r B ó a ò M c c	grammatical
j i q v A w j Q v A a ǔ j x N X V d Y T	grammatical
k u H T q ù ǔ D m Q z U r ú Z r a Z L ě	grammatical
m D T D z ǎ q Z V z ǎ x w a R P m g é x	grammatical
n V O t G Q ǎ k ù K á a e M H j á v á y	grammatical
o h y k J ú ǎ C ò N G O q H Z O D a O à	grammatical
p n W W Q r B R k è Y i a w n v b A k W	grammatical
r ù a W m c S ù á a d s ó V ò y R R g W	grammatical
s O R à G z x K ǎ v z é F ǒ ó h R r n a	grammatical
t h ě t D k a X G B D M é H s T i ě X ú	grammatical
v é A v x C O u a t N W G J m T V d p A	grammatical
w O Q á C L t Z G G é s a G u x u S A è	grammatical
x o g y L A ǒ ǔ I L M D w a H é ǔ X à é	grammatical
z á ě ò F F R g a Q ó X h J è J e ǔ R é	grammatical
ù ǔ n p ǔ x x X N d K Z n M c L ó à y o	ungrammatical
ǔ B x I h L H p V ò p á e a é j r q f T	ungrammatical
á Y o ě y K ò M M G ǎ u K ǒ Q p A u m t	ungrammatical
à n w q á k N v C S j I R n X ù Y è w G	ungrammatical
é e ǔ è á i J u B X N è u a h M f ó D V T	ungrammatical
è à ó N C b q B A e ǒ T A V Y v J J B l	ungrammatical
ě é o è x o g m Z t q u é ǎ ǔ W ú J r é	ungrammatical
ó C R E a H Z Q F v g P j a c ù D h r V k	ungrammatical
ò P L J ǎ e B E ǒ p I y o v o T ù S E K	ungrammatical
ǒ é f K c á b D b x t H G X o h d F B J	ungrammatical
ú m z l a T z ù B T y ǒ W w X v J H a g	ungrammatical
A f u j X i D z a x L I O w z Q y á R T C	ungrammatical
