step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.078842,-53.958866119384766,-53.96186828613281,sl2,128,0.001,40.840126037597656
5,1,41.037624,-53.897300720214844,-53.910030364990234,sl2,128,0.001,41.12307357788086
10,2,40.996655,-53.83622360229492,-53.8582878112793,sl2,128,0.001,40.75200653076172
15,3,40.956192,-53.77580261230469,-53.8072509765625,sl2,128,0.001,40.15797805786133
20,5,40.916275,-53.716121673583984,-53.7569694519043,sl2,128,0.001,41.18596649169922
25,6,40.876884,-53.657142639160156,-53.70736312866211,sl2,128,0.001,40.179141998291016
30,7,40.838146,-53.59907531738281,-53.658626556396484,sl2,128,0.001,40.58546447753906
35,8,40.799988,-53.5417366027832,-53.610652923583984,sl2,128,0.001,40.905975341796875
40,10,40.762295,-53.48503112792969,-53.56330871582031,sl2,128,0.001,40.70292663574219
43,10,40.739864,-53.4512825012207,-53.535118103027344,sl2,128,0.001,40.26789474487305
