grammatical	ungrammatical
ù ù è i G x w ú X c a a a a f ǎ ù a a a	ù ù è i G x w ú X c a a ó a f ǎ ù a a a
ǔ I S ó j t F u a a a a a a T V c L é R	ǔ I S ó j t F u a a a p a a T V c L é R
á e Q z i ú ǔ a a J e a a a a a r J m I	á e Q z i ú ǔ a a J e d a a a a r J m I
ǎ ò B m y p ò F a a a a a a ǔ ě ò V X o	ǎ ò B m y p ò F a a a F a a a ǔ ě ò V X o
é K A T B a a a a a a Q z ě c T d m w z	é K A T B e a a a a a Q z ě c T d m w z
è a a a a a a V B M O k A P k ú l ù m V	è a a a é a a V B M O k A P k ú l ù m V
ó I A M a a a a L è ú a a a X q E H D v	ó I A M a a a a L è ú a a z X q E H D v
ò d s j d a f O s g a a a a a a m ǒ Q R	ò d s j d a f O s g a L a a a a a m ǒ Q R
ú F à d Q N R ǔ K J a a a a a a ó ú E J	ú F à d Q N R ǔ K J a a a ó a a ó ú E J
A e U w N A ǔ q b y a a a a a a ǔ j f ù	A e U w N A ǔ q b y a a a a G a a ǔ j f ù
C I G U F M O g a a a a a a u é C C m à	C I G U F M O g a a a j a a a u é C C m à
D Q à é a a a a a a X N E A o g i i t o	D Q à é a a a K a a X N E A o g i i t o
E o l ǔ ù Q V o ù q T a a a a a a d V J	E o l ǔ ù Q V o ù q T a a a a g a d V J
G E ù á K a a a a a a ǎ r è S E T ú W à	G E ù á K X a a a a a ǎ r è S E T ú W à
H e E O L é B T ǎ ǎ O f a a a a a a c Q	H e E O L é B T ǎ ǎ O f a a a a P a a c Q
J á ù c m é W a a a a a a é ǒ f t n à E	J á ù c m é W a a a a a D é ǒ f t n à E
K e g a é a a a a j ě k Y Z a a a p c K	K e g a é a k a a j ě k Y Z a a a p c K
L s s O à W G r g I a a a a a a ó à G P	L s s O à W G r g I a a a a G a ó à G P
N U n ù d m Y J C ó E a a a a a a i T e	N U n ù d m Y J C ó E a A a a a a a i T e
O r f W a a a a a a é N ǎ k e e á w i g	O r f W a a a a a d é N ǎ k e e á w i g
Q á C è D q A R E d I Z f a a a a a a W	Q á C è D q A R E d I Z f a a a a U a a W
R F P G a a a a a a S i d q t A á x b R	R F P G a a a a y a a S i d q t A á x b R
S m w ó y Y T a a a a a a C ǒ ò G V k n	S m w ó y Y T a a v a a a a C ǒ ò G V k n
U G ǔ j x a a a a a a t z á K H X O l x	U G ǔ j x t a a a a a t z á K H X O l x
V Z ò m à Q a a a a a a n è s A d ǔ T a	V Z ò m à Q a a a a a é a n è s A d ǔ T a
W l B X t G b O B a a a a a a W p Z Y ǔ	W l B X t G b O B a a a a w a a W p Z Y ǔ
Y è F a x Y a é M r A a a a a a a N ǒ Z	Y è F a x Y a é M r A a a a l a a a N ǒ Z
Z I a a a x e l a a a a y C a r Z è y ě	Z I a a a x e l a a a N y C a r Z è y ě
