grammatical	ungrammatical
ù ù ǒ v N G H K z b w ó u a a ú a a a r	ù ù ǒ v N G H K z b w ó u a a a a a a r
ǔ G ǔ è X B D k H ǎ Z b b b S b b j ǎ é	ǔ G ǔ è X B D k H ǎ Z b b b b b b j ǎ é
á a g D p D ǎ P r ǔ O b G b b b b Q x Z	á a g D p D ǎ P r ǔ O b b b b b b Q x Z
à u n è q a m B p ò H b b b b M b R j v	à u n è q a m B p ò H b b b b b b R j v
é V y a a a a a ǔ U O g ò ǔ M X U M H m	é V y a a a a a a ǔ U O g ò ǔ M X U M H m
è l ù B V l x z a a a a a f m h u G X t	è l ù B V l x a a a a a a f m h u G X t
ó ò B F ú O m b b b b b i A ó j W L F e	ó ò B F ú O m b b b b b b i A ó j W L F e
ò G ǒ d k H b q b b b b N ǎ à g r M q è	ò G ǒ d k H b b b b b b N ǎ à g r M q è
ǒ k b C d q l x p D o z b b b b U b L ó	ǒ k b C d q l x p D o z b b b b b b L ó
A è r u K j a a a a ě a f U f f b à k R	A è r u K j a a a a a a f U f f b à k R
B f l A a a a a a ò B d A U é A m à d k	B f l A a a a a a a B d A U é A m à d k
C x n b b b b b ú è r T ǎ D V N V M C é	C x n b b b b b b ú è r T ǎ D V N V M C é
E I N a K a a a a O y s X ù Q W S S P W	E I N a a a a a a O y s X ù Q W S S P W
F U q a a a a a Y O l u U S C Q ò L à J	F U q a a a a a a O l u U S C Q ò L à J
G i N Q ù b P X Y x w b b U b b b ó G K	G i N Q ù b P X Y x w b b b b b b ó G K
I ǔ ě L c é S S ó b ǎ L D ú b b b F b b	I ǔ ě L c é S S ó b ǎ L D ú b b b b b b
J r B D j A a v b b b b b P n f á s q O	J r B D j A a v b b b b b b n f á s q O
L O r à w ú T w a a a a a D t j e M I z	L O r à w ú T w a a a a a a t j e M I z
M c m è ò J F K ù j à i Y a l a a a a r	M c m è ò J F K ù j à i Y a a a a a a r
N p e Z r a a x a a a X I z k c T ǎ q L	N p e Z r a a a a a a X I z k c T ǎ q L
P à P x ù U a a N a a a R F w ǒ F I é U	P à P x ù U a a a a a a R F w ǒ F I é U
Q P r H a a a a a O I g ú u á Z ò á L g	Q P r H a a a a a a O I g ú u á Z ò á L g
R m Z r v p h ǎ r k n I a a a a a ù S ě	R m Z r v p h ǎ r k n I a a a a a a S ě
T C f à a a r a a a ú à ó k i á ǒ ǎ A A	T C f à a a a a a a ú à ó k i á ǒ ǎ A A
U U L O T K ò C d E a a a a a s W j U r	U U L O T K ò C d E a a a a a a s W j U r
V n v W a a ó a a a l C h u P è W ǎ ò p	V n v W a a a a a a l C h u P è W ǎ ò p
X á k q I R K b b ǒ b b b f b u Y D i é	X á k q I R K b b b b b b f b u Y D i é
Y M r a a a a a L S M a ò s x l c O ù ò	Y M r a a a a a a L S M a ò s x l c O ù ò
Z n h a t a a a a K Q ò r Q à i ǔ à é S	Z n h a a a a a a K Q ò r Q à i ǔ à é S
a a a a a F x U y i r g ě H ù r J ó ǒ h	a a a a a a x U y i r g ě H ù r J ó ǒ h
a a a g a a B U ò C w A Y N W M d A A q	a a a a a a B U ò C w A Y N W M d A A q
b b b b ǔ b ú W e V d p é i G ǔ v w j z	b b b b b b ú W e V d p é i G ǔ v w j z
b b b d b b B N v t é O H ǎ y m ǒ ě C ǎ	b b b b b b B N v t é O H ǎ y m ǒ ě C ǎ
c t Z J é a W b b n ò Q J a a a a a C Z	c t Z J é a W b b n ò Q J a a a a a a C Z
e S d G p V b b b b b a U ǒ ù à n P O I	e S d G p V b b b b b b a U ǒ ù à n P O I
f a O ǔ V O B x W I ó E a a a a a d à T	f a O ǔ V O B x W I ó E a a a a a a d à T
g l E t Z b b b b b E o A u ú v s N ú c	g l E t Z b b b b b b o A u ú v s N ú c
i ǔ Q ò c H ò b b b b b G Z c o l v N à	i ǔ Q ò c H ò b b b b b b G Z c o l v N à
j M P b H a a a a a L I S D W ù F e o B	j M P b H a a a a a a L I S D W ù F e o B
k j ó p Z R ù Y é s U ú c g a a a a a S	k j ó p Z R ù Y é s U ú c g a a a a a a S
m è p é ò ó w p a a a a a J b T T Y F ě	m è p é ò ó w p a a a a a a J b T T Y F ě
n O á Y a N Q I o X A v d d a a g a a a	n O á Y a N Q I o X A v d d a a a a a a
o s r S c J k U G T j a a a a a é Z d E	o s r S c J k U G T j a a a a a a é Z d E
q Q T d e è B P b a a a a a E o B V O G	q Q T d e è B P b a a a a a a E o B V O G
r h V c G ǔ é j X n a à a a a a a ǔ c P	r h V c G ǔ é j X n a à a a a a a a ǔ c P
t ú c j J m v S f u c b b b b b k P b u	t ú c j J m v S f u c b b b b b b k P b u
u h B H r J b a a a a a ó ú U v E ǒ e k	u h B H r J b a a a a a a ó ú U v E ǒ e k
w M H G f P à ù H R ú Q k g g a a a a a	w M H G f P à ù H R ú Q k g g a a a a a a
x b A b b b b b S H l é o U y N J e b n	x b b b b b b b S H l é o U y N J e b n
y p x s c y C b b b b b X q y e o ù g T	y p x s c y C b b b b b b X q y e o ù g T
ù ù ó b Y á P h t M b b b ó b b y ú X ó C	ù ù ó b Y á P h t M b b b b b b y ú X ó C
ǔ P O g á ǒ z l é b b b b b N b Q v à è a	ǔ P O g á ǒ z l é b b b b b b N b Q v à è a
á a a a a a ú U p V r g H a á W Q ě é W p	á a a a a a a ú U p V r g H a á W Q ě é W p
à y s A s ú à R n n a a a a a z T D R V f	à y s A s ú à R n n a a a a a a T D R V f
é J s p b M b b b b d E U J N C B w é ù x	é J s p b b b b b b d E U J N C B w é ù x
è c O j q C ò b b b b b g F b A S W w V h	è c O j q C ò b b b b b b F b A S W w V h
ó à W O m G t ǎ r L b b b b b o T q ú g K	ó à W O m G t ǎ r b b b b b b o T q ú g K
ò M K y L ó ó z s A F à a a a a a Z I á q	ò M K y L ó ó z s A F à a a a a a a Z I á q
