step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.02893,-53.934322357177734,-54.808780670166016,sp2,32,0.001,39.97840118408203
10,0,40.613743,-53.04345703125,-53.9116096496582,sp2,32,0.001,39.78815460205078
20,1,40.23457,-52.196468353271484,-53.06377410888672,sp2,32,0.001,39.62575149536133
30,1,39.88647,-51.38555908203125,-52.258216857910156,sp2,32,0.001,38.265838623046875
40,2,39.565952,-50.602134704589844,-51.4850959777832,sp2,32,0.001,38.01786422729492
50,3,39.27407,-49.85868453979492,-50.75836944580078,sp2,32,0.001,38.230079650878906
60,3,39.009087,-49.152103424072266,-50.074058532714844,sp2,32,0.001,38.291221618652344
70,4,38.76944,-48.47218704223633,-49.42029571533203,sp2,32,0.001,37.026954650878906
80,5,38.553844,-47.82611846923828,-48.804874420166016,sp2,32,0.001,38.16656494140625
90,5,38.359985,-47.20597839355469,-48.220123291015625,sp2,32,0.001,36.866943359375
100,6,38.188038,-46.61997985839844,-47.672847747802734,sp2,32,0.001,36.21031951904297
110,6,38.036346,-46.06134796142578,-47.15632629394531,sp2,32,0.001,35.23149108886719
120,7,37.902428,-45.53244400024414,-46.67311477661133,sp2,32,0.001,34.983070373535156
130,8,37.78633,-45.02274703979492,-46.21186828613281,sp2,32,0.001,34.50556564331055
140,8,37.685978,-44.53919219970703,-45.77935791015625,sp2,32,0.001,33.101985931396484
150,9,37.601547,-44.076473236083984,-45.37020492553711,sp2,32,0.001,32.82817840576172
160,10,37.530663,-43.63655471801758,-44.98581314086914,sp2,32,0.001,32.87262725830078
170,10,37.47315,-43.21588134765625,-44.622467041015625,sp2,32,0.001,32.199283599853516
175,10,37.448483,-43.01435089111328,-44.45014190673828,sp2,32,0.001,33.15962600708008
