form	categorical_judgment
ù ǔ a Z é a O ǎ q a é R Z o a g ǒ R T K a n K ò x i R O é P J	grammatical
á W V Z à á ó ǒ ǔ à P Y q a a t G a è a a c o ú o m C ó e z U	grammatical
é I ù m T ó ǔ a z A G x w r h w a a a j a à d i h A Q f X D è	grammatical
ě Z é T P V Q p J X X a I q q J y a u a ǎ a a I t M é A è C Q	grammatical
ǒ Z R ù S d d a ǒ a J I t l ǎ d A g ǎ t Z è w ò R a ǎ i a F a	grammatical
C M a è ò n v A a P W V ǒ Z à a i l R x á a a j U z s ǒ ǎ O d	grammatical
F D B ù ò c U V V a E Z l V X a è R a a C W E o ǔ a ú K N T v	grammatical
I O a R X u a N ú a a M U q ú s Z a D Z k F à G U W è M r w D	grammatical
L R V I y A v M l Y u e a M ǔ M a N a a D l k n x ò O a r ǒ S	grammatical
O l U N a Q a a E J m O J O ù ú á ǒ n ò ǔ a ú a y S w w c k t	grammatical
R a z v y B F R u t j a h a k L a v a G H U h Q H c E d g ú y	grammatical
U R l E a a é V a á Z a ú y á x é p a O S r G j s S S C s ǎ v	grammatical
X D á S f T z V D a m ò A x ù n o E U a V a ù B ú a x a H I T	grammatical
a ù a t á é ě X s ě r a t ě P K á s n w A ě a w I ǎ a D I y è	grammatical
a J T C s G y v y h a B a H a a b j ú U e ǎ K n D S B l Q e ě	grammatical
a a A q e W q S i a x a a U a ó J q c ě G z à p e d h l Y Y ǒ	grammatical
a p z M a m B q M ù A ǔ m x V M n y a a ú y w X a j ò u O H f	grammatical
c Z à K l ǎ a y Y N R ǔ J V t ǔ B k L ě ě v è V Y a è i a a a	grammatical
f a n S I u P o Z a ǔ G g Z T a ě ù ǎ x i x a A g à a I G ě ù	grammatical
i a G J i o ǒ h a U L è ǎ à a ú a a j Q u o G t K ǒ i ó B ú S	grammatical
m ù á ǎ ú v O ù a P a s a ù r ǒ E u é K X k I a A M a d y i R	grammatical
o o e F a q T F Y a ǔ G W a y ě a ò v k j N H p a e o Q ě F D	grammatical
r x C á a k a v E D Y á N U a K s h Y Y E ò ó r a j Z U w a E	grammatical
u V N B I a x ě G ǎ m a o p s v K m m Z ǎ z ǒ ě á é a a T g a	grammatical
x ò a a ǎ z K X ǎ F p j O D z q V g ú E X ó L Y a j j ǎ a q a	grammatical
ù ǔ a Z é a O ǎ q a é R a Z o a g ǒ R T K a n K ò x i R O é P J	ungrammatical
a á W V Z à á ó ǒ ǔ à P Y q a a t G a è a a c o ú o m C ó e z U	ungrammatical
é I ù m T ó ǔ a z A G a x w r h w a a a j a à d i h A Q f X D è	ungrammatical
ě Z é T P V Q p J X a a I q q J y a u a ǎ a a I t M é A è C Q	ungrammatical
