step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.171272,-54.0203742980957,-54.17810821533203,sp2,32,0.001,40.49922180175781
10,0,40.811756,-53.26274108886719,-53.91221618652344,sp2,32,0.001,40.34238815307617
20,1,40.481762,-52.54753112792969,-53.68571472167969,sp2,32,0.001,38.98747253417969
30,1,40.17962,-51.8692512512207,-53.49945068359375,sp2,32,0.001,39.921878814697266
40,2,39.905376,-51.226566314697266,-53.35487365722656,sp2,32,0.001,39.39728927612305
50,3,39.65703,-50.62668991088867,-53.239959716796875,sp2,32,0.001,39.204368591308594
60,3,39.430573,-50.061927795410156,-53.15130615234375,sp2,32,0.001,38.67317581176758
70,4,39.228786,-49.52379608154297,-53.10350799560547,sp2,32,0.001,36.95459747314453
80,5,39.045883,-49.023033142089844,-53.071659088134766,sp2,32,0.001,37.62627410888672
90,5,38.878666,-48.54975128173828,-53.0565185546875,sp2,32,0.001,36.57044982910156
100,6,38.728657,-48.105552673339844,-53.06120681762695,sp2,32,0.001,36.02717590332031
110,6,38.5892,-47.68549728393555,-53.071563720703125,sp2,32,0.001,36.56327438354492
120,7,38.467697,-47.290367126464844,-53.105125427246094,sp2,32,0.001,36.01535415649414
130,8,38.35628,-46.91499710083008,-53.148014068603516,sp2,32,0.001,36.12278747558594
140,8,38.252655,-46.56005096435547,-53.192440032958984,sp2,32,0.001,34.72622299194336
150,9,38.158104,-46.22289276123047,-53.245033264160156,sp2,32,0.001,35.63134765625
160,10,38.06848,-45.90557861328125,-53.29332733154297,sp2,32,0.001,34.555233001708984
170,10,37.99044,-45.60576248168945,-53.35569381713867,sp2,32,0.001,35.11721420288086
175,10,37.954517,-45.45949935913086,-53.39170455932617,sp2,32,0.001,34.92338943481445
