form	categorical_judgment
ù á H L L è u L E g N a d ě p K x ě A Z	grammatical
ǔ I K R K n x y D K è a J w a e Y à k F	grammatical
á Y a Q I o W ú b w e Q c ò w T b N ǒ U	grammatical
à u Y S X P ò R U J l ó a c E h ò è M y	grammatical
é P Y ǎ G P a E Z o u é ǔ f O y ǔ ǒ ó l	grammatical
è a F S T E X x v L C X C t á A G r e à	grammatical
ě q C ò a b x à G o á Y è Z q C é e T ě	grammatical
ò ó F M w z O a ú x v b D ě q F R Q q N	grammatical
ǒ J n Q X g X G Y Y ǎ a a n B e é j M z	grammatical
ú Z U L A a m Q s K Z G R w a q ò D d R	grammatical
A y s E a s I o j X t X e ǎ G b é ǔ i c	grammatical
C D F t L a j y p Y ǎ p r Z b è W v h P	grammatical
D l é n x F ú à a j T Y G U è a f l é i	grammatical
F é x F U ò y P W ó a d V f E Y P F v á	grammatical
G a c F i è ú ú S D P E x M J q t c b q	grammatical
H w O a N U a t f V z j H y ǔ c u é é U	grammatical
J G L v r E Y Y ò Z A ó a ǔ d U d P i l	grammatical
K a Z k s b U u f v á I i c w I z ě è á	grammatical
M é j i l M S ǒ K a S l A D K y m b C C	grammatical
N K D ó W é X ó a ú Z v o Z f I h M W á	grammatical
O j z ǒ v v o a G ó R V ǒ g t o n R e X	grammatical
P r á q p k j k q V E p a O f F A á K ǒ	grammatical
R F R a ǎ l z k é e J q G L y Z w ǒ p s	grammatical
S t m Q u Z ě H L G L ǔ W a è p c X à M	grammatical
U à R v A A m a t A y t e á Q Y ó p h b	grammatical
V J J w F a K H e h y P r y W z n Z n S	grammatical
W V o a M b R U u y S ě P é K Z ó N x y	grammatical
X z ò z N a è O g i V y b B K è u W R W	grammatical
Z F a c C K E ǒ o J O x b i C i W ù Q m	grammatical
a é T x t u t A g G b z z O U n U e e W	grammatical
a D A ú r S P z e n t e ě G A Y B I P Y	grammatical
a L N e u E u I C n l f T t q j X M Y p	grammatical
a U k W G ò q ǒ C q C é C X N O R e J j	grammatical
a d q à b h K F F H r q ó X c O t é u Q	grammatical
a m f ò T x ǔ h e w ò m ò O y R s O ú r	grammatical
a w b y h R j Y ǎ l ù t X ǒ q E D I U Z	grammatical
h ó ǒ B q T a h à ù J ò W d v é S K N X	grammatical
i H t W W r è N X ù a V l b N Z Q w e E	grammatical
j s K g ó ǔ z g a U Y s ò V K x X f Y v	grammatical
l D ù q W N h a Y ě y ù T d w b t l F f	grammatical
m a ǎ ù h d e X M ǔ u ě F R v R z H L ǎ	grammatical
n x a è Y G i u R ó á e z h e z H L w L	grammatical
p M á é n l Y H D ǒ u A a R ǎ L b t ǒ S	grammatical
q a l o J ě V Y à ò V d o ǎ W ǔ h k ó F	grammatical
s ó à ě a U F R Y q e g L h R T f M B d	grammatical
t W ǒ K a i N a u S j H V e à e R o l g	grammatical
u i W D è S E y ò A G H N é a r H Y r e	grammatical
w ò J a I H X I v ò n p ǒ R i e T w ó T	grammatical
x P q y ó N k Q t ǒ ú p ó p a U X u f V	grammatical
y q D y V E t Q s g l k a ǒ Y G e s t ǔ	grammatical
ù ǔ c B M o s M é z è x X u k y m o p ò	ungrammatical
ǔ b Z H B a Y è a é w s t d f u A L u c	ungrammatical
á t A j D ú Z D j h p f g n Y k p N a Y	ungrammatical
à z e Q M ù ù O d S x C c c I c R Q x G	ungrammatical
é è G d b O ě K v r ǒ f ù F I ú P f j F	ungrammatical
è H t f N ú I V ǎ g z f é f è d ě R f Z	ungrammatical
ě j D O K u W p ò c w V ǒ ǔ S W k Q ě g	ungrammatical
ò ǎ n T k ú y à F è y A c W H l x w q ó	ungrammatical
ǒ M i ó ǎ y ǎ á f è f m ǔ E w l x l a N	ungrammatical
ú Z é K Q U F ǎ z è ě y T A à F V i C K	ungrammatical
A j l r Z y ǔ w Y m A E T ù M à Q O B R	ungrammatical
C B z c f s w h S N E Q b z U V E L x x	ungrammatical
D S u V B M C F J w v p J i j à c i q R	ungrammatical
E n C H v n c ò Q G W n è è d á p U ú V	ungrammatical
G ǒ B o ò F Q E w p f R ò u P G c L v D	ungrammatical
H I z B j f Q F à k ǔ K N P h D n ǔ P M	ungrammatical
I S p H é ú B r W r á j y è M ǎ u U ǔ p	ungrammatical
J n ǒ h ǔ s è S L o D A ǒ é ǎ B Z H B E	ungrammatical
L ǔ c ǔ J f A I L Q O H i à j ó M U k B	ungrammatical
M ò q i b o M p m x w u p w x ù U Z r k	ungrammatical
N P C C H è M o i k x O t N y Q l u v u	ungrammatical
O l s F ǔ B g P ó á ě ú T o h P è X A à	ungrammatical
P g P b L m l K g ě d S K l A O f c m l	ungrammatical
Q i d H ǔ ò u K H G d è a w l m g j a D	ungrammatical
S ǎ ǔ D B L u u x X b A O p P z u x C c	ungrammatical
T ǒ g y D K ù n D O K m ǎ j è ǔ F f m c	ungrammatical
U k o U s r j l k B á d E H D é x é R K	ungrammatical
V z H R x ù I B U E Y w v f p ú ò r ǎ h	ungrammatical
X N ě k d F J B Z T p I K Q ě g r P D ǒ	ungrammatical
Y S i f m ù o ǎ S ù S U ù C t ú E v R C	ungrammatical
Z l O ǔ d a t ó l B d A q s N m P p S s	ungrammatical
b i H ǔ T A E ě E b M S K f h X S C S c	ungrammatical
c h N ò I F S J é O ǒ E y u I D v f n W	ungrammatical
d n h q n R i F F p q T f R p a ě o d y	ungrammatical
e w N J h ě g X p ǔ ǒ s ú E z l f t W f	ungrammatical
g ǒ k X l v P D R V ò r ǒ ě ǔ k W R é y	ungrammatical
h I m ǒ L Q L ǔ é S C j r I l z y G è s	ungrammatical
i x B è H ǔ ǒ ǔ j e U ò D x g Y A t ò t	ungrammatical
k N w U b ù N n T h D k r l O D G q O é	ungrammatical
l Z R d U ú o a A G y Y O h s F ó x ǔ A	ungrammatical
m t d U C F b x à i t é F d v ò è h á Q	ungrammatical
o B F H ǔ K V t ǔ d E à à U o p g X I s	ungrammatical
p O h n L R ě ǎ o R A w I ǔ o p N S a z	ungrammatical
q o p u é i N ǒ ǔ E ě à E Q à U F u a ě	ungrammatical
s E c z R k ǎ f c v ù G è é Q K E H s é	ungrammatical
t W P n D q ú x j h d m l M H m S p ǔ V	ungrammatical
v ǎ a l G C è P è K X h K q u N m a I Y	ungrammatical
w K z s W M e I g N s k K Y j à ǎ j s I	ungrammatical
x U B p z P v G è ǎ s y R j v R è m q L	ungrammatical
y h ù ò ó K r l k T g U p T k U I U a è	ungrammatical
ù ù E O ú a c W J R ú g w a j i M t P f u	grammatical
ǔ G E ě n u x è ǔ B a K e Y r b g O t ù s	grammatical
á a u ú c w j ě U á q y P x O ǒ z p U P è	grammatical
à y D q q è F h F ú x w G s a m á ó e i ě	grammatical
é O a s l e U b Q ǔ é y b W é q d N K y S	grammatical
è k y è h a G ě Y K I u V u ó e m q ó C ǎ	grammatical
ó A L R N y v C ǔ W L ù V S a i A S b ě Q	grammatical
ò a G k Q E E e P à Y J L è ǔ J h ù A n C	grammatical
ǒ q ù i a ǒ Z s á w S ǔ f à p ǔ D M q e ǒ	grammatical
A à D h ǒ I v ù J a A e J b J U h k l x é	grammatical
B J u j q H a y f ǔ m ě á n J n à B W F M	grammatical
C a I j f x h ǒ o i O G g m K ó U s ǒ Y D	grammatical
D m x è m a ù I q w h e R ù F y Z p i F r	grammatical
F ò T I g D r R m a W H j q G i f C C ě H	grammatical
