form	categorical_judgment
ù ǔ W r E J ǔ ó a a a g a a y r L d E à	grammatical
ǔ a é ǔ a J k ǎ t a ǒ G I á h p a a v m	grammatical
à é X a ò H a N I h M ó a a a A F t ǔ R	grammatical
é à s t p g v o J o a z y T x a a i a a	grammatical
è a B a Y h Y a a ò i u F A o G g a ò ò	grammatical
ó ǔ l V a V u a a w V a N N ě m v ó k a	grammatical
ò S P g a r a S P ě a a k r ù a u V L ě	grammatical
ǒ a a H C k n N ǔ O a ǒ a ó Q M a ǔ D F	grammatical
A à Q a U a x Y a L k s s a s a q P v R	grammatical
B a a x w á a à P l a o V P m J a O e T	grammatical
D R u L a w ú i v g a a m m a Y a p R K	grammatical
E x H á P T a a r g ó X h I N i a a ó a	grammatical
G a H M a a t ǎ a u q T O è k r W X a C	grammatical
I A h a t a X w N a Q D K z h a r a N d	grammatical
J a ò a y l ǔ a P t a x a b F m à C n V	grammatical
K i ǔ w I a Z r a S a a l ǎ L é r q è a	grammatical
M G C H a A y q à a F a a Q a ó ù C è I	grammatical
N o a W h ù a A ǒ a a a c k c D ó ǎ L ǎ	grammatical
P a ǔ ù h á S a J C E a a á ú N a H W e	grammatical
R ú a r R y a L a X Z h a J q a X H c V	grammatical
S a V W a z p i Q a F z è a y p q ǒ A a	grammatical
U ò k Z n N é ú I a G a ǒ a a X a Y Z ǎ	grammatical
V a S a O a è è t é h ǎ a K a à ǒ D w N	grammatical
X ù a y a G Z w ò a D Q L Z l a a N l p	grammatical
Y a a a n y R ù S Z H ǒ a ǎ K a O á S r	grammatical
a ù z q S I Q H U a a l E á g a p o a u	grammatical
a ě à W ǒ è ǒ a ú W a w s C a ù t A a e	grammatical
a B V Y p B a a a s q a K à j k f d Y a	grammatical
a G a ú Y a y ě v A L a o ǎ Q m a q O v	grammatical
a M Q a U t l V a ù è R l ù a k a ǔ ě ó	grammatical
a S x x U J C ú k E o l a s Y a g A a a	grammatical
a Y a U K U M s H l ó a a q a ò ě w y r	grammatical
a a E T ó G a V y T G a w l ú ǔ N Y E a	grammatical
a a a B w a z ú á ò B x a S h c Y Q U ò	grammatical
a a v V K Y j m Q O u I a T o a t a g ó	grammatical
a k ǒ a E C a K B m U I à J a G i D C a	grammatical
a p y i a U a ù a r K ǎ L ǔ ú B ǒ s j a	grammatical
a u a à ǒ T C a ù a z i u ò a V v ò T M	grammatical
a z a u s Q F M H l B G o q y a P ǔ a a	grammatical
h a o v ǒ R k V V p A à a D à a a ǒ L a	grammatical
j Y F J r l w ú a a a R l Z C a a i ǎ c	grammatical
l D ú h a a ǎ a V E N n u a j a i h á G	grammatical
m p I R ǒ m x k B p l a a I a K à ǎ a a	grammatical
o X Q a G T w l a A a p m a a P v á ǒ q	grammatical
p r a w F r D S ǒ a E r Z a r P a j a F	grammatical
r a a Z r u a v s á a T z ù t g E B a M	grammatical
t a g a a O v é ó a R W W a z u T I F ó	grammatical
v A a L ù a a E a M ǔ L K ú o a P ǒ t Z	grammatical
w q Y a à n Q l i ú V a a a á y a ǒ N c	grammatical
y K t H C P a O a x a G t a O X a o J y	grammatical
ù ù ǎ ǔ g K N P L M o t ǎ v B o I è ó e	ungrammatical
ǔ D p M l G z y D X E ú m V b u N n ù g	ungrammatical
á Q s L à y q Y R X J è X ǎ ǎ M Y f N E	ungrammatical
à l ù p ǒ A A h d ù F Z A h è h c ú d F	ungrammatical
é ǔ ù B D X h c W Q p z N é A l Y D ǔ d	ungrammatical
è R o v h N K r ò D j A à y C M B T á c	ungrammatical
ě a Y Y x V N ò é C q è v è S à x ò v e	ungrammatical
ó m n W K J g ù k C G j T h e J ò F P b	ungrammatical
ò q ě à o e d l L ó m X p B u l C ù h r	ungrammatical
ú á ǎ F é D A ǎ B A s K U D U R P d Q g	ungrammatical
A L H m e N Y W ó X g r M b o U Q V ǒ q	ungrammatical
B j á x S P F x a à O e n l f j Q ǔ Y à	ungrammatical
D H k B F H M p Z W ò J y q à ú E N b E	ungrammatical
E X z m Z H ě X c ù S t ú T D ǒ v s M k	ungrammatical
F l w e ě O f S L T ú G D ǎ j o m Z h Q	ungrammatical
H ǎ b C p B D F n F E h B h C C g h e C	ungrammatical
I D c ǒ e ě b W h ǎ G Z y R e q t e v Q	ungrammatical
J v V f L f M ě v z J H h y H a H O x é	ungrammatical
L è Y s ě O è q t s é e l U M à I g B n	ungrammatical
M i n R t y ó à i D o j a w P N m ǒ c à	ungrammatical
O ě d X z c c m U s g r G W N G j Y f j	ungrammatical
P K ó T p U i ǎ p f a j v E N ò m D o k	ungrammatical
Q P x L ò p ù d à Y ó é w g w q z B R T	ungrammatical
R V ǒ a w m i ǔ k Y è ò d b u ǒ è s N K	ungrammatical
S f y ǔ E x á b f I G w n b E R X L U Q	ungrammatical
U ǔ t I O x J l ǒ T M i R P Z ǔ o i h á	ungrammatical
V J e U ě Y Y ǒ S k Y U d q c O E i E R	ungrammatical
W N I à ú V q z e g t t W l ú k d I T A	ungrammatical
