grammatical	ungrammatical
ù ǔ U s ù e é R A Y á X U P d F b à x f	ù ǔ U s ù e é R A Y d X U P d F b à x f
ǔ Z Z é f K ò è d M m F á w S N v t t X	ǔ Z Z é d f K ò è d M m F á w S N v t t X
á p E O d D p V ǔ U ǎ á p V w Z à á ǎ x	á d p E O d D p V ǔ U ǎ á p V w Z à á ǎ x
ǎ è C s u ó ù P K ù b Z D ó ú V L T o b	ǎ è C s u ó ù P K ù a Z D ó ú V L T o b
é L F b é U r z v o à Q A X R à N c ǒ H	a L F b é U r z v o à Q A X R à N c ǒ H
è d ǔ e S c ǎ é è b E L H D Y Q è à L ǒ	è d ǔ e S c ǎ é è b E d L H D Y Q è à L ǒ
ó ó o ù s F q V D R i ù p T A M d e U i	ó ó o ù s F q V D R i ù p T A d M d e U i
ò Z c l S X è T t w P M m v ù G T b s e	ò Z c l S X è a t w P M m v ù G T b s e
ǒ h w Z g p ǔ a e u x q i j O G X Q ǒ g	ǒ h w Z g p ǔ a e b u x q i j O G X Q ǒ g
A á L i D h a Z z L é R D ǔ k V j Y e P	A á L i D h a Z z L é R D ǔ k V j Y e b
B I ǔ l H g i W Y E ò i S ǔ z l o b q I	B I ǔ l H g i W Y E ò i S ǔ z l o a b q I
C m X k à P A ò V N p j U P ù i d á R q	C m X k d P A ò V N p j U P ù i d á R q
E E é a m K u K m p J j h r j k a F d x	E E é a m K u K m p J j h r j k b F d x
F S ǔ o d L B g F I n J V O C X e T á s	F S ǔ o d L B d g F I n J V O C X e T á s
G n P o b p O D n u W d T K h G V E p I	G n P o b p O D n u W d T d h G V E p I
I ò W ù H e r f W h d Q L D t s L w u j	I ò W ù H e d r f W h d Q L D t s L w u j
J D ò R D T ǒ c E d t o f ú E ò n V P g	J D ò R D T ǒ c E d t o f ú E ò n V d g
K X O E C T ǔ ǔ á N ǒ e ǎ W ù ù b v J J	K X O E C T ǔ ǔ á a ǒ e ǎ W ù ù b v J J
L a ó X p d m k S é S o W á ǔ B D ǔ ó o	L a ó X p d m k S é S o W á ǔ B d D ǔ ó o
M g b ǒ B W c l u h W Z d U è u G e I k	M g b ǒ B W c l u h d Z d U è u G e I k
N o i g ǔ i ú é ǎ e E ò C k n l t T r d	N o d g ǔ i ú é ǎ e E ò C k n l t T r d
P T E U ú z y w r b t d B ǒ j j y ě ó W	P T E U ú z y w r b t d B ǒ j j y ě ó d
Q o s F o x r A K e Q h R X U d P ú P M	Q o s F o x r A K e Q h R X U d P ú P d
S L W y ǒ q n n a á f W N à G z k t B n	S L W y ǒ q n n a á f W b à G z k t B n
T j v A v a U q u ǔ ù ù d é é F w t g F	T j v A v a U q u ǔ ù ù d é é F w t g F d
U w r s u s a l ù h A F x á c E S l l N	U w r s u s a l ù h A F x á c E S l l b N
W M A m b K y C T W V T Z I x W N N v k	W M A a b K y C T W V T Z I x W N N v k
X Y f G K L R ǎ P H S v w K u ǒ N Y W b	X Y f G K L R ǎ P a S v w K u ǒ N Y W b
