grammatical	ungrammatical
ù ù a a a a a a a ó y j ǔ ù X O ù z O ò	ù ù a a a a è a a ó y j ǔ ù X O ù z O ò
ǔ T s J q n n L a a a a a a a z ǔ ǎ F ù	ǔ T s J q n n L a l a a a a a a z ǔ ǎ F ù
à ǔ g P a v s a a a a a a a J P ó r T W	à ǔ g P a v s a a a K a a a a J P ó r T W
ǎ L g ě p z u H h t G à a a a a a a a N	ǎ L g ě p z u H h t G à a a a a a a R a N
é d l a V x r I W a a a a a a a C t g ǎ	é d l a V x r I W a s a a a a a C t g ǎ
ě á R ò ò x a a a a a a a b F J W V t Y	ě á R ò ò x a a ù a a a a b F J W V t Y
ó H ǒ ù f o s a a a a a a a T y Y n l l	ó H ǒ ù f o s a a a a A a a T y Y n l l
ò e H T U A V C B é a a a a a a a v P m	ò e H T U A V C B é a a a a a a v P m
ú è M m V w p a a a a a a a O X v ě H F	ú è M m V w p a a a a a a L O X v ě H F
A S Y ǎ B t á Z f a a a a a a a A ò Z l	A S Y ǎ B t á Z f a a a a a O a a A ò Z l
B h V n ú O a a a a a a a Z U v e C s w	B h V n ú O M a a a a a a Z U v e C s w
C y f z a a a a a a a p u ǎ a I g D c ú	C y f z a a a a a a l p u ǎ a I g D c ú
E é A K ò ú M ǒ ò D a a a a a a a V t G	E é A K ò ú M ǒ ò D a a v a a a a a V t G
F W k e I T l h I o ě ó ě a a a a a a a	F W k e I T l h I o ě ó ě a a a a a G a a
G k q à a a a a a a a á k X ǒ r S G M t	G k q à a a a a j a a a á k X ǒ r S G M t
I ó t è g ě X b w ù b h a a a a a a a U	I ó t è g ě X b w ù b h a a a a a a U
J L m T X O a a a a a a a W ǒ x ó S ò R	J L m T X O a a a T a a a a W ǒ x ó S ò R
K i K a a a a a a a á u o h t t l w Q E	K i K a o a a a a a a á u o h t t l w Q E
M N W P h a a a a a a a ù z W G I U o I	M N W P h a a a ǎ a a a a ù z W G I U o I
N b á t A R a a a a a a a Q H z j G z r	N b á t A R z a a a a a a Q H z j G z r
P ě a a a a a a a ò é h ò x A I W O è K	P ě a J a a a a a a ò é h ò x A I W O è K
Q c a à m ě x é N J K a a a a a a a è x	Q c a à m ě x é N J K a a a a a I a a è x
R r K ǎ C r N a a a a a a a D A F A D f	R r K ǎ C r N a a a a a p a a D A F A D f
T Z y i T Q k n x o è a a a a a a a T q	T Z y i T Q k n x o è a a a a T a a T q
U m Z f e ó Q R U x O é a a a a a a a W	U m Z f e ó Q R U x O é a a P a a a a W
W A R v f p à é s T c a a a a a a a v ù	W A R v f p à é s T c a a a a V a a v ù
