form	categorical_judgment
ù ù é j ǒ ó K A F M a u h Y h ě q D W ǔ J E I ǒ l O ǒ J E B P	grammatical
á q s y Y q a B w è j Q u X ò B f o G z Y a Y X z Y ó à J ù x	grammatical
é f W u u A m n Y A z U e L n ě ǎ A L a L ù T è ò q s T U k ó	grammatical
ó T ú X J t V T m N F p R I h I D o P à ě a K w p h o ǔ X M s	grammatical
ú á ò W C D ě A p ò s h n S c p f Z t K J K C a o y c f h x f	grammatical
B a t O H d N t O b I x A e y U S k ó T Y k a á I j ò ě K à u	grammatical
E X J ǎ P a a h B M t S C W o Y r R C d g i b f K P m z a x n	grammatical
H B C o ù ù P b R é á F K c g è u r ǒ à ǒ G W m M ǒ L l ù T o	grammatical
K á Z s S A ò A u W s P b p ó E P P J K s M m ǒ h V ò è P A c	grammatical
M o K S b ò g Z u i N h Y è s ó S ǔ N P H P H I B ù ú J ò Q T	grammatical
P N p M ú r k Q l R w a Z q I C l i p ù o D i F Z c z u è n T	grammatical
R m f R E Y ǔ g G t c J N ǔ J ě ù S e s h t I a Y v s j ǔ p U	grammatical
U C A a E é k z a a f I N w K z d E R B V b I V f j g h v G U	grammatical
W L w ǒ l Z b H I D s s R W V n J X I y ǎ I H u ó è ó V r ó M	grammatical
Z ǒ y U ó ò O Y ǎ ǒ ù a u ù ǒ X l g R J f ě V O A h W y w è e	grammatical
a z v u Z y N r L l z o G ǒ z S A ò g Z D d E v P i w V b e b	grammatical
d ě l è g a t h w W F R à l p c r e W è F A y w r A u I A j x	grammatical
f J c k E è á o R g b E à E W x e t I Z A i W v W p ù j b M W	grammatical
h r c Q J d d Z F K j P ǒ s r x N b M w Y G e a j ě E o p w Z	grammatical
k b ǒ y u J ǎ h B b c á q B O U t á P n P y R r C l b ǒ P ú z	grammatical
m s u N U T z L ǎ G ó ǎ j R I o m A E q O I p k F D b v O A l	grammatical
p r I á E ù U ǔ Z h J a ù w Q s c g p n S A q q q m U ó o o X	grammatical
s P á V Y a N ò á o I z U X r v H Z ù V t ǔ R x ù J è z M s Y	grammatical
u n V z ǒ B S W U o e a V ǒ o G è ǎ B Z A á o S f r l L Y o d	grammatical
x T m B W b y P à g F O C g L f ǒ l n ě p T B s á A E B c Y D	grammatical
ù ù é j ǒ ó K b A F M a u h Y h ě q D W ǔ J E I ǒ l O ǒ J E B P	ungrammatical
á q s y Y q a B w è j Q u X ò B f o G z Y a b Y X z Y ó à J ù x	ungrammatical
é f W u u A m n Y A z U e L n ě ǎ A L a L ù b è ò q s T U k ó	ungrammatical
ó T ú X J t V T m N F b p R I h I D o P à ě a K w p h o ǔ X M s	ungrammatical
ú á ò W C D ě A p ò s h n S c p f Z t K J b K C a o y c f h x f	ungrammatical
B a t O H R N t O b I x A e y U S k ó T Y k a á I j ò ě K à u	ungrammatical
E X J ǎ P a a h B M t S C W o Y r R C à g i b f K P m z a x n	ungrammatical
H B C o ù ù P b R é a á F K c g è u r ǒ à ǒ G W m M ǒ L l ù T o	ungrammatical
K á Z s S A ò A u W s P a b p ó E P P J K s M m ǒ h V ò è P A c	ungrammatical
M o K S b ò g Z u i N h Y è s ó S ǔ N a P H P H I B ù ú J ò Q T	ungrammatical
P N p M ú r k Q l R w b a Z q I C l i p ù o D i F Z c z u è n T	ungrammatical
R m f R E Y ǔ g G t c J N ǔ J ě ù S e b h t I a Y v s j ǔ p U	ungrammatical
U C A a E é k z a a f I N w K z d E R a B V b I V f j g h v G U	ungrammatical
W L w ǒ l Z b H I D s s R a W V n J X I y ǎ I H u ó è ó V r ó M	ungrammatical
Z ǒ y U b ó ò O Y ǎ ǒ ù a u ù ǒ X l g R J f ě V O A h W y w è e	ungrammatical
a z v u Z y N r L l z o G ǒ z S A ò g Z D d E a P i w V b e b	ungrammatical
d ě l è g a t h w W F R b à l p c r e W è F A y w r A u I A j x	ungrammatical
f J c k E a è á o R g b E à E W x e t I Z A i W v W p ù j b M W	ungrammatical
h r c Q J d d Z F K j P ǒ s r x N b M w Y G e a j ě E b p w Z	ungrammatical
k b ǒ y u J ǎ h B b c á q a O U t á P n P y R r C l b ǒ P ú z	ungrammatical
m s u N a U T z L ǎ G ó ǎ j R I o m A E q O I p k F D b v O A l	ungrammatical
p r I á E ù U ǔ b Z h J a ù w Q s c g p n S A q q q m U ó o o X	ungrammatical
s P á V Y a N ò á o I z U X r v H Z ù V t ǔ R x ù J è z M b s Y	ungrammatical
u n V z ǒ B S W U o e a b V ǒ o G è ǎ B Z A á o S f r l L Y o d	ungrammatical
x T m B W a b y P à g F O C g L f ǒ l n ě p T B s á A E B c Y D	ungrammatical
ù á p e x D L X w z l R á m R V a K D I ǒ q x J ǒ c A é z é e h	grammatical
á v s E x V Q ú y ě H ǔ G a g U B n l á t R i F s R ě I f ó L N	grammatical
é u q é d X d p o a E ó S J ǔ k à E z I S m A H H D h á D W á Q	grammatical
ó n è S F q W W a U x P v z a x d ú d w ò B q U l f b g h d G l	grammatical
ú ǎ v n ǔ U c ě P á n a p Z C I d ǎ c O y r ǎ X è U T h O e ù ù	grammatical
B M U á z A e n o S ó I Z D b K O ù I á r v R U J B s i u o i o	grammatical
E ú é l J v Q á w E ǒ l A G R R ě c a j v ú é é e à b á N F c u	grammatical
G Z s ě u f ú a Z y ǔ Q F o B a o x G G S I p ù t c ò a h W L G	grammatical
J ě g U b n u ǎ U w o J w è ó Q m ě D E ò x o u V d P N ě P E D	grammatical
L b T c ó n o K Q l a á x E U x q M i T a H p S Q r L k è B z C	grammatical
O ù J C L ǎ l v N e á d G J ó A L u L J z B M ó X y ǒ b r L A X	grammatical
Q E s d r B á s Y G k W ó D D G ó w R à H A X S c a è á G i o à	grammatical
S s e V m L è y c K e P U N j P V W a g l q q á à x d B W b H d	grammatical
V Y M D n E k è E ú ù a w L R Q c K U h M H è X à i Y H c w k U	grammatical
X v T v p A X H F e è v O k Q K J è b k W o B B M l G D i S z K	grammatical
a H Z g K I á y x g T n ò e g n b q g c x C T U è H o ě e l s f	grammatical
c ǎ Z Q l h V O i ǎ f R S á K z Q à ò ù è a M a q V m u à o k u	grammatical
e k u q d W ǎ d b u à w P B w è Y D D n I k Q m l d ǔ m ó L ǒ L	grammatical
h h g I I U L S R r P é b f Y o j s w I H G à Z A h ó T W O c v	grammatical
k á ú J v m g e H O K t j c S ǔ e ò O a p V t J P T N h W l S z	grammatical
m i Z J z C c F F Y y A T O x L L R U t g Q l s Q e a I é l L y	grammatical
p h ě m T ǔ è l f X x r U Y p Q D Y z c b V N p n b q d y n ú r	grammatical
s X ǔ b M G g x D n s R w r g R K p E u H h x ò l s H t L D u R	grammatical
u s Q b d J K f t K h ú O d n p b l A q N à N G C S v à U V ě N	grammatical
x b i ò C A k q ǎ Y o M à i y ǎ W l q f q r á i h i a d V O ú ǎ	grammatical
ù á p e x D L X w z l R á m R V b a K D I ǒ q x J ǒ c A é z é e h	ungrammatical
á v s E x V Q ú y ě H ǔ b G a g U B n l á t R i F s R ě I f ó L N	ungrammatical
é u q é d X d p b o a E ó S J ǔ k à E z I S m A H H D h á D W á Q	ungrammatical
ó n è S F q b W a U x P v z a x d ú d w ò B q U l f b g h d G l	ungrammatical
ú ǎ v n ǔ U c ě P á n a p Z b I d ǎ c O y r ǎ X è U T h O e ù ù	ungrammatical
B M U á z A e n a S ó I Z D b K O ù I á r v R U J B s i u o i o	ungrammatical
E ú é l J v Q á w E ǒ l A G R R ě c a j v ú é é ò à b á N F c u	ungrammatical
G Z s ě u f ú a Z y ǔ Q F o B a o x G G S I p ù t c ò a h W L b	ungrammatical
J ě g U b n u ǎ U w o J w è ó Q m ě D E a x o u V d P N ě P E D	ungrammatical
L b T x ó n o K Q l a á x E U x q M i T a H p S Q r L k è B z C	ungrammatical
O ù J C L ǎ l v N e á d G J ó A L u L J z a B M ó X y ǒ b r L A X	ungrammatical
Q E s d r B á s Y G k W ó D D G ó w R à H A X S c a è á G i o à b	ungrammatical
S s e V m L è y c K e P U N j P b V W a g l q q á à x d B W b H d	ungrammatical
V Y M b n E k è E ú ù a w L R Q c K U h M H è X à i Y H c w k U	ungrammatical
X v T v p A X H F e è v O k Q K J è b k W o a B M l G D i S z K	ungrammatical
a H Z g K I á y x g T n ò K g n b q g c x C T U è H o ě e l s f	ungrammatical
c ǎ Z Q l h V O i ǎ f R S á K z Q à b ò ù è a M a q V m u à o k u	ungrammatical
e k u q d W ǎ d b u à w P B w è Y D D n I a Q m l d ǔ m ó L ǒ L	ungrammatical
h h g I I U L a R r P é b f Y o j s w I H G à Z A h ó T W O c v	ungrammatical
k á ú J v m g e H O K t j c S ǔ e ò O a b p V t J P T N h W l S z	ungrammatical
m i Z J z C c F F Y y A T O x L L R U t g Q l s Q e a I é b L y	ungrammatical
p h ě m T ǔ è l f X x r U Y p Q D Y z c b V N a p n b q d y n ú r	ungrammatical
s X a b M G g x D n s R w r g R K p E u H h x ò l s H t L D u R	ungrammatical
u s Q b d J K f t K h ú O d n p b l A q N à N G a S v à U V ě N	ungrammatical
x b i ò C A k q ǎ Y o M à i a ǎ W l q f q r á i h i a d V O ú ǎ	ungrammatical
ù ù V j n T à j ù ò D b f o C b O n r D i l p é g V á X à J D é f	grammatical
á G X f M ò ò W g i z T h u L s ě b p C T ǔ I V c E U m ó z D r y	grammatical
ǎ f H w W A b j b c ǔ B f d y v f q P P E ǒ X o W b w J ǔ r u O q	grammatical
ě D p O n O C z d r R b X v H A t Q i E F z R O ò l O ò x F b n M	grammatical
ǒ é ó ó L j U ě Q o d x y á D T u W G u Y u ǒ a ú x a H M t S F ù	grammatical
A a I t n N ǔ C G P W K B i U t e f i Y A f à s W e B E W j t é l	grammatical
C k X L ù a u N Z X X i ò h G r h A X h z F ǒ ó p q j q v T w v Y	grammatical
F D G l S ù x é O O J h s ó v b X ǒ b u x k T E P ǒ V ǎ O P W b g	grammatical
H f E k f K ú Y F ú Z u T a v s H z I c z a o t é ó w Z p ó é á e	grammatical
K M T l c C z i y t u o i B ò C a X Z S a B X B d m O N J g V b H	grammatical
N J F a d ǒ r R R A O E M Q C Y z P Y n ò è ǎ t b w H Y ù Q n B V	grammatical
Q ó O L H g P E Z k D s t e R z C Q T O á I A U K l t ě B l B S a	grammatical
S z I T G ó Q i s n w n u è X m ǒ n z ó S T I a é u v w v Y J E Q	grammatical
V T b á Y X ù F C ǔ A k m ù è r I d Z X O a f C B B ě Q ò g è E ú	grammatical
Y b h ǔ T O B c z á b z E E S b U t U L q e U j p S O u ǎ Z P g Y	grammatical
b é r g n ǎ j G R S j á o o i V G e A b u j H r k i ě n n u w h C	grammatical
d I ò U é P Z e o U y J L k b q c á p R S U Z N C R F ǒ c é ú ě X	grammatical
f w p v ò ǔ j ǎ ǎ U è t m h E x w g C w ě a A u G z á k x F i ǎ H	grammatical
i K i H V N D o Q n P h j ò ě ò p C k v r G q j G b ú l j ó ò T ǔ	grammatical
k f X I d ó K f è P Z ù C F b K N B ò é v ě f á U N Z b L è K á Y	grammatical
n G ú y ǔ w t ù E ó C X x ǔ ǒ A G é u ú è ù N x Q a f I M I g M b	grammatical
p r T o s L U N s f a h L A ó é è ù A q u q z à O k ú B T g w B U	grammatical
s W j H B c N C a D D Z U ě o w D f j H F b Z u t c i à T G P ú L	grammatical
u s L F Y z L a M i r è n F u Z k ó i J è O G C o G K ě t è á e o	grammatical
x R W ǔ Y M á J N O è H X r ǎ w ǎ U W k V v h b ǒ U Y w l P F á F	grammatical
ù a ù V j n T à j ù ò D b f o C b O n r D i l p é g V á X à J D é f	ungrammatical
á G X f M ò a ò W g i z T h u L s ě b p C T ǔ I V c E U m ó z D r y	ungrammatical
ǎ f H w W A b j b c ǔ B f d y v f q P P E ǒ X a W b w J ǔ r u O q	ungrammatical
ě D p O n O C z d r R b X v H A t Q i E a F z R O ò l O ò x F b n M	ungrammatical
ǒ é ó ó L j U ě Q o d x y á D T b u W G u Y u ǒ a ú x a H M t S F ù	ungrammatical
A a I t n N ǔ C G P W K b i U t e f i Y A f à s W e B E W j t é l	ungrammatical
C k X L ù a u N Z X X i ò h G r h A X h z F ǒ ó p q j b v T w v Y	ungrammatical
F D G a l S ù x é O O J h s ó v b X ǒ b u x k T E P ǒ V ǎ O P W b g	ungrammatical
H f E k f K ú Y F ú Z u T a v s H z I c z a o t é ó w Z b ó é á e	ungrammatical
K M T l c C z i y t u o i B ò C a X Z S a B X B d m a N J g V b H	ungrammatical
N J F a T ǒ r R R A O E M Q C Y z P Y n ò è ǎ t b w H Y ù Q n B V	ungrammatical
Q ó O L H g P E Z k D s t e R z C Q T O á I A U K l t ě B l B b a	ungrammatical
S z I T G ó Q i s n w n u è X m ǒ n z ó S T I a b u v w v Y J E Q	ungrammatical
V T b á Y X ù F C ǔ A k m ù è r I h Z X O a f C B B ě Q ò g è E ú	ungrammatical
Y b h ǔ T a O B c z á b z E E S b U t U L q e U j p S O u ǎ Z P g Y	ungrammatical
b é r g n ǎ j G a R S j á o o i V G e A b u j H r k i ě n n u w h C	ungrammatical
d I ò U é P Z e o U y J a k b q c á p R S U Z N C R F ǒ c é ú ě X	ungrammatical
f w p v ò ǔ j ǎ ǎ U è t m h b x w g C w ě a A u G z á k x F i ǎ H	ungrammatical
i K i H V N D o Q n P h j ò ě ò p C k v r a q j G b ú l j ó ò T ǔ	ungrammatical
k f X I d ó K f è P Z ù C F b K N a ò é v ě f á U N Z b L è K á Y	ungrammatical
n G ú y ǔ w t ù E ó C X x ǔ ǒ A G é u ú è ù b N x Q a f I M I g M b	ungrammatical
p r T o s L U N s f a h L A ó é è ù A q u q z à O k ú b B T g w B U	ungrammatical
s W j H B c N C a D D Z U ě o w D i j H F b Z u t c i à T G P ú L	ungrammatical
u s L F b z L a M i r è n F u Z k ó i J è O G C o G K ě t è á e o	ungrammatical
a x R W ǔ Y M á J N O è H X r ǎ w ǎ U W k V v h b ǒ U Y w l P F á F	ungrammatical
ù ù I B o r o D a e I E h w è W è l R c n S h i L C z t s K X h v Q	grammatical
á j I B k R y a l Z é X i O a X m d i B l b i g J N E F I f ǔ z n m	grammatical
é ù j B j e a M W t e l L b g è z K q f G e H ě h M ò M F r I L u G	grammatical
ě D e ù Z a I u à à z W j X P ò T ǎ v ú F ě e S ǎ W d W T Y B k d W	grammatical
ò j Z C l g á ě E Y R b k ǔ p p Y q P A d t T o á p p l è x ǎ A ǔ ú	grammatical
