grammatical	ungrammatical
ù á N I ù J M u x ù b i s m H z p U U N	ù á N a ù J M u x ù b i s m H z p U U N
ǔ S l H W a Y F l l S u J j P H y J b è	ǔ S l H W a Y F l l S u J s P H y J b è
á f U é ǒ v U j N ò e ǔ x O b I r e s A	á f U é ǒ v U j N ò e ǔ a O b I r e s A
à r Y Y à c b B y l T ǔ k ó i E á c y Q	à r Y Y à c a b B y l T ǔ k ó i E á c y Q
é A ù k g a U è é F C W e h a B z ǔ x ǎ	é A ù k g a U è é F C b e h a B z ǔ x ǎ
è X u Z o W U a y L v z V M A n c ǔ q Z	è X u Z o W U a y L v z V M A n b c ǔ q Z
ě f Y è ě s j u a u F K T M k ó M N ě q	ě f Y è ě s j u a b F K T M k ó M N ě q
ó t á l d w Z v x F Z è ò Q U b t x à O	ó t á l d w Z v x F Z è a Q U b t x à O
ǒ L b l x X z ù H N T i b C Z ò i q ó ó	ǒ a b l x X z ù H N T i b C Z ò i q ó ó
ú s t y F ě t V A a à ò E k J ù p W k U	ú s t y F ě t V A a à b E k J ù p W k U
B D x q M z E p L n k C W U v ě b ò u s	B D x q M z E p L n k a W U v ě b ò u s
C O W e X H b o m L ó A U l u ú u ǎ ò t	C O W e a X H b o m L ó A U l u ú u ǎ ò t
D f ù D l e a I D B L s m r j i é ó é A	D f ù D l e a I D B L s m r b j i é ó é A
F N m P O l O D ǎ A t v C b l c á D x z	F N m P O a O D ǎ A t v C b l c á D x z
G s o L i g ě a V à D a C C h o T z O ǔ	G s o L i g ě a b à D a C C h o T z O ǔ
I H ù f G w Y J ò ò A a N à c M F b i C	I H ù f G w Y J ò ò A a N à x M F b i C
J f ǎ è ě O H ù n ǔ l y G r M b ó i d L	J f ǎ è ě O H ù n a ǔ l y G r M b ó i d L
K w V o d d q F D k é C é N E ě r a A w	K w V o d d q F D k é C é N E ě r a b A w
M U é t k a p R q B n O j Y R t g C t ò	M U é t k a p R q b n O j Y R t g C t ò
N Y c P è á X R H Q à á a ú E z r A ú k	N Y c P è á X R H Q à á a ú E z r b ú k
P ù w R p b é p n m ù ù G ǒ à Q X J z b	P ù w R p b é p n m a ù G ǒ à Q X J z b
