grammatical	ungrammatical
ù ǔ o ú b G g N H ò I K á C r K x à ě t E è S m b x ù Y a d T	ù ǔ o ú b G a g N H ò I K á C r K x à ě t E è S m b x ù Y a d T
á m S F j S G y H b è b a B T p ú ó ǎ j k u ǒ j Z j b m H J C	á m S F j S G y H b è b a B T p ú ó ǎ j k u ǒ j Z j b m H J a
é U S A R á S l è v ě l D b a Y D b ù ó G O f G z e z ǒ r d ò	é U a A R á S l è v ě l D b a Y D b ù ó G O f G z e z ǒ r d ò
ó A a w m á S a ǔ p H ǔ J C v t J i h B b n h u Z b X Y H o U	ó A a w m á S a ǔ p H ǔ J C v t J i h B b n h u a b X Y H o U
ǒ z X a H M s n é b c ò V Z Q F B a E E b f s J f n Z i q ò K	ǒ z X a H M s n é b ǒ ò V Z Q F B a E E b f s J f n Z i q ò K
B v X e t k I K a N E T J b i x q x ó w Z B n ó j è W é a w á	B v X e t k I b a N E T J b i x q x ó w Z B n ó j è W é a w á
E l c K g u e a L W P N b k b R b f ǎ t L g A X h f I P ó k L	E l c K g u e a L W P N b k a b R b f ǎ t L g A X h f I P ó k L
H I m t f E d a k J á i F m b M D é r ǒ ě b j H ó H ù ù G ò G	H I m t f E d a k J á i F m b M D a é r ǒ ě b j H ó H ù ù G ò G
K ě a p q y V I k é ǎ ǔ D u I ǎ è ú b ǒ b a Z D X e à m è i i	K ě a p q y V I k é ǎ ǔ D u I ǎ è ú b a ǒ b a Z D X e à m è i i
M s v é a ú b U a D T R a N T ǔ M u X L ǒ O l ò c D á U H i ú	M s v é a ú b U a D T b a N T ǔ M u X L ǒ O l ò c D á U H i ú
P Q R M F D u ù q A a p F b s O ù S ó ù k ǒ V B H C p i o q a	P Q R M F b D u ù q A a p F b s O ù S ó ù k ǒ V B H C p i o q a
S C a D m é ó à á è ò U m o A L J ǔ K c m b l á G a D b p ó y	S C a D m é ó à á è ò U m o A L J ǔ K H m b l á G a D b p ó y
V ǒ a j S M ǔ ú x t ě U F S u O F a Q D u ǒ b F ǒ ó P S z V Z	V ǒ a j S b ǔ ú x t ě U F S u O F a Q D u ǒ b F ǒ ó P S z V Z
Y à q à V ù u E h b a q H y r j X r Y z é R K b è q Z y t D é	Y à q à V ù u E h b a q H y r j X r Y z é R K b è q Z y t a é
a ǒ I b o ú w x ò T F ǒ ó G o v ǒ ǔ t X W ú m y K z N C é a D	b a ǒ I b o ú w x ò T F ǒ ó G o v ǒ ǔ t X W ú m y K z N C é a D
b à O p R y R B I è V R ù ǎ i z b ò I C C M a h B á a t o X W	b à O p R y R B I è V R a ǎ i z b ò I C C M a h B á a t o X W
b s n R a f n I ǒ ǔ Y b à ò ò a D D R B x q j V y s R k ó p Y	b s n R a Y n I ǒ ǔ Y b à ò ò a D D R B x q j V y s R k ó p Y
e L s b i b O u a L K s ú à p b g n ú J G p t C Z Y s à v O D	e L s b i b O u a L K s ú à p b g n ú a J G p t C Z Y s à v O D
h é R t n F P R p N W H g j b è a Y o h D ó á a R q j e g l b	h é R t n F P R p N W H g j b è a Y o h b D ó á a R q j e g l b
j m é c f g Z w j Y m z r ù t ǔ T g a ǎ V J C ú H J b ǔ N a l	j m é c f g Z w j b m z r ù t ǔ T g a ǎ V J C ú H J b ǔ N a l
m W ě ǔ h ě A g m é A u à à M b Q a B V H E t J v b V l n O I	m W ě ǔ h ě A g m é A u à à M b Q a B V H E t J v b V l n O a I
p H m ó F a v C b a è I n r ǔ a ǒ F m F P H è r k Q b A è T y	p H m ó F a v C b a è I n r ǔ b ǒ F m F P H è r k Q b A è T y
r o U D o g ù k n B ǔ O b m b à z g ǔ m F N N W T y F ò s b a	r o U D o g ù k n B ǔ O b m b à z g ǔ m F N N W a T y F ò s b a
u p ù ù S c T p p J b i O i d Y ò é D O K S a J X b q G a z f	u p ù ù S c T p p J b i O i R Y ò é D O K S a J X b q G a z f
x W ǔ ó A F a C ù t ě ǔ ò ò o Y r U a E H b V è G n A ǔ P N ò	x W ǔ ó A F a C ù t ě ǔ b ò ò o Y r U a E H b V è G n A ǔ P N ò
ù ù a J a m à x W G A y k S ǎ X ú j k g V Y ò a b ě V o N t c w	ù ù a J a m b x W G A y k S ǎ X ú j k g V Y ò a b ě V o N t c w
ǔ r j o ù b p B á a Z o ě ú b w f ǎ h F d ǎ w j l ǔ u z ù v C m	ǔ r j o ù b p B á a Z o ě ú b w a f ǎ h F d ǎ w j l ǔ u z ù v C m
ǎ a J b w ù t T á I m l F P W g T W o g e ě F k a y P b é Y v ó	ǎ a J b w ù t T á I m l F P W g T W o g P ě F k a y P b é Y v ó
ě è a r w z S s ě h Y J j q u X a b P w ǎ k F h t R u g y j ǎ ǎ	ě è a r w b z S s ě h Y J j q u X a b P w ǎ k F h t R u g y j ǎ ǎ
ǒ I R ǎ E d P f b L U M o J A h F g ò ě b T O a à h t a è ǒ ù m	ǒ I R ǎ E d P f b a L U M o J A h F g ò ě b T O a à h t a è ǒ ù m
B Q K o b ǔ W v H a á V D p h q F b B r k y H N x ǔ D k u w x r	B Q a K o b ǔ W v H a á V D p h q F b B r k y H N x ǔ D k u w x r
E à n v a M ú ù ǔ E P D j b ú L h O a Q ǎ é ó L a y w s S g é R	E à b n v a M ú ù ǔ E P D j b ú L h O a Q ǎ é ó L a y w s S g é R
G y t r y ú r J K m K j x R w X S D T s h G g u b B g a D b ú u	G y t a r y ú r J K m K j x R w X S D T s h G g u b B g a D b ú u
J v b H A E è ù u D t ú w a X O é p j ó t ú H q E P P l a h E L	J v b H A E è ù u D t ú w a X O é p j ó t ú H q b E P P l a h E L
M a g U S ě u g w q p A P Q b n H b h C r è á u ú Q H e W F L ú	M a g U S ě u g w q p A P Q b n a H b h C r è á u ú Q H e W F L ú
P C x p s b j T i ě G T è è U z t á r K M ě p a b D m K C W f o	P C x p s b j T i ě G T è è U z t á r K M ě p a b D m a K C W f o
R b I X Z v C è V á a ǒ w ǒ ǔ N s Z b U q X m v N L J ě E è G á	R b I X Z v C è V á a ǒ w ǒ ǔ N s Z b U q X m v a N L J ě E è G á
U b x K ó B j ú W Q C u A h ǒ Y U y è F q D ú b H L ó a T n y t	U b x K ó B j ú W Q C u A h ǒ Y U y è F q a ú b H L ó a T n y t
X P T b j U E L X y b ò F a é q u ǔ l N o S U D b o E b H k O E	X P T b j U E a L X y b ò F a é q u ǔ l N o S U D b o E b H k O E
Z i c I a ú o ě b ě p G A D E k F Q y ǎ L b D t L ě Y O l j S V	Z i c I a ú o ě b ě p G A D E k F Q a y ǎ L b D t L ě Y O l j S V
a s ǔ x ǒ ǎ A F D p K p u L d ù X è a ú b D O ó j b S f t I é k	a s ǔ x ǒ ǎ A F D p K p u L d ù X è a ú b D a ó j b S f t I é k
b n I A q v è Z m G E x è é A k E k h s h M W A r b s a g x s b	b n I A q v è Z m G E x è é A k E k h s h M W A a b s a g x s b
e N T w C S T Q b é X L ǒ i b i t x T w g a e y m Y z H ú m F s	e N T w C S T Q b a X L ǒ i b i t x T w g a e y m Y z H ú m F s
h G g ě é I D ǒ Q Q V n B q K B i X H D a n ǒ p r é b h u X a à	h G g ě é I D ǒ Q Q V n B q b B i X H D a n ǒ p r é b h u X a à
k á r I H S J é a b p N ǔ V D M s h ě M b O ě b Q V y Y j s O K	k á r I H S J é a b p N ǔ V D M s h ě M a O ě b Q V y Y j s O K
n á i é i O W k t i é q K ò a P A é b J R q S V h m a ò l E m a	n á i é i O W k t i é b q K ò a P A é b J R q S V h m a ò l E m a
p a p J s A ǎ ù i E ò T b ǎ R H a w j x N G d D b o P ò D Z o ǎ	p a p J s A ǎ ù i E ò T b ǎ R H a w j x N G z D b o P ò D Z o ǎ
s M á t r ǒ á B c d c r o a a d U b ó ǎ u W a ò l B s b B r X M	s M á t r ǒ á B c d c r o a a M U b ó ǎ u W a ò l B s b B r X M
u j B i Q s V U F K a ó O n P è ó v ú b S X B J z l g W á Q b ù	u j B i Q s V U F K a ó O n P è ó v ú b S X B J z l g a á Q b ù
x V K o E v U o X T d g T b N y H Y F ù a b A M m O B c é S z j	x V K o E v U o X T a g T b N y H Y F ù a b A M m O B c é S z j
ù ǔ a J u Q à u u E J a z z z C S Y ǎ H t i b E v á è H U h M O b	ù ǔ a J u Q à u u E J a z z z C S Y ǎ H t i b E v a á è H U h M O b
á v E i á ǒ j w M O r x I W x z ǎ E a l s I a m S ǒ P b Z R i T L	á v E i á ǒ j w M O r x I W x z ǎ E a l s I b a m S ǒ P b Z R i T L
è à G i á J E L b Q x M V n ó F K x x E ǎ i b Y z á U l a K X K Y	è à G i á J E L b Q a x M V n ó F K x x E ǎ i b Y z á U l a K X K Y
ó r m G b T T H l o q j a A b è C j n W t Q W m N O h C k ǔ ù E C	ó r m G b T T H l o q j a A b è C j n W t Q W m N a h C k ǔ ù E C
ú b Q O l b s k a r W Y á u g t n è C N p ǒ G U z A b o k ó P t t	ú b Q O l b s k a r W Y á u g t n è C N p ǒ G U z A b a k ó P t t
C N a ó p t x è Q W h j o s M è Y é I N u a v b P l m z è K ò a ú	C N a ó p t x è Q W h j o s M è Y é I N u a v b P l m z è K ò a b ú
E w q à b y Z a b s Y M j i x ě ú Y B ò w S G ǎ R n Q ǒ e r s ú b	E w q à b y Z a b s Y M j i x ě ú a Y B ò w S G ǎ R n Q ǒ e r s ú b
H a a q V g w b U R ó w E b S á ǒ G o D J X q W ǒ b e H z Y è M f	H a a q V g w b U R ó w a b S á ǒ G o D J X q W ǒ b e H z Y è M f
J x J V ú é e e X h O v b è Q ù m g j i E K à ò b a k l t f h t q	J x J V ú é e e X h O v b è Q ù a g j i E K à ò b a k l t f h t q
M y Y ǒ z X W Q w b m b n S l x L a r i O k o l ú c O ǒ ù è i b t	M y Y ǒ z X W Q w b a m b n S l x L a r i O k o l ú c O ǒ ù è i b t
P a O I x A Z k B ě v A U i j a m b d ě C X E à s W H w f ù ò J V	P a O I x A Z k B ě v A b U i j a m b d ě C X E à s W H w f ù ò J V
S H g D á X W J e w ò k ǎ T V a N Q B O A a Z b B x Y à n ě F J B	S H g D á X W J e w ò k ǎ T V a N Q B O b a Z b B x Y à n ě F J B
V D g O h e b a Y ǒ O S E b N b U ǒ I O E a ó e y E I A á I J u g	V D g O h e b a Y ǒ O S E b N A U ǒ I O E a ó e y E I A á I J u g
X a J a w O f A p á K t P n y ù ǒ C b R ù a p ù R ú h S é è b D ú	X a J a w O I A p á K t P n y ù ǒ C b R ù a p ù R ú h S é è b D ú
a ǎ O Y y b j ù ǒ a z i ǎ s x S Z ǒ h ǒ H H y ě k i Y Q V k é I k	a ǎ O Y y b j ù ǒ a z i ǎ s x S Z ǒ h ǒ H H b y ě k i Y Q V k é I k
a w u k z w j K à a ǒ ù ǒ b w I t ǒ w ù y z a x G Q i a m A z c á	a w u k z b j K à a ǒ ù ǒ b w I t ǒ w ù y z a x G Q i a m A z c á
b l L J v a O S ǔ B O s k l X A Y U é T D h J Q l ó p h g E L n a	b l L J v a O S ǔ B O s b l X A Y U é T D h J Q l ó p h g E L n a
d u d ǎ l B W T ǎ R t á r a H T X P Y N b X a á I ǒ J é a b ǎ l R	d u d ǎ l B W T ǎ b R t á r a H T X P Y N b X a á I ǒ J é a b ǎ l R
g j z Q c è O v v m F k ǒ t è C S u S ó F H z Q i á a b W P a T ǒ	g j z Q c è O v v m F k ǒ t è C S u S ó F H z Q i á a b W P a T b
j Z ú h n h L d a v b Z H q s ǒ i y v b w h T s w è i g á n l à S	j Z ú h n h L d a v b Z H q s ǒ i y v a b w h T s w è i g á n l à S
m ú o P Q á O b R à N Y J s O ǒ x ǒ U R ú S l ǔ v a ò L j Z v j b	m ú o a P Q á O b R à N Y J s O ǒ x ǒ U R ú S l ǔ v a ò L j Z v j b
p à k n h X Y V m X p k w Y a M v T g b U I a à G è q q F l ó v y	b p à k n h X Y V m X p k w Y a M v T g b U I a à G è q q F l ó v y
r R o d d H g ò j q c r w d J H a a j Q X a ǔ b q n f x U u é T a	r R o d d H g ò j q c r w d J H a a j b X a ǔ b q n f x U u é T a
u è ó ǒ z ǎ á a N E b t X Z O W S t m R h r A x G N y b f ò I A H	u è ó ǒ z ǎ á a N E b t X Z O W a t m R h r A x G N y b f ò I A H
x E i H E H r á ò á T f v y a ò i S M ě H á b ǎ j I W a J á e s ě	x E i H E H r á ò á T f v y a ò i S M ě H á b ǎ j I W a J b e s ě
