grammatical	ungrammatical
ù ǔ b à a ǒ M ǒ T ǒ a q a v T ú H i V x	ù ǔ b à a ǒ M a T ǒ a q a v T ú H i V x
ǔ R M a ǎ L N ǒ U U a a x e N Y v j H ò	ǔ R M a ǎ a L N ǒ U U a a x e N Y v j H ò
á y U C U A Z K Y Q b ò ǒ F v b b o h R	á y U C U A Z K Y b b ò ǒ F v b b o h R
ǎ O N y L ǎ a F V à N w r a G ó a F r i	ǎ O N y L ǎ a F a à N w r a G ó a F r i
é b P W J q x b v b n ò M P x T è j b e	é b P W J q x b v b b n ò M P x T è j b e
ě ò R M q M a t b S b ǔ C y ù b ó g b t	ě ò R M q M a t b S b ǔ C y ù b ó Q b t
ó M w L h B b b W é ǎ U D D O Q b P C A	ó M w L h B b b W é ǎ U D D O Q b P b C A
ò a I o J y V a R V a ě N ú U ě ǎ I B u	a a I o J y V a R V a ě N ú U ě ǎ I B u
ǒ x ǒ a Q B K ǔ T q a a w v ě q I y W ǒ	ǒ x ǒ a Q B K ǔ T q a a w v a q I y W ǒ
A W c H c o R T ǎ V F V Q ǎ a a A a t E	A W c H c o R a T ǎ V F V Q ǎ a a A a t E
B v b ò O a l k a a o W G K U ǎ e I W m	B v b ò O a l a a a o W G K U ǎ e I W m
D O ó X q p V H Z h è W a P u a è a B L	D O ó X q p V H Z h è W a P u a è a B a
E n a a t R L L l R m p r Y ě J w a j é	E n a a t R L L a R m p r Y ě J w a j é
G R I ǒ b W L D è y z u W A z ù b R H b	G R I ǒ b W L D b y z u W A z ù b R H b
H b K w u ú R A P T Q b S R R C ǔ s M b	H b K w u ú R A P T Q b b S R R C ǔ s M b
J à b H b E q ǎ P ǎ L z é b T s a è ě w	J à b H b E q ǎ P ǎ L z é b b T s a è ě w
K J i O S b è b g ó n b ǔ ǎ à W b S M Y	K J i O S b è b W ó n b ǔ ǎ à W b S M Y
L u i ú Q ù Q V N a A a A a T R ě Q W h	L u i ú a ù Q V N a A a A a T R ě Q W h
N X V ò ù t a q ù J b W y b v Z é b j D	N X V ò ù t a q b J b W y b v Z é b j D
O u a b R B a L S D X Z D a z K T T a C	O u a H R B a L S D X Z D a z K T T a C
Q ú W c a Q o x E X O a y Q r C Q a n F	Q ú W c a Q o x E X O a a Q r C Q a n F
R T D ǒ A q a Z S v t s o a L a g H é U	R T D ǒ A q a Z S v a s o a L a g H é U
S t J y J s H E ǎ Y a ě D T a n A D á a	S t J y J s H E ǎ Y a ě a T a n A D á a
