step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.05608,-53.93208694458008,-54.49378967285156,soft_tsl2,32,0.001,40.301273345947266
10,0,41.01558,-53.870262145996094,-54.43656921386719,soft_tsl2,32,0.001,40.70814514160156
20,1,40.975746,-53.80952453613281,-54.38048553466797,soft_tsl2,32,0.001,39.85696029663086
30,1,40.93619,-53.74910354614258,-54.3248176574707,soft_tsl2,32,0.001,40.46520233154297
40,2,40.89644,-53.688446044921875,-54.26895523071289,soft_tsl2,32,0.001,41.25489807128906
50,3,40.856644,-53.62765121459961,-54.212982177734375,soft_tsl2,32,0.001,40.46043395996094
60,3,40.816677,-53.56654739379883,-54.15678024291992,soft_tsl2,32,0.001,39.86420822143555
70,4,40.77673,-53.505245208740234,-54.10067367553711,soft_tsl2,32,0.001,39.61981964111328
80,5,40.736603,-53.44367980957031,-54.04431915283203,soft_tsl2,32,0.001,40.484466552734375
90,5,40.69628,-53.38166427612305,-53.987648010253906,soft_tsl2,32,0.001,40.67351150512695
100,6,40.655758,-53.31937789916992,-53.930519104003906,soft_tsl2,32,0.001,39.70754623413086
110,6,40.615246,-53.25701904296875,-53.873382568359375,soft_tsl2,32,0.001,39.520263671875
120,7,40.57468,-53.1943473815918,-53.816490173339844,soft_tsl2,32,0.001,39.795719146728516
130,8,40.534134,-53.1317024230957,-53.759437561035156,soft_tsl2,32,0.001,40.793365478515625
140,8,40.493446,-53.06873321533203,-53.70223617553711,soft_tsl2,32,0.001,41.44823455810547
150,9,40.452793,-53.00603103637695,-53.645164489746094,soft_tsl2,32,0.001,40.17395782470703
160,10,40.412144,-52.943084716796875,-53.587974548339844,soft_tsl2,32,0.001,39.64363098144531
170,10,40.371803,-52.88021469116211,-53.531009674072266,soft_tsl2,32,0.001,40.68590545654297
175,10,40.351616,-52.84885025024414,-53.50265884399414,soft_tsl2,32,0.001,41.106510162353516
