form	categorical_judgment
ù ǔ ǔ K j a j k a a N N Z O r a ò y s a	grammatical
ǔ a R a A s a g D a T E a g X ó V K e ú	grammatical
à F a G a l U a a ě ǒ H X r V B a f R é	grammatical
ǎ x Q a C Q ò x ǔ a G Q z a H a y a A F	grammatical
è Y h p a q Q a a x z a Q Z s ò a v ò t	grammatical
ó ǔ B a M x a O a a s P I ě ǒ t è O a ǔ	grammatical
ò a é a a è I i N x W x V t a E a I q T	grammatical
ǒ r a ě a ù r a a q a J à x q H L O j W	grammatical
A V m P Q a a a ǒ Q v P H R a r N ǎ g a	grammatical
B t a Z s R T A a ǎ R x Z a L o x K a a	grammatical
D a a Y U a h ú P w ǔ a N X U A l a I S	grammatical
F E a ǔ M m v i a a k x T a m é y a Z B	grammatical
G u ò Y a é a C O a ǎ C D a h Z q à ù a	grammatical
I è o a I R u a a Y u I I X a K p v a I	grammatical
J Z P q a Z a à I T a ù a a M M F à ù è	grammatical
K p E a t o K a P a Q ù á E a a o J V A	grammatical
M T è a ǒ n a a a n U v m T u H G á C a	grammatical
O ú a g a S A N P B a a a O V C ú i R ò	grammatical
P q ǎ C a a K t a l t ó j Z D h W r a a	grammatical
R X T M a a ǔ T a v t a ó C q ù T a e j	grammatical
S x a a l Z t o a x m a L m a r a G Y D	grammatical
U R L ò a H J a l N a Y E z m U è a a q	grammatical
V y X t G a a è S B Y a D t x a a A c U	grammatical
X a h t y ǒ O ǔ a G a a A k ò o E a G T	grammatical
Z a ǎ a a W ò x ǎ k m ò Z Q a I a E ù K	grammatical
a à ǎ l ù a H Q a H g C R x a N T D z a	grammatical
a ó a a a K i U X N A j q i O x a s s e	grammatical
a C L D h W ǎ H o p S a w a p a E a á h	grammatical
a I K P a Q B a w v ǎ J a ǒ v W ǔ a Y d	grammatical
a P H T n T J m T a a a D Z K a ě w Z ó	grammatical
a U a h ǔ s ǔ C a a s u m è P a i B c H	grammatical
a a à a E I x a è Z p L W N I a à w h á	grammatical
a a U U a z x E B R M l a W é á u a O D	grammatical
a a l s a o Z a Z C L H a j p k Z I F J	grammatical
a i B V z s S T a a a Y a F n w j M O u	grammatical
a n J M W a a P x S a B á C N r R a Q C	grammatical
a s a G H a ó ó t t a q a c l ǔ ù R J I	grammatical
a x p a D Z A a a ú M S O G s j é Y s a	grammatical
h ǎ a a h H a R w H a a n Z ǎ m ě ó h ù	grammatical
i K q ò a X u z ǔ r a a l a R P q Z x a	grammatical
k ù ú y s I a l E z ǒ l a à a Z a à ó a	grammatical
l a a a G g B r a j A I a ǔ A á I F ò v	grammatical
n é a y a O a q m m ǒ a a r e T S G G i	grammatical
o a a K E w a w ě w a x t m U X a n Z M	grammatical
q S a a i s q R B ǒ a a T Q a E l i G R	grammatical
r u o ǔ g G V a u V i h A a a U a i a m	grammatical
t J S u u W a P H x Y a a á V a O j a p	grammatical
u y a v W t ǒ a r o Z a ò a à W O L V a	grammatical
w a á a A Y a a S ù a q Y ó ǔ V I m A Q	grammatical
y F a ǎ a O E ě Y L z y R a O K a a E j	grammatical
ù ǔ ǔ K j ó j k a a N N Z O r a ò y s a	ungrammatical
ǔ a R a A s a g D a T E c g X ó V K e ú	ungrammatical
à F a G a l U a J ě ǒ H X r V B a f R é	ungrammatical
ǎ x Q a C Q ò x ǔ a G Q z D H a y a A F	ungrammatical
è Y h p a q Q a a x z a Q Z s ò ě v ò t	ungrammatical
ó ǔ B a f x a O a a s P I ě ǒ t è O a ǔ	ungrammatical
ò a é a a è I i N x W x V f a E a I q T	ungrammatical
ǒ e a ě a ù r a a q a J à x q H L O j W	ungrammatical
A V m P Q a a é ǒ Q v P H R a r N ǎ g a	ungrammatical
B t a Z s R T A c a ǎ R x Z a L o x K a a	ungrammatical
D z a Y U a h ú P w ǔ a N X U A l a I S	ungrammatical
F E B ǔ M m v i a a k x T a m é y a Z B	ungrammatical
G u ò Y a é a C O a ǎ C D a h Z q à d a	ungrammatical
I è o a I R u g a Y u I I X a K p v a I	ungrammatical
J Z P q a Z a à I T a ù d a M M F à ù è	ungrammatical
K p E a t o K a P j Q ù á E a a o J V A	ungrammatical
M T è a ǒ n a a e n U v m T u H G á C a	ungrammatical
O ú a g a S A N P B a a f a O V C ú i R ò	ungrammatical
P q ǎ C a a K t a l t ó j Z D h W r a M	ungrammatical
R X T M a a ǔ T a v t a ó C q ù T f e j	ungrammatical
S x a a e l Z t o a x m a L m a r a G Y D	ungrammatical
U R L ò a H J a l N a Y E z m U è h a q	ungrammatical
V y X t G a a è S B Y a D t x a ě A c U	ungrammatical
X a h t y ǒ O ǔ a G a f A k ò o E a G T	ungrammatical
Z a ǎ a a W ò x ǎ k m ò Z Q a I q E ù K	ungrammatical
a à ǎ l ù a H Q a H g C R x a N T D b z a	ungrammatical
a ó a a a K i U X N A j q i O x N s s e	ungrammatical
a C L D h W ǎ H o p d a w a p a E a á h	ungrammatical
a b K P a Q B a w v ǎ J a ǒ v W ǔ a Y d	ungrammatical
