grammatical	ungrammatical
ù a à e y z f é x C ě è d è l c ò Q i L b	a à e y z f é x C ě è d è l c ò Q i L b
é a X f E i é m W ǒ H g j ó V n b ò d P b	a X f E i é m W ǒ H g j ó V n b ò d P b
ǒ a k ú l i x r s r E S ò ú é é j K m Y b	a k ú l i x r s r E S ò ú é é j K m Y b
D a ǎ X E l ò G f T s r l C D o ǎ C d O b	a ǎ X E l ò G f T s r l C D o ǎ C d O b
J a è h o j t e ǎ K I ǎ f T I e t G V ó b	a è h o j t e ǎ K I ǎ f T I e t G V ó b
N a k e b u v h G m N ě H F x J ú A i k b	a k e b u v h G m N ě H F x J ú A i k b
T a Y g ù M ú X E s B I L H u a ǒ V ǒ v b	a Y g ù M ú X E s B I L H u a ǒ V ǒ v b
Z a P p N K S e e ó S E r ó U ě é p P b b	a P p N K S e e ó S E r ó U ě é p P b b
f a h a m z O K v N P O ě R Y C ú A w t b	a h a m z O K v N P O ě R Y C ú A w t b
k a T b h p V W T p s d e C y ò M ǒ s h b	a T b h p V W T p s d e C y ò M ǒ s h b
o a T X o G y C ù P J k u é I K d c j è b	a T X o G y C ù P J k u é I K d c j è b
t a g b I m s D g g ò l f D I p P U ò Z b	a g b I m s D g g ò l f D I p P U ò Z b
y a I ǒ c k D g p J i L S ò K Q p x O V b	a I ǒ c k D g p J i L S ò K Q p x O V b
á U k E p p E W K C Q F a G K f f ǎ D b	a U k E p p E W K C Q F a G K f f ǎ D b
ó P ù c f C I K L T a i x Z O B S W x b	a P ù c f C I K L T a i x Z O B S W x b
B O U T d B ó J ǔ v á L g x Y W Q t è b	a O U T d B ó J ǔ v á L g x Y W Q t è b
H F à m X X é j E à T ó n E E Z s g s b	a F à m X X é j E à T ó n E E Z s g s b
M b U z T p T ú E W v A u I g D n s V b	a b U z T p T ú E W v A u I g D n s V b
R u ò V O Z G U P n S E A a s n F ù u b	a u ò V O Z G U P n S E A a s n F ù u b
W M r h B X o X K q k ú ó v ù L E ě a b	a M r h B X o X K q k ú ó v ù L E ě a b
a a d N C s C ǎ k r w N ù u L W A e ǒ l	a a d N C s C ǎ k r w N ù u L W A e ǒ b
a y f A S I K O R e ǎ t N ò ǔ h ù h c b B	a y f A S I K O R e ǎ t N ò ǔ h ù h c b
a f ù E V p M O S R à ò a C E ú i N W Q	a f ù E V p M O S R à ò a C E ú i N W b
a x w n d P E t C N U J ě V ǒ a W ó Z b ó	a x w n d P E t C N U J ě V ǒ a W ó Z b
a è T B h ǒ Y N á d v ǎ g X ǔ ǒ p K j T	a è T B h ǒ Y N á d v ǎ g X ǔ ǒ p K j b
a l S i q l G C e y r k D N é t L y i b s	a l S i q l G C e y r k D N é t L y i b
a Q b u à R C s H ó i L x è ù a Y n S b s	a Q b u à R C s H ó i L x è ù a Y n S b
a L M C m W ò R V ǒ b n á E o K x á ù b y	a L M C m W ò R V ǒ b n á E o K x á ù b
