grammatical	ungrammatical
ù ù è y è X w y ò ǒ I a ú c a r M a p ó z	ù ù è y è X w y ò ǒ I a ú a r M a p ó z
ǔ è K s K w ě t L y v w H o a a v J à G	ǔ è K s K w ě t L a v w H o a a v J à G
á H a D é v a ú p O T t P K w U à h d z	á H a D é v a a p O T t P K w U à h d z
à Z I J Y P a t I I N è L a m C f a D ù	à Z I J Y P a t I I N a L a m C f a D ù
ǎ p g w x a N I y ǒ a a a K G ě G J u J H	ǎ p w x a N I y ǒ a a a K G ě G J u J H
è N é a i ú T á a F y á Y á F u á a è K X	è N é a ú T á a F y á Y á F u á a è K X
ě r H a u R E é m G r Z K y ǎ p ǒ W V a	ě r H a a R E é m G r Z K y ǎ p ǒ W V a
ò W m t a K V ě a c ǒ d Z h O ǔ x S X e	ò W m a a K V ě a c ǒ d Z h O ǔ x S X e
ǒ a T m x G ù ó a c I ó a K r f e l x l q	ǒ a T m x G ù ó a I ó a K r f e l x l q
ú s a o D ó F D G Z ǒ a p J W J C r L á	ú s a a D ó F D G Z ǒ a p J W J C r L á
B ò a Q ú ǒ ú B G I x L a y w o ó A ó X	B ò a Q ú a ú B G I x L a y w o ó A ó X
C a T G p t S D a A á c n k b ě t è ò v	C a T G p t S a a A á c n k b ě t è ò v
D o ǒ T ò a o J v c a a r I t k T O v v ǎ	D o ǒ T ò a o J v a a r I t k T O v v ǎ
F P M m H a z U T a g u q ú V ǎ X O u ǎ a	F P M m H a z U T a u q ú V ǎ X O u ǎ a
G p ě u V O V U E y C l H à C y q ù a a	G p ě u V O V U E y C l H à a y q ù a a
I T M ǎ a ú Q ě ǔ p d v H y V a N t a m	I T M ǎ a ú Q ě ǔ p u v H y V a N t a m
J w è y z L m S ě a S a ě ò ǔ k ǎ L a y	J w è y z L m S ě a S a ě ò ǔ O ǎ L a y
L é N Q p m a C C a B L s N K ò è B b b	L é N Q p m a C C a a L s N K ò è B b b
M H q X W h T m ò a y à S S a N u ó e b	M H q X W a T m ò a y à S S a N u ó e b
N a à ú n J J t n ú V a ù ó p G è F x w	N a à ú n J J t n ú V a ù ó p a è F x w
O n ú S ò ú w S é l ò n O Y q o a ù a X	O n ú S ò a w S é l ò n O Y q o a ù a X
Q ǎ é a D a é J Q o V N k ò T a r z D V	Q ǎ é a D a é a Q o V N k ò T a r z D V
R I a a U z ǒ Q w J t C ǎ G é ě ǒ B Q ó	R I a a U z ǒ Q w J t C ǎ G é ě ǒ B Q a
S a á á Q F ǒ x R a L K h a ě T o d ǎ ǔ x	S a á á Q F ǒ x R a L K a ě T o d ǎ ǔ x
T n P G a ù p O é n ó a ǒ V k m e k V o	T n P G a ù p O é n ó a a V k m e k V o
V á I a ě y Q ù V C r I q X c a y ě ò a	V á I a ě y Q ù V C r I q X I a y ě ò a
W D a y S y a U J è f W ò P r A A Z u M	W D a y S y a U J a f W ò P r A A Z u M
X J é à u d Q O ǒ I y a ǔ t á a a i è v	X J é à u v Q O ǒ I y a ǔ t á a a i è v
Y S h w Z p U a o Z a x a F k é E V á L S	Y S w Z p U a o Z a x a F k é E V á L S
Z m G S Y H ù á s M a u R K D l w H a V	Z m G S Y H ù á s M a a R K D l w H a V
a é s f N ě a F q F M a g ǎ H t y z G q m	a é s N ě a F q F M a g ǎ H t y z G q m
N A E x R y a a h b s f m V M l W G A H	a A E x R y a a h b s f m V M l W G A H
a H ú w a f A G A q V a j ǒ W ú ě w L ù	a H ú w a ǒ A G A q V a j ǒ W ú ě w L ù
a N X N ó H Z b E ě p t w U a R D K ǒ O	a N X N ó H Z a E ě p t w U a R D K ǒ O
a T V a X i ě u l L r D ǔ a R V p à D S	a T V a X O ě u l L r D ǔ a R V p à D S
a Z u q G g E F é O t ǔ F ò à M A a a é ǔ	a Z u q G E F é O t ǔ F ò à M A a a é ǔ
a a l I E w M m P n f z m z ǔ R K s m a y	a a l I E w M m P n z m z ǔ R K s m a y
a q ù o F a r X T K Q G T F m o B d a S u	a q ù o F a r X T K Q G T F m o B a S u
a v r ǔ v Q l T y M D q N a T p V b C é	a v r a v Q l T y M D q N a T p V b C é
l O S ú f ù a p ù ú a u ě a R G ě o O V O	l O S ú ù a p ù ú a u ě a R G ě o O V O
m a p w X ú O K J E á w J a b h k u b ǒ	m a p w X ú O K J E á w J a a h k u b ǒ
n x a ě A ě z G n h V a o C I T G a D M N	n x a ě A ě z G n V a o C I T G a D M N
p a è c ó v é R a ǔ a G ú j E l s W S m g	p a è ó v é R a ǔ a G ú j E l s W S m g
q s ò è v Q a W B a ǒ ǎ R T ú P P Z M T	q s ò è v Q a W B a ǒ ǎ R T ú P P Z M a
s b é C ò è U S W Z C R a X G a a á h F	s H é C ò è U S W Z C R a X G a a á h F
t R W z q n F p T t e X C a D a ó D a r y	t R W z q n F p T t X C a D a ó D a r y
u Q a I C E v Q S ǒ B Q V u é L a ǔ ù P	u Q a I a E v Q S ǒ B Q V u é L a ǔ ù P
v s K R U q z ǔ Q l Z P l m c a ó N a O	v s K R U q z ǔ Q l Z P l m a a ó N a O
x è d A K l ó a a s ú I H p á é ù a ǔ q	x è m A K l ó a a s ú I H p á é ù a ǔ q
y a ù O O K O U a ò à ǎ M f i U l Z X ó	y a ù a O K O U a ò à ǎ M f i U l Z X ó
ù ǔ ě V a ò a v t é M ú n m H ǎ C D á ú X	ù ǔ ě V a ò a v t é M a n m H ǎ C D á ú X
ǔ ò ú z S N P v a à p p L a i d à m Z z c	ǔ ò ú z S N P v a a p p L a i d à m Z z c
á R S a R a T X r N L P ǒ d à p ù h i Q á	á R S a R a T X r N L P a d à p ù h i Q á
à a s t ú c V N T Z A s a o l E è G à a l	à a s t ú y V N T Z A s a o l E è G à a l
é á a N a H ó n I f a o N o ǒ H i ú Q m u O	é á a N a H ó n I a o N o ǒ H i ú Q m u O
è P B q D R l ǔ a b x ě O ú o ù S K a a T w	è P B q D R l ǔ a x ě O ú o ù S K a a T w
ě Z j D X I a Q t á D à Y a n x N l a i L	ě Z y D X I a Q t á D à Y a n x N l a i L
ó n s g ò y D ó t B a D é M a w ó y a N c z	ó n s ò y D ó t B a D é M a w ó y a N c z
ǒ à Y b á w Z A a q u O N a p a E á b á T ú	ǒ à Y á w Z A a q u O N a p a E á b á T ú
ú T ò R a a ě h a ú M T M b M b b L A p A	ú T ò R a a ě è a ú M T M b M b b L A p A
A g a W U é m N N G M N s H A Q I A A ú a	A a a W U é m N N G M N s H A Q I A A ú a
B z y A R ǒ r ò u a t H à a z y z L h P m	B z y A R ǒ r ò u a t H à a z y z L a P m
D ǒ U a y ǒ a u b t M L a x h q c H a ú M R	D ǒ U a y ǒ a u t M L a x h q c H a ú M R
E Q O ù D ù K K x ó ǔ a C X Q h ú a t A e	E Q O ù D ù K K x ó ǔ a C X Q a ú a t A e
G á C z Z a T s a r G U q i E a f H d W B	G á C z Z a T s a r G U q v E a f H d W B
H a l a u v R U ú B e t w l h è k C c b ó	H a l a a v R U ú B e t w l h è k C c b ó
f J á O q ǒ a a r G T u X a y Z i H ǒ N ě U	J á O q ǒ a a r G T u X a y Z i H ǒ N ě U
K Q J b Y a N m B ě a a w é F á K d è ù Y	K Q J K Y a N m B ě a a w é F á K d è ù Y
L x L K r á a è G z ǒ I è N N m n I ǎ S a	L x L K r á a è G z ǒ I a N N m n I ǎ S a
N I A T q p Y J j W a u H J a Y M a j j J	N I A T q p Y J A W a u H J a Y M a j j J
O Q X a á m W o P R y L P C E H a v ǔ á q	O Q X a á m W o P R a L P C E H a v ǔ á q
b P a a z ǎ z a é u X g U ǒ j V z Y á R C T	P a a z ǎ z a é u X g U ǒ j V z Y á R C T
Q a u ě a h K Q a S H Z U g p v V V c a n	Q a u ě a I K Q a S H Z U g p v V V c a n
S ǒ n ǎ ě P a ú x é V ǒ a p f ù R è a u H	S ǒ n ǎ ě P a ú x é V ǒ a p v ù R è a u H
T Q a a w k V R i r K V y x b b ǔ i O h ǎ	T Q a a w a V R i r K V y x b b ǔ i O h ǎ
U a ù J ò a d ó q ě C è q M r N a A V á x G	U a ù J ò a ó q ě C è q M r N a A V á x G
V r Y O a M x z á a x ù u b S ù p A r B ǒ	V r a O a M x z á a x ù u b S ù p A r B ǒ
X H a u g V a a a k C R X N ú P r á J b S	X H a u K V a a a k C R X N ú P r á J b S
Y a m m a m o ù v E ù m ǎ à e é j ò ǒ k F	Y a m m a m o ù v E a m ǎ à e é j ò ǒ k F
Z w o ù l a V I r D L ò W s M a L g S A O	Z w o ù l a V I r a L ò W s M a L g S A O
a é a W p F X y B ǔ Z ù Y j ě u M M v ǒ N	a é a W p F X y B a Z ù Y j ě u M M v ǒ N
a A á l a H P x P K h ǔ a e Z k M é á X P è	a A á l a H P x P K ǔ a e Z k M é á X P è
a G y M p a A c B á N F i o ǎ S c Q m g Z	a G y a p a A c B á N F i o ǎ S c Q m g Z
a N m S y A ǒ O a M E ǔ g O a s ǎ P á M I á	a N m S y A ǒ O a M E ǔ O a s ǎ P á M I á
a V ù ó Y L ò E p h a a p J h ú Z N ó K á	a V ù ó Y L ò E p ǒ a a p J h ú Z N ó K á
ò a C ú é n G X ù u P a K i U m J P ù l J	a a C ú é n G X ù u P a K i U m J P ù l J
a a z U é B X p h ù s ǎ K L ò ú a z n J M	a a z U é B X p ó ù s ǎ K L ò ú a z n J M
