form	categorical_judgment
ù ù H a Q x j l r T i M R m p ǔ c ú L A	grammatical
ǔ I K a d ù r D C R s R X r P b n k b E	grammatical
á a T d N ó s è A o ǎ A l w w è ě u e è	grammatical
à w h ù r a ó à é c J M ě ó L l B U M W	grammatical
é ò á S M ò A V S T M ǔ G N ò n R H B a	grammatical
è m a S á l o é w Z U ǔ U l C e h b M Q	grammatical
ó A z y g ù m a M c R p d w á d s q t G	grammatical
ò O ǒ T M V a K A v V ǎ V ù N T ù D h t	grammatical
ǒ g I D N k M O a S I E M Q s h D P o B	grammatical
ú n a J q c Y p y j I N D ó y h x a g k	grammatical
B ǒ p D J C a ó é t J t m f r i ǒ e d v	grammatical
C P á B z a à k z I j Y ǒ v c V G Q P m	grammatical
D m B N é a Z U g B R A d ù a ó á a s l	grammatical
E r ǎ S a a ě m J N o L r n á l v t r Q	grammatical
G ú t K a k m d O v D Y H è Z ě U ò H E	grammatical
H E a p F F i ò á ě y I C á o D ǎ q ǔ K	grammatical
I O X Y ù ǔ o ǔ g J U C j a I c w ò Q j	grammatical
J n i h A F D a C l ě P H R h L é h T á	grammatical
L é ǔ G a P ó P U c ò ù N ě s w W á I F	grammatical
M R a ò L V H l Y u I k d é X ò b G K p	grammatical
N n g p r p U N m D k a A f y O u ó I ǒ	grammatical
O w v H O a d s ǔ e W r ǒ é N p ǔ d ǔ l	grammatical
Q F Z V u D z o S Q k é U v G m a F ǔ g	grammatical
R V ú k u a K U ò S V r E d ù z U F c N	grammatical
S n ò T ó p a F j k U é A c T Q f W q y	grammatical
U ǎ D a o r B Z q C g ǎ w M Z F ú c ě V	grammatical
V O à o a j F O M R Z y L V ě ò O n g x	grammatical
W a d Y N j p a i s ò L P D K q v i R G	grammatical
Y A N k ě ě ǎ a u R V T u u k P à X l ò	grammatical
Z N D a B d a E e M X n O a B g E B r h	grammatical
a ě ò G z B e ú Q W E ò H L j F b H P ù	grammatical
a G O ǔ I e x a r m ě ǎ i ú B ó J ǒ A J	grammatical
a U B ě ù i J L e é S D y ú é é è o q f	grammatical
a g z I e Q e Y A Z é S B w M n E D c W	grammatical
a u A f Z ú D J Q u d V m á B à x ú F ó	grammatical
g l O a w è i ú m N ǒ c d K q B D U q R	grammatical
i ù Q ǎ E l n J m R ǒ P a v à i Z W u d	grammatical
j ě g ǒ w a à ù à á ù ǎ R é d H u r w g	grammatical
k K Y q R j N x q a ù t a I P ú Z à d ǎ	grammatical
l a è V ó M U f q n L f n i F m P N d ǒ	grammatical
n à Q r ó r v U a f y y J T T Q F á Q S	grammatical
o U D T G p B H X l k a g A k F à è á q	grammatical
p a k j z á ǔ á R D h l E f c b o T C E	grammatical
q m B C D ǒ a ě Q w A p U U O ǒ z Y ò ú	grammatical
s ò r Z ò l a d I ǎ ě W a D ó P w Z n W	grammatical
t Q R Q m F ù a X Z M p f n j V h ǒ r G	grammatical
u a u w L é é ú ó è t O ù u X c I ě k b	grammatical
w ě O Q B W Q C è E z n è w a B x p h X	grammatical
x E s L r a X f H q n é ǔ Q ǔ L Z X V h	grammatical
y h K h p á i F a x G M ó W B i Y E T ǎ	grammatical
ù ǔ ǔ R N p B è R K v s m F M X ě A h k	ungrammatical
ǔ ú O c y n m ǎ V C f C P L ú x Z j é C	ungrammatical
á R c é c ò E á U q c i l l W I a n K d	ungrammatical
à l W k ǒ w B q Z ò l Q d L Q w h k A F	ungrammatical
é E h à n ǔ X C D D X F è w ú ò d F X s	ungrammatical
è b ú Z I a B R ǔ ǎ G ó f L m C U ǒ ù g	ungrammatical
ě x K n è k è à D P W U Y J H à d F q x	ungrammatical
ò D u B W ò R b d v ǒ à G q T D á C I n	ungrammatical
ǒ W u d ǎ n t á X g x ù q t K ǒ l ǔ ǎ t	ungrammatical
ú r f p W s ǎ p ǎ h m r D i S y f x n x	ungrammatical
B à S F x è N á ǒ Q M P ú é ù t q w g Y	ungrammatical
C N b Q e c V V T V m J p N ú ě t è f a	ungrammatical
D d é X o è J o z O Z j i A ǒ C y s B a	ungrammatical
F ǔ k s W ǒ H l q ě i t ǎ è O I H m u V	ungrammatical
G C A e e s K w a z w h i Q ǔ v z ò á I	ungrammatical
H b ǒ A F H V G C m Z S H z P é y ù l S	ungrammatical
I x m r O y k k l d B ú Z x k P D ě h H	ungrammatical
K B E r B w f X x O k m U ó e O x ǔ Z Y	ungrammatical
L d ě ě F x H s V E i h E k k H T F ǒ ǒ	ungrammatical
N ù y p y T U u Z O J u g W o Z b M à L	ungrammatical
O ú E ù J ù n k ú A à R D b H o M Z Z é	ungrammatical
P Z y w G ó o j r O u S U j è u g M E Q	ungrammatical
R ǎ F j h M g ò E i n j L Q F d B G s a	ungrammatical
S O p p F ǔ p d i x ǔ c Z l R d H E d x	ungrammatical
T Z P ò à s M ǔ V c ù i J ǒ S d d T X S	ungrammatical
U f h t k u è r U N w y i d A Y S G é J	ungrammatical
V t ǎ I v u z b B T u y é Y ǔ b P O L f	ungrammatical
X à n p J V J V j c r C ú ǎ n ǎ v I P Q	ungrammatical
