step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.038967,-53.906585693359375,-54.44610595703125,soft_tsl2,32,0.001,40.530574798583984
10,0,40.989674,-53.82197952270508,-54.369258880615234,soft_tsl2,32,0.001,40.55528259277344
20,1,40.940395,-53.737491607666016,-54.29248046875,soft_tsl2,32,0.001,40.22582244873047
30,1,40.89081,-53.652320861816406,-54.21522521972656,soft_tsl2,32,0.001,40.5013542175293
40,2,40.841225,-53.56700134277344,-54.13785934448242,soft_tsl2,32,0.001,40.62744903564453
50,3,40.79113,-53.48062515258789,-54.05972671508789,soft_tsl2,32,0.001,41.55559539794922
60,3,40.740788,-53.3936767578125,-53.98115921020508,soft_tsl2,32,0.001,40.360633850097656
70,4,40.69025,-53.30607986450195,-53.902076721191406,soft_tsl2,32,0.001,40.659507751464844
80,5,40.639484,-53.21794509887695,-53.82271957397461,soft_tsl2,32,0.001,40.258548736572266
90,5,40.58825,-53.12857437133789,-53.74235153198242,soft_tsl2,32,0.001,39.57621383666992
100,6,40.537094,-53.03943634033203,-53.6623649597168,soft_tsl2,32,0.001,41.91753005981445
110,6,40.485477,-52.949302673339844,-53.58164978027344,soft_tsl2,32,0.001,40.371891021728516
120,7,40.43363,-52.858577728271484,-53.50053405761719,soft_tsl2,32,0.001,39.05291748046875
130,8,40.38182,-52.76736068725586,-53.419105529785156,soft_tsl2,32,0.001,40.3478889465332
140,8,40.329906,-52.67588806152344,-53.3375244140625,soft_tsl2,32,0.001,40.395145416259766
150,9,40.27765,-52.58353805541992,-53.2553825378418,soft_tsl2,32,0.001,41.04583740234375
160,10,40.22537,-52.490936279296875,-53.17320251464844,soft_tsl2,32,0.001,38.93061065673828
170,10,40.172596,-52.39736557006836,-53.09038543701172,soft_tsl2,32,0.001,38.755680084228516
175,10,40.1463,-52.35068130493164,-53.04908752441406,soft_tsl2,32,0.001,39.4703254699707
