step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.06449,-53.94507598876953,-54.50341033935547,ptsl2,32,0.001,41.26445770263672
10,0,41.02421,-53.88387680053711,-54.44673538208008,ptsl2,32,0.001,41.51480484008789
20,1,40.984207,-53.82272720336914,-54.39035415649414,ptsl2,32,0.001,41.06238555908203
30,1,40.944363,-53.7618293762207,-54.334251403808594,ptsl2,32,0.001,40.769256591796875
40,2,40.90468,-53.7011604309082,-54.27830505371094,ptsl2,32,0.001,40.85775375366211
50,3,40.86493,-53.64022445678711,-54.22227096557617,ptsl2,32,0.001,41.02173614501953
60,3,40.824825,-53.57899475097656,-54.16603469848633,ptsl2,32,0.001,40.65998840332031
70,4,40.78491,-53.51751708984375,-54.109649658203125,ptsl2,32,0.001,41.075279235839844
80,5,40.744965,-53.45603561401367,-54.05327606201172,ptsl2,32,0.001,41.031578063964844
90,5,40.7052,-53.394744873046875,-53.997169494628906,ptsl2,32,0.001,41.424842834472656
100,6,40.665035,-53.33296203613281,-53.9405403137207,ptsl2,32,0.001,40.91787338256836
110,6,40.62495,-53.27113723754883,-53.88399887084961,ptsl2,32,0.001,40.63217544555664
120,7,40.584743,-53.208919525146484,-53.827335357666016,ptsl2,32,0.001,40.578147888183594
130,8,40.544674,-53.146793365478516,-53.770973205566406,ptsl2,32,0.001,39.95481872558594
140,8,40.50473,-53.08480453491211,-53.714813232421875,ptsl2,32,0.001,40.68212890625
150,9,40.464615,-53.02263641357422,-53.658180236816406,ptsl2,32,0.001,40.49806213378906
160,10,40.424644,-52.96051025390625,-53.601688385009766,ptsl2,32,0.001,39.430660247802734
170,10,40.385174,-52.898807525634766,-53.546085357666016,ptsl2,32,0.001,42.40007019042969
175,10,40.365177,-52.86777877807617,-53.5179443359375,ptsl2,32,0.001,40.02729415893555
