grammatical	ungrammatical
ù ù é f s e L F y w t N P q h ú g ě r D	ù ù é f s e L F y w t g P q h ú g ě r D
ǔ M V C J P w b q g v é á R è é l Z G f	ǔ M V C J P w b q g v g é á R è é l Z G f
á j p X l z W é Q B ǎ g T ě f l y l E a	á j p X l z W é Q B ǎ C T ě f l y l E a
à w l M I S G p é V D k g ě r O R ó j s	à w l M I S G p é V D k z ě r O R ó j s
é B b q ò k G c K R Q Q g M X ú A r Z Q	é B b q ò g G c K R Q Q g M X ú A r Z Q
è V g à W F w ǒ y c h C I I h H T A A D	è V D à W F w ǒ y c h C I I h H T A A D
ě v M n ò ǎ w ú ǒ n d ǔ á y g á h J p è	ě v M n ò ǎ w ú ǒ n d ǔ á y è á h J p è
ò J g i k x X z i à R E X ǎ E E d L E P	ò J g i k x X z i à R E X ǎ g E E d L E P
ǒ g G M é Y ǎ K E O m ú ú Q l H a é w è	ǒ U G M é Y ǎ K E O m ú ú Q l H a é w è
ú o ǔ z t ò v A Y á á ě V c m E G m r g	ú o ǔ z t ò v A Y á á ě g V c m E G m r g
A x c F U d d p h s J C a n y p q Q m g	A x c F U g d p h s J C a n y p q Q m g
C D m e V ó A U E g a t P J u h n E M N	C D m e V ó A U g E g a t P J u h n E M N
D T g ǔ è q G u R b Y j X S s v H l B G	D T g ǔ è q G u R b Y j g S s v H l B G
E k Q á u R F Z b n Y U g E p s G ě q X	E k Q á u R F Z b n Y U p E p s G ě q X
G ě p ǎ g G W J A K J R O L I G T ò o m	G ě p ǎ v G W J A K J R O L I G T ò o m
H A q t t O S ǒ h o Q P Q ú S g N S u k	H A q t t O S ǒ h o Q P Q ú S ú N S u k
I T ù b Z u E A X g N e t Q x U W ǎ x G	I T g ù b Z u E A X g N e t Q x U W ǎ x G
J q ú F O i á y z o b f h T P u q p g ù	J q ú F O i á y z o b f h T P u q p o ù
L ǔ v F Q c ě X p c c Q u u t b A J g Q	L ǔ v F Q c ě X p c c Q u u t b A J N Q
M ǒ e B S à r i ú A U à á g q L q c y ǎ	M ǒ e B S à g r i ú A U à á g q L q c y ǎ
N W p D g u e P a K ě q E c s Y M à G W	N W p g g u e P a K ě q E c s Y M à G W
O s m x I J g è ǔ d ù U è R J c ò j E p	O s m x I J g è ǔ d ù U è R J c g j E p
Q C S g l o Q r ò P B q z L ǒ P ǎ P M k	Q C S ù l o Q r ò P B q z L ǒ P ǎ P M k
R U d ó ù Q s g ǎ è i S R é I ě L ú p t	R U d ó ù Q s h ǎ è i S R é I ě L ú p t
S n Z G G ǔ R m Y Q S è y D G j G g ǔ h	S n Z G G ǔ R m Y Q S è y D G j G k ǔ h
U ǒ L c h g è y q U V C ǎ o á R w a r s	U ǒ L c h O è y q U V C ǎ o á R w a r s
V g ò X K ó f N D e h e C v R H a k k V	V Y ò X K ó f N D e h e C v R H a k k V
X ú F A W g T O o o g L b ǎ u i g M g z	X ú F A W g T O o o S L b ǎ u i g M g z
Y c A l á d Z ò W F v ǒ V L s b e c R g	Y c A l á d Z ò W F v ǒ V L s b e c R ě
a à V O B n ǎ T g ó P P y N L I v I x l	a à V O B n ǎ T ó ó P P y N L I v I x l
b O m C j ě B u L Y s g O á z I M E I á	b O m C j ě B u L Y s g O á z I M E I á g
c k Y v l ǒ h A L z ó v j f L E p t g r	c k Y v l ǒ h A L z ó v j f L E p t y r
d x L F P ǒ E ě ú V Z S h i b c T u g ú	d x L F P ǒ E g ú V Z S h i b c T u g ú
f è F Y c X T g v o W h F w n ǔ T ǔ A t	f è F Y c X T K v o W h F w n ǔ T ǔ A t
g ǎ B i m ó H l u à G b ú J u h x I t z	g ǎ B i m ó H l u à G b ú J u h x I t z g
g b F w T w P d ě l m d H ǎ N r q m u á	à b F w T w P d ě l m d H ǎ N r q m u á
h é s è ù M V e Y M à ǔ F w v U g s U U	h é s è ù M V e Y M à ǔ F w v U A s U U
i b u j D ú H T q s f ǒ ò ǔ i I ǒ g x O	i b u j D ú H T q s f ǒ ò ǔ i I g ǒ g x O
