step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.02428,-53.88195037841797,-54.47092819213867,sl2,16,0.01,41.930877685546875
10,0,40.229412,-52.5831298828125,-53.37015151977539,sl2,16,0.01,38.78155517578125
20,0,39.57935,-51.478729248046875,-52.46811294555664,sl2,16,0.01,40.22057342529297
30,0,39.063618,-50.559322357177734,-51.741458892822266,sl2,16,0.01,37.25685119628906
40,1,38.67197,-49.81918716430664,-51.18021774291992,sl2,16,0.01,35.74945831298828
50,1,38.38529,-49.2394905090332,-50.76138687133789,sl2,16,0.01,35.84286880493164
60,1,38.17507,-48.78360366821289,-50.45539093017578,sl2,16,0.01,38.17975997924805
70,2,38.027122,-48.42845916748047,-50.20688247680664,sl2,16,0.01,37.30259323120117
80,2,37.921127,-48.15021896362305,-50.03034973144531,sl2,16,0.01,34.339698791503906
90,2,37.8371,-47.91769790649414,-49.88262939453125,sl2,16,0.01,37.67287826538086
100,3,37.77168,-47.723819732666016,-49.7478141784668,sl2,16,0.01,34.47492599487305
110,3,37.728428,-47.574851989746094,-49.64933776855469,sl2,16,0.01,35.25782775878906
120,3,37.688812,-47.44134521484375,-49.552879333496094,sl2,16,0.01,36.30419921875
130,4,37.657246,-47.32330322265625,-49.47944641113281,sl2,16,0.01,34.418052673339844
140,4,37.635,-47.223819732666016,-49.42934036254883,sl2,16,0.01,34.20978546142578
150,4,37.62406,-47.148155212402344,-49.372169494628906,sl2,16,0.01,33.41078186035156
160,5,37.61321,-47.06990432739258,-49.31365203857422,sl2,16,0.01,36.287071228027344
170,5,37.60643,-47.01032257080078,-49.29429626464844,sl2,16,0.01,33.570491790771484
180,5,37.608772,-46.960914611816406,-49.27934646606445,sl2,16,0.01,37.6652717590332
190,5,37.60322,-46.89590835571289,-49.212677001953125,sl2,16,0.01,34.923030853271484
200,6,37.611603,-46.84986114501953,-49.1600456237793,sl2,16,0.01,34.075862884521484
210,6,37.616505,-46.814727783203125,-49.13147735595703,sl2,16,0.01,34.12493133544922
220,6,37.61686,-46.780540466308594,-49.115211486816406,sl2,16,0.01,35.51961898803711
230,7,37.623875,-46.75136184692383,-49.12356185913086,sl2,16,0.01,34.00636672973633
240,7,37.630566,-46.72246551513672,-49.11832809448242,sl2,16,0.01,36.04198455810547
250,7,37.63849,-46.69890213012695,-49.10691833496094,sl2,16,0.01,35.18379211425781
260,8,37.66106,-46.69169235229492,-49.1153678894043,sl2,16,0.01,34.823890686035156
270,8,37.679848,-46.68041229248047,-49.10801696777344,sl2,16,0.01,34.66743850708008
280,8,37.689594,-46.65793991088867,-49.0914421081543,sl2,16,0.01,34.06343078613281
290,9,37.696503,-46.63972473144531,-49.094425201416016,sl2,16,0.01,34.754451751708984
300,9,37.714996,-46.64548873901367,-49.12160873413086,sl2,16,0.01,34.68626403808594
310,9,37.730526,-46.63866424560547,-49.1207275390625,sl2,16,0.01,35.85869598388672
320,10,37.733353,-46.60437774658203,-49.09278869628906,sl2,16,0.01,35.958335876464844
330,10,37.728504,-46.571041107177734,-49.042537689208984,sl2,16,0.01,35.04084777832031
340,10,37.742508,-46.560367584228516,-49.048362731933594,sl2,16,0.01,33.177127838134766
350,10,37.768578,-46.56255340576172,-49.07843017578125,sl2,16,0.01,35.337074279785156
351,10,37.770542,-46.562313079833984,-49.08012390136719,sl2,16,0.01,31.438241958618164
