grammatical	ungrammatical
ù á J P u O l ǎ T I V p a q a a a T a a	ù á J P u O l ǎ T I V p a e q a a a T a a
ǔ P ò R á a F a I R v M O l a A q a a ǎ	b P ò R á a F a I R v M O l a A q a a ǎ
à D B L N G G T a ǒ ě L à è ù T a a a a	à D B L N G G T á ǒ ě L à è ù T a a a a
ǎ J p ù á ó S a ǔ G Z u T t ò a a a C a	ǎ J p ù á ó S a ǔ G k Z u T t ò a a a C a
é a a x H T n W J H a q a a G f ǎ H g a	é J a x H T n W J H a q a a G f ǎ H g a
ě è N U à x a U a a ù a a e P ǒ M Q y é	ě i N U à x a U a a ù a a e P ǒ M Q y é
ó a G a G a q ù a á S s a V ǎ R è n a Q	ó k a G a G a q ù a á S s a V ǎ R è n a Q
ǒ ǎ P ǒ Y ǎ a a a N a p D B v y A q a I	ǒ ǎ P ǒ Y ǎ a a r N a p D B v y A q a I
ú a D F a Q a n a X ó ǒ ǎ X K a w N à c	ú F D F a Q a n a X ó ǒ ǎ X K a w N à c
B à B ǎ ǔ F r U I a a a K y a a ǎ Q ú O	f B à B ǎ ǔ F r U I a a a K y a a ǎ Q ú O
C V r n á m a L w a ě s O a l R a u à a	C V r n á m Q L w a ě s O a l R a u à a
D n é a a A S a V U F w S n X ò a V S a	D n b a a A S a V U F w S n X ò a V S a
F a ǔ s C a V t r J a a D è E ò I a k g	F a ǔ s C k a V t r J a a D è E ò I a k g
G q a T D ǎ a G ǒ n H s a o a a K è y s	G q a T D ǎ a G ǒ n H d s a o a a K è y s
I T s E ò a a a ò R A A a z ǒ H ǎ a C ě	I T s E b ò a a a ò R A A a z ǒ H ǎ a C ě
J r v N ǔ U I O T a a ú a o a é L a V ò	J r v N ǔ U i I O T a a ú a o a é L a V ò
L M r a y l G Y a D V a x a E w ǎ m G a	L M r a y l G Y a D V a x a b w ǎ m G a
M a P Y m z ó Z W a a F K q o á a O a C	k M a P Y m z ó Z W a a F K q o á a O a C
O ò V o a a O r X é a a r z z R P a R A	O ò V o a a O r X b a a r z z R P a R A
P U N S K a z ó P a a a ǔ S s ě u a E O	P U N S K a z ó P a a a ǔ S s b ě u a E O
Q t è p J a ǎ a a à F a ó J O N N N a V	Q t b è p J a ǎ a a à F a ó J O N N N a V
S ú M s a a Y U S E E ǎ A a a a T u ǎ D	S ú M s V a Y U S E E ǎ A a a a T u ǎ D
T a a ù H L v l l a t ǔ x R Z Y a ǔ G a	T a E ù H L v l l a t ǔ x R Z Y a ǔ G a
U y I é w a C p a ǔ a a ó m m Z a E ò r	U y I é w a C p a ǔ a a ó c m m Z a E ò r
W a R M a ǒ ě a N Y ó a ò a A N K O l I	W a R M a ǒ ě a N d Y ó a ò a A N K O l I
