form	categorical_judgment
ù à R è Z ú q a A W J j t u d Q r g ě R	grammatical
ǔ S D x ù m W k n F J U P ǒ a g j o D w	grammatical
á w P q a M u s S S ò q F K à A i b U ǒ	grammatical
ǎ E N H X s Y Q T ó u J è ú b Q V p w a	grammatical
é U U F k ǔ m w p h M N a F v g à C z I	grammatical
è i r G y Q R R c b H p g J M r t à a o	grammatical
ó B f l i l S r E E G à Z g y ǎ ú v X a	grammatical
ò Y f R i T ú a U ě s b w r ò u E h ě r	grammatical
ǒ g u V U j Z W I P n B a f P V G X r I	grammatical
A á U o n j W K Z ǔ ǔ Q A ù h ě è a l w	grammatical
B g H ě v n a ù o T R V e P a r p ǎ m s	grammatical
D è h O x ù a j f M v z v j g G ú w c ú	grammatical
E M q ǔ S C Q v Y ù Z G n J a E K m e A	grammatical
F V x f t B é I K B q a j t C X x ó n e	grammatical
G o M k à Q S r m r p ě b a N u v m W G	grammatical
I ǒ Z a S R J i H ò G S H k W E v ó M w	grammatical
J a é n R D h n B C h W K H X ǔ b S t Z	grammatical
K o ǎ z K E o Y d A a N M g E q D F J ù	grammatical
M F n ǔ é S v U L D o v c j a Q k R u R	grammatical
N T V r L C h c F I X d n H o C o a è I	grammatical
O f S A à C G w è A q T s Z ù E z X y a	grammatical
P r t v C n W G è è v a m f ě ú ù r W é	grammatical
R J k q p L à g ǔ z K p X V j W u a n E	grammatical
S f R ǎ C J ú e a l f D x a ò T k W G k	grammatical
U é j u C c b x P l ǎ N a P ě I u U T i	grammatical
V R ò S ú a Q ù Z I C C ǒ S d y w k à ě	grammatical
W y J P a ǔ A F ó q ǔ ǔ l B ò O c f ó I	grammatical
Y K u ǒ q w A a d b H p h Z c A m y T d	grammatical
Z S y B F a r p è ǎ X X o p ǎ X F N I M	grammatical
a B P S S g y M ò i é T s e T f W P k m	grammatical
a d q B R à z C a x z q M F D l u è W A	grammatical
b ǒ à Y Y a l i m B ě l R ù q u X y e E	grammatical
c V m Z p j á ù a H W Y è R J O c j Q s	grammatical
d v F y N B Y L h s K ě F p i y M z W a	grammatical
f P H A I ǎ K z r a D ù F O h ě è y i ě	grammatical
g c P J a A e a s U l g I z f ǔ ě S ó i	grammatical
h v I à w z t C a X é M S Z N M ù A T ú	grammatical
j J e a W J R s Q ǒ ǒ ǒ v K m C R N A L	grammatical
