form	categorical_judgment
ù ù S Y a X á I U m h a a w b ó h x e T	grammatical
ǔ U Z o ǔ n a a a e k T y I i b d B b ú	grammatical
á k a N n t D w g j u a P L a c l r ò I	grammatical
à z w L Y H x z Z X a Y L à w a a è ú d	grammatical
é L a p ò l W a a y J g ǒ Q z P a T s d	grammatical
è a u ǎ p N è x h L a s a b S X n F R e	grammatical
ó C a O Z a t E Y a é J i P é E S A Q b	grammatical
ò g a a g L H L a V k C f N Q W B s r E	grammatical
ú L O è T L s O a a X z u a E x b C Z ó	grammatical
A s a t U F ú n P I a Q a r s c v k z Y	grammatical
C G k v n h a H a a ù ò O c c E ǔ ě h l	grammatical
D a A D a p E h s G v J R a S b v Q s ǎ	grammatical
F á g a ù P ú W V s V a s U ě ǒ a Q b M	grammatical
G j é a g j t F a k I a K D e G p R e n	grammatical
I E z m u I t ù a a h J á ǔ ǎ a Q G u d	grammatical
J a m a q a y l l y ě M u V s ě u v d n	grammatical
L D t D N a g E o v u q y n N a a Y l d	grammatical
M a P l U s O r l p a X a m à P n p ú b	grammatical
O ě y r F á a N a w i ǒ i a n é O a e ě	grammatical
P a a h a z K ú v L J q X ó ó C x b ě P	grammatical
R A T B E a a Y M C l W a m H d Q Q v ò	grammatical
S a q l a a A x f P P o t L d ě ǒ w G j	grammatical
U P X a a O a W ó ò S p V W è o O G e e	grammatical
V l x x P Y h ù é ě T Y a U L a G a e C	grammatical
X a a à è i S a ò y r F x d ò M W o s k	grammatical
Y u v M ǎ a F l a è C ě M l ǒ P N t a f	grammatical
a ù S i E i x n D a m Q a d p t ù q m u	grammatical
a è m a u a I C V A q b è i Y p Z i h ù	grammatical
a B C z l n a ò a B Q d j f H á Y G J J	grammatical
a I L à à a q x a ó b p h D z o C c ò R	grammatical
a P V n v X i N a M z a ó C m b g ó o é	grammatical
a V S a A a ù I q ǎ A ú e p e A b ù h e	grammatical
a a A q k ǎ W n w m a ò è K ú X o r Y e	grammatical
a a j C z w S ò a y ù h ù U D X b e b l	grammatical
a k a C á a c B b l e W s l Z ǒ U b ú v	grammatical
a q ě w p q D D h k a ò v M é t a e K D	grammatical
a x ó l u D o r k o o a h K h ě a d i X	grammatical
g u K r C h y r h E a g G a a T Y J u e	grammatical
i a H a q ǎ w Y a m r V o J s j ǔ A G b	grammatical
k ǒ á V h a M u a X Q Z h Q j a w d v ò	grammatical
l a U ě M A Y ǒ K s R H R a g a e e w s	grammatical
m o a L D T a H P a z w q V d q I ò V I	grammatical
o B B a y U B ù T a ǒ N ú a ù d é B q i	grammatical
p a u a V K l Q N à a M k ǒ d o ǒ B H o	grammatical
r ě K K Q D à o B a a i a B à J b h i h	grammatical
s a p a C y a o P b D O d à à F r ù m x	grammatical
u ě ú D a S a a D k l G é c k Y à z V B	grammatical
v S ó W ú W ě a z a a r S ǔ n ú á ú e ě	grammatical
w q g a a ù ě W a ě á U ǔ e p P N á T o	grammatical
y X g R a a S I g a ǔ x Z z ó x R f ě z	grammatical
ù ù S Y Y X á I U m h a a w b ó h x e T	ungrammatical
ǔ U Z o ǔ n w a a e k T y I i b d B b ú	ungrammatical
á k d N n t D w g j u a P L a c l r ò I	ungrammatical
à z w L b H x z Z X a Y L à w a a è ú d	ungrammatical
é L a f ò l W a a y J g ǒ Q z P a T s d	ungrammatical
è a u ǎ p N è x h L a s L b S X n F R e	ungrammatical
ó C a O Z U t E Y a é J i P é E S A Q b	ungrammatical
ò g a a g L H L a V k C D N Q W B s r E	ungrammatical
ú L O è T L s O f a X z u a E x b C Z ó	ungrammatical
A s J t U F ú n P I a Q a r s c v k z Y	ungrammatical
C G k v n h a H a Z ù ò O c c E ǔ ě h l	ungrammatical
D e A D a p E h s G v J R a S b v Q s ǎ	ungrammatical
F á g i ù P ú W V s V a s U ě ǒ a Q b M	ungrammatical
G j é a g j t F ú k I a K D e G p R e n	ungrammatical
I E z m u I t b ù a a h J á ǔ ǎ a Q G u d	ungrammatical
J a m a q w y l l y ě M u V s ě u v d n	ungrammatical
L D t D N a g E o v u q y n N a o Y l d	ungrammatical
M a P l U s O r l p Q X a m à P n p ú b	ungrammatical
O ě y r F á a N a w i ǒ i a n é O a x ě	ungrammatical
P O a h a z K ú v L J q X ó ó C x b ě P	ungrammatical
R A T B d E a a Y M C l W a m H d Q Q v ò	ungrammatical
S a q l a n A x f P P o t L d ě ǒ w G j	ungrammatical
U P X a D O a W ó ò S p V W è o O G e e	ungrammatical
V l x x P Y h ù é ě T Y a U L s G a e C	ungrammatical
X a c à è i S a ò y r F x d ò M W o s k	ungrammatical
Y u v M ǎ a F l a è C ě M l ǒ P N t a g	ungrammatical
a ù S i E i b x n D a m Q a d p t ù q m u	ungrammatical
A è m a u a I C V A q b è i Y p Z i h ù	ungrammatical
a B C z l n é ò a B Q d j f H á Y G J J	ungrammatical
a I L à à A q x a ó b p h D z o C c ò R	ungrammatical
a P V n v X i N c a M z a ó C m b g ó o é	ungrammatical
è V S a A a ù I q ǎ A ú e p e A b ù h e	ungrammatical
a a c q k ǎ W n w m a ò è K ú X o r Y e	ungrammatical
a t j C z w S ò a y ù h ù U D X b e b l	ungrammatical
F k a C á a c B b l e W s l Z ǒ U b ú v	ungrammatical
P q ě w p q D D h k a ò v M é t a e K D	ungrammatical
a x ó l u D o r k d o a h K h ě a d i X	ungrammatical
g u K r C h y r h E c g G a a T Y J u e	ungrammatical
i a H a q ǎ w Y F m r V o J s j ǔ A G b	ungrammatical
c ǒ á V h a M u a X Q Z h Q j a w d v ò	ungrammatical
l a U ě M A Y ǒ K s R H R a g ě e e w s	ungrammatical
m o u L D T a H P a z w q V d q I ò V I	ungrammatical
o B B a y U B ù T a ǒ N ú a ù k é B q i	ungrammatical
p a u a b K l Q N à a M k ǒ d o ǒ B H o	ungrammatical
r ě K K Q D à o B a a i a B à J ù h i h	ungrammatical
s è p a C y a o P b D O d à à F r ù m x	ungrammatical
u ě ú D a S a G D k l G é c k Y à z V B	ungrammatical
v S ó W ú W ě a z y a r S ǔ n ú á ú e ě	ungrammatical
w q g a a ù ě W J ě á U ǔ e p P N á T o	ungrammatical
y X g R a b S I g a ǔ x Z z ó x R f ě z	ungrammatical
ù ù ù O K C F J a a P a k Y c f á z b Q ó	grammatical
ǔ Y t a t a H a f r p k l g M h C ǎ à v K	grammatical
à ù l x T à ù l J I X ò à a K ǒ a z a f G	grammatical
ǎ T r ú a ě X l a ó ó P a M j E S q E b A	grammatical
é w p l è ǔ a V t i a O W a t è h S T Z d	grammatical
ě B a r Y a H D a I ò r Z ú c g k y C M X	grammatical
ó a j N D U H s a a R T K G b c U r b a A	grammatical
ǒ ě G é K a v a T ǎ a v ǔ h w e s ǎ A é ú	grammatical
ú h ǎ a a a P x ú T r L C b S Q F i x B a	grammatical
B F Y J á z E o a F y ě é p l G a i a N e	grammatical
C k t a r W m s a x a ò x K ù V P é c r F	grammatical
D y H w X x M I u a ó ú a v M à T a r d ó	grammatical
F a H g w a C B a g e Q d ě à r ǒ q s à n	grammatical
H ě a N a à I I W ǔ H a A e ù x W u h s E	grammatical
I a m U l R w G a p é k J a C v g f E s V	grammatical
