step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.035416,-53.86928176879883,-53.906803131103516,sl2,32,0.01,40.24814224243164
10,0,40.413685,-52.94317626953125,-53.05718231201172,sl2,32,0.01,40.641902923583984
20,1,39.901417,-52.216678619384766,-52.331809997558594,sl2,32,0.01,39.31443405151367
30,1,39.511826,-51.656707763671875,-51.76927185058594,sl2,32,0.01,39.79302978515625
40,2,39.240784,-51.22746276855469,-51.38529586791992,sl2,32,0.01,38.390380859375
50,3,39.021095,-50.89772033691406,-51.059593200683594,sl2,32,0.01,36.745792388916016
60,3,38.857403,-50.646934509277344,-50.8122673034668,sl2,32,0.01,38.93913269042969
70,4,38.739693,-50.45466613769531,-50.632694244384766,sl2,32,0.01,38.119911193847656
80,5,38.629158,-50.29982376098633,-50.45174789428711,sl2,32,0.01,38.19384002685547
90,5,38.539066,-50.17488479614258,-50.29888916015625,sl2,32,0.01,38.92425537109375
100,6,38.486183,-50.080589294433594,-50.213016510009766,sl2,32,0.01,37.93592071533203
110,6,38.446594,-50.00613784790039,-50.14573287963867,sl2,32,0.01,38.66667556762695
120,7,38.403366,-49.941646575927734,-50.06191635131836,sl2,32,0.01,38.59203338623047
130,8,38.38536,-49.88903045654297,-50.03179931640625,sl2,32,0.01,38.52338409423828
140,8,38.38822,-49.845558166503906,-50.04579544067383,sl2,32,0.01,38.53244400024414
150,9,38.351177,-49.80791091918945,-49.973358154296875,sl2,32,0.01,38.55331802368164
160,10,38.324352,-49.77729415893555,-49.91963195800781,sl2,32,0.01,38.72319030761719
170,10,38.33671,-49.75634765625,-49.93580627441406,sl2,32,0.01,39.436519622802734
175,10,38.32939,-49.746463775634766,-49.920318603515625,sl2,32,0.01,38.80099105834961
