grammatical	ungrammatical
ù ù P A ó á o O o S a M P ó Y R a G ǎ a	ù ù P A ó á o O o S a g M P ó Y R a G ǎ a
ǔ J á a z Z a é I l ě E q ò p è I ě a x	ǔ J á a z Z a é I l ě E q ò p è I ě d x
á a a a B r N n i u N v t x S D b L u d	á a x a B r N n i u N v t x S D b L u d
ǎ ě H u a R X M á a á ó M a é ǎ x g w U	ǎ ě H u M R X M á a á ó M a é ǎ x g w U
é A K ò a ò v Q Z ò ò M a X á K B à n a	é A K ò a ò v Q Z ò ò M a X á g K B à n a
è V Z s E ó M u x W a E a u ú I ǎ a r r	è V Z s E ó M u x W a E a u ú e I ǎ a r r
ě a S t W D a K Y U H Z Z U ó W a F i Y	ě a S t W D a K Y U H Z Z c U ó W a F i Y
ò á w H M Z l L a V I z q a p m T H a O	ò á w H M Z l L V I z q a p m T H a O
ǒ R l a é G Z v X á P ě v N a t a M d e	ǒ R l a é G Z v X j á P ě v N a t a M d e
ú a Y W D a X y D M Y R C N a B ù k ǔ r	ú a Y W D a X e D M Y R C N a B ù k ǔ r
A z o m F a U B L Q a J S á W ǒ n ǒ q a	A z o m F a U B L Q a J c á W ǒ n ǒ q a
C E P p è a a a y f v P ú y K ǔ ù v g V	C b E P p è a a a y f v P ú y K ǔ ù v g V
D Y è X a n ě R L F v a R w H a P H g D	D Y è X á n ě R L F v a R w H a P H g D
E x Z y l u ǔ M w s á a E Z J S a v m a	E x Z y l u ǔ M w s á a E h J S a v m a
G R o F l G K W a x a w x a H D L E P j	G R o F l G K W a x a w j a H D L E P j
H a á C v E V ù z ǎ a m ǒ K X O X p ó a	H a á C v E V ù z ǎ ǎ m ǒ K X O X p ó a
I l F a C A N ò è L Z á H W a S N v w a	I l F x C A N ò è L Z á H W a S N v w a
J u l G a P R Z p a a é e e n H é ě á f	J u l G a P R Z p ǒ a é e e n H é ě á f
L O a D C Q a ò ù v a p à l z t á j j s	L O a D C Q a ò ù v E p à l z t á j j s
M a ě O a K V r W ú a I k n e D Q A A V	M a ě O Y K V r W ú a I k n e D Q A A V
N a I a H ù ǒ C a I y r é r c ǎ ò w c ù	N a I a k H ù ǒ C a I y r é r c ǎ ò w c ù
O z a V Z ǎ a C T Y q I Z s O à R a g m	O e a V Z ǎ a C T Y q I Z s O à R a g m
Q U Q a B t p J w a a q Z I r D h L s w	Q U Q a B t f p J w a a q Z I r D h L s w
R a P y M ǔ J x B ù V ú a a q n Q r b Z	R a P y M ǔ J k x B ù V ú a a q n Q r b Z
T ǎ L K a T s à a r a x ú ě Y d C ú I R	T ǎ L K a T s à a r l x ú ě Y d C ú I R
U H S a á w é ò v F á K a a M à e ó e O	U H h S a á w é ò v F á K a a M à e ó e O
V V ù C w á N J a a H R a D M U J S w ǎ	V V ù C w á N J a è H R a D M U J S w ǎ
W r p é N r Q é N X a P y s H a y a A K	W r p é N r Q é N X a P y s H a y k a A K
