grammatical	ungrammatical
ù ù ú t z L ú o L X è N h á a H S ǎ P ú	ù ù ú t z L ú o L X è N h á b a H S ǎ P ú
ǔ ò ǎ ě D Y é a K A I X M c i Z t H b ò	ǔ ò ǎ ě D Y é t K A I X M c i Z t H b ò
á D E q B M á A V o g u g h J R v B a ó	á D E q B M f á A V o g u g h J R v B a ó
à R Q ě k H s M o j U è L z y u Z a á W	à R Q ě k d H s M o j U è L z y u Z a á W
ǎ W Q l W é o L è r o W E a Z ú Q V x ǔ	c W Q l W é o L è r o W E a Z ú Q V x ǔ
é a è x G c d q t I s w G t U V ú ǔ P è	é p è x G c d q t I s w G t U V ú ǔ P è
è p ù W C L à G à a I e ǒ u ě S c b d A	e è p ù W C L à G à a I e ǒ u ě S c b d A
ó è p è g R U w Q a á j H h W ó V s u D	ó è p c è g R U w Q a á j H h W ó V s u D
ò ò A Q w a Z k X d f á N H f r P o y X	ò ò A b Q w a Z k X d f á N H f r P o y X
ǒ T I ě R q ù R i R z h ě á Y o a w G d	ǒ T I ě R q ù e R i R z h ě á Y o a w G d
ú p u S Y v z ú w N K P X Y a g j á é A	ú p u S e v z ú w N K P X Y a g j á é A
A r s P é z C p i P z Y o a é T H w Z c	A e r s P é z C p i P z Y o a é T H w Z c
C ǒ m w a G w U P p f h o V i b B á e c	C ǒ m w a G w U P b f h o V i b B á e c
D Q M u E ú j a m ǔ n x C u G i U J ú Z	d D Q M u E ú j a m ǔ n x C u G i U J ú Z
E j t C K ǔ L a L f L Q D à ó G R d b ó	E j t C K ǔ L ǒ L f L Q D à ó G R d b ó
G ó a l J ù ǎ X J h i F G è é i y g t y	G ó a b l J ù ǎ X J h i F G è é i y g t y
H K D T K S j X ú N J a l g ǔ w A v i y	e K D T K S j X ú N J a l g ǔ w A v i y
I a N Q ó I A á ó l ǎ ě x o O ě t N F z	I a N Q ó I A á ó l ǎ ě x b o O ě t N F z
J x S a ǒ H U J X ú q Q X y é F e Z M G	J x S a ǒ H U J X ú q b Q X y é F e Z M G
L ǒ ǒ F n T z Y B H h Y v N à G s L U a	L ǒ ǒ F n c z Y B H h Y v N à G s L U a
M J H y a q w s ó ǒ Q o F J H f I W Q E	M J H f a q w s ó ǒ Q o F J H f I W Q E
N R H è j à u ě V T F H r Z M g g K a B	N R H è j à u ě V T F H r Z M g g K d a B
O a ò o ò N A r X P ǎ ò Z o L y O F D K	O Y ò o ò N A r X P ǎ ò Z o L y O F D K
P k B ǔ ú á l L j X a E z ù è k A N Y ù	P k B ǔ ú f á l L j X a E z ù è k A N Y ù
Q z Z N g X m I ǒ t z F y i ù I a S é H	Q z Z N g X m I ǒ t z F y i ù d I a S é H
S ǒ a g L á ù n f t E B y x à S b r ú G	S b ǒ a g L á ù n f t E B y x à S b r ú G
T J ú J W D z H i g Z à n U a d Y ò P C	T J ú J W D z c i g Z à n U a d Y ò P C
U l w i ě ě K R x M o á p u W a s ù G n	U l w i ě ě K R x M o á p b u W a s ù G n
W E ǒ ò h à W O ò j u u a M Z Q p g z f	W E ǒ ò h à W O ò j u u o M Z Q p g z f
X R Q R a K X N B V O L J à G ù h f J ú	X R Q R r K X N B V O L J à G ù h f J ú
Y o A R u q Q H O a é M c k U r c q e f	Y o A R u q Q H O ǎ é M c k U r c q e f
Z z l k Q n ǒ y ó D ǔ a V z M Z H k Y ǔ	Z z l k Q n ǒ y ó D ǔ l V z M Z H k Y ǔ
a J X ǒ f e ó j s ó m X j h è b i J V O	à J X ǒ f e ó j s ó m X j h è b i J V O
a c ě K U Y è R I u r ó ǔ u E m b t p Q	a P ě K U Y è R I u r ó ǔ u E m b t p Q
a w z U q N D ǎ A t G ǒ n K r ù Q d à j	a w b U q N D ǎ A t G ǒ n K r ù Q d à j
g y U ǔ p w s è ú á E m x J x R a ǎ h A	g y U ǔ e p w s è ú á E m x J x R a ǎ h A
i N W a E c W V s E H F D H V b v j m ě	i N W b E c W V s E H F D H V b v j m ě
j g D s i j H P a v L v W X s y á T k c	j g D s i j H P K v L v W X s y á T k c
k t u Z h a T f p ú b O u g m ù p a ò ě	k t u Z h è T f p ú b O u g m ù p a ò ě
m ě v k h ǎ I M C S v I n H C R a s l K	m ě v k h ǎ I M C S c I n H C R a s l K
n Q Z w é s ù é z i ù G A ǔ u v é ò Z a	n Q Z w é s ù é z i ù f G A ǔ u v é ò Z a
o a j g I J V c ǔ J G y G m y y c e N z	o c a j g I J V c ǔ J G y G m y y c e N z
p q ǎ Y P F é r U p H Y Q a s E c n L q	p q ǎ Y P F c r U p H Y Q a s E c n L q
r ó N G W j q D R g à u M D a L I X ě U	r ó N G W j q D R g à u M f a L I X ě U
s V ù Q ě I a A k n á é r w z n V S á x	s V ù c ě I a A k n á é r w z n V S á x
t j v h a w l ó Q q m s p P S D u p N é	t j v h a w l ó Q q m s p P S b D u p N é
u x D n h F t ǔ i R R T à h à m a T H q	u x D n h F t ǔ i R R T à h à f a T H q
w H H Y á m W Q ò a o v X v B I O N I w	w H H Y á m W Q ò a o v X v B I b O N I w
x K é D V a o f L p D R V p y ǎ ǒ e V h	b x K é D V a o f L p D R V p y ǎ ǒ e V h
y i i ó L I ǎ A ú K s ó v s u W q a D C	y i i ó L I ǎ A ú K s ó v s u W q L D C
ù ù è Z g L k ò T l a y w D j w N T u e l	ù ù è Z g b k ò T l a y w D j w N T u e l
ǔ è J K u N j X s a i ó ǔ k H V D N ù K s	ǔ è J K u N b j X s a i ó ǔ k H V D N ù K s
á C á F ǎ Y á j Z à G V k y H s j y á a K	á C á F ǎ Y á j Z à G V k y H s j y á E K
à Y R j ó L ǒ ě Z ě ě a M F i e j B T U E	à Y R j ó L ǒ ě Z ě ě é M F i e j B T U E
ǎ o t x G r R Y y h F B O A à ò F ò m a p	ǎ o t x G r R Y y h F B O A à ò F ò m ǒ p
è A x a u ó s j H ǎ X i z L k q i R w Q ǎ	è c A x a u ó s j H ǎ X i z L k q i R w Q ǎ
ě Z l W y a K a n m r ú P è x q ò V Y f H	ě Z f l W y a K a n m r ú P è x q ò V Y f H
ó o Q D a u L v à W f c R U N U à n o v O	ó o Q D z u L v à W f c R U N U à n o v O
ǒ ě q U j a ě e ù ó n p i b ò P è k K u b	ǒ ě q U j a ě D ù ó n p i b ò P è k K u b
ú X a m X S V E o S V z L ù Z s X D J n j	ú X a m X S V E o S V z L ù Z s X b J n j
A Z L á v B F ó Q ò z a c é s ě ě A Z W e	A Z L f á v B F ó Q ò z a c é s ě ě A Z W e
B u h p L a ǔ I o c t ù d ò h l Q U à E ǎ	B u h p L A ǔ I o c t ù d ò h l Q U à E ǎ
D G a l V ǒ O W a B R e P u C u I à d o y	D G a l V ǒ O b W a B R e P u C u I à d o y
E T a N h o e F Y ú K è ǔ ǔ p á S F ǎ Y d	E T d N h o e F Y ú K è ǔ ǔ p á S F ǎ Y d
F s j y j Z ǒ D A a f k O k P q x M b r C	F s j y j Z ǒ D A a A k O k P q x M b r C
H A H Z q a p L g L U t w l ú j J J B Y P	H A H Z q L p L g L U t w l ú j J J B Y P
I I ǒ j F g T a W m ó X G t y N g o t S ǒ	I I ǒ j F g b a W m ó X G t y N g o t S ǒ
J R F Q W A L G a ǔ ǎ Q P p n R U ó ù á N	J R F Q W A L G a ǔ ǎ Q P b n R U ó ù á N
K W o X a c q w X m n T d t D o F é Y x B	K W o X ǎ c q w X m n T d t D o F é Y x B
L l P T X ǒ z S C u x à u Q a v q V á I ù	L l P T X ǒ z S C u x à u Q X v q V á I ù
M z m n k y Y R u à w r E n P ǎ H k ò à a	M z m n k y Y d R u à w r E n P ǎ H k ò à a
O E a ǒ V D ù m G F m f i j U l U x ǎ n u	O E p ǒ V D ù m G F m f i j U l U x ǎ n u
P h j é x G A T x B o H T ú I z z ò a ó y	P h j é x G A T x B o H T ú c I z z ò a ó y
Q t M è S O ò X M a h D C J m R O h h U ú	Q t M è S O ò X M A h D C J m R O h h U ú
R y a ǔ r U v ú e z C ǔ K N W Y f C B K x	R d y a ǔ r U v ú e z C ǔ K N W Y f C B K x
T B D P ù o A Z F à O B ò I J i r j u a N	T b D P ù o A Z F à O B ò I J i r j u a N
U P z ě i a s Y V B p k t n a è ú J z à m	U e P z ě i a s Y V B p k t n a è ú J z à m
V a k G B é M k U L Q B X B I T n P ě H V	V r k G B é M k U L Q B X B I T n P ě H V
X á B D S h i s J a e ó b O p ǎ f ǔ I Q A	X á B d S h i s J a e ó b O p ǎ f ǔ I Q A
Y G a ù a ě J R ǔ W v F E P ò J D ú e b e	Y G a ù a ě J R ǔ W v F E P ò J D ú y b e
Z K m n M ò j S v V O ě C m D ǎ a X J ó z	Z K m n M ò j S v V O ě C m D ǎ G X J ó z
a ǒ ǔ à x A ò v l o U k t k m R g W H H i	D ǒ ǔ à x A ò v l o U k t k m R g W H H i
