form	categorical_judgment
ù á h ě b b a b ú H ó a C b v A é N f D	grammatical
ǔ Y b t a x v X h Z K g è Y g a b a D z	grammatical
à ǔ b a p a o S F x b a Y f ě a V y c G	grammatical
ǎ b p a á ó i b z a à o b G u t S g J B	grammatical
è a X b b V t a S y b k ǒ k Z M Y b ó a	grammatical
ó ù ó a c ò C S M a b U k T a Q b q n b	grammatical
ò g R à B a A b B F h a Z p N a b á T è	grammatical
ú a n ě b Q m X o E v a j U L C b a E ě	grammatical
B I f k R z g b g O L a O n p a ú m b a	grammatical
C o b a s é t S è b a ě b V r f T a ù j	grammatical
E ǒ z ò U a x S á E M a i O v b a b K F	grammatical
F f O l y b I V b a ǒ l à b Q k z i a v	grammatical
H a B s b U ò a k K n E k b D v F l n a	grammatical
J á e ǔ t ù z C b R k g E a ě I b v a b	grammatical
K b T L t b r k g à a A v b m B G a o y	grammatical
M è è ú a b a T é o G D b Y a m p v v c	grammatical
N c A a ò ù Z b r y ě a b Q x o t è a ǔ	grammatical
P V ǎ Z é U a ú a b M G é a L ò b d y A	grammatical
Q q i L F v a K u U r b N a b G b j O K	grammatical
S W P K ǎ d h X a O è K b a P ó ù K a b	grammatical
T y ě Q a S Z ú F é é x A P k b Q a b a	grammatical
V b a N ò C a F b U v p y ě l J V a H à	grammatical
X R a b a è b ú X s y N n ù H b H f z N	grammatical
Y q a b T w a n l b W b G o q i à q P g	grammatical
a à ú y ó x P L ò n a ò i b P a b w r ě	grammatical
a H ó b C L á è H z Z m D m b n a F s b	grammatical
a S t b J ě s a C é ú x a E é q è b p ú	grammatical
a b P K é h á n a b a p o z c L b V j I	grammatical
a i R b P a ě I i F V b Q h I a ò ǒ R U	grammatical
a t b a y M O ǎ b X z M h ú é a T V V x	grammatical
b ě X g q è a ǒ i J s H I b a U W U M a	grammatical
b J h k I ǎ l à b a ù p b a G e w x M ǔ	grammatical
b V h a u h N a V b Y ó ò q j u a ú P T	grammatical
b a Z m b è N l D C p ǒ s Q z b a Q I ú	grammatical
b k a g b g a Z m K n a D n d A Y à k u	grammatical
b x b t N ǒ V ǒ ò ě N y a ú b a P U ò C	grammatical
d Q b ò ǔ t ǎ p v i b a r ě b m ú ù a c	grammatical
e o b ǒ G Q a b a O b ǔ x T h è n q U X	grammatical
g a b ó a F X v Q i ú ó ǎ v ě n g a p b	grammatical
i M r k a I M a Z x z b y j a T b v w q	grammatical
j i V C ǎ a b U H T a L a L b M z e d ǎ	grammatical
l Q e y U D ú b a ǎ r b ǎ é b a ǒ ǒ i p	grammatical
n ě C b a n Q J ǎ b E a ǎ m u ǒ H ǔ b C	grammatical
o a Y b ò R L t F Z S k ě b M U a B b ǒ	grammatical
q D W U i a W ǎ b w a K w m a G l b I j	grammatical
r z Y P l g b a X b i o m à O a b b ù C	grammatical
t Y ó U a b à à b x j o ù g a R J b c w	grammatical
u z j O G x s ǎ a Y b m ǒ l a b a N w á	grammatical
w a j b é D a d B i F I l ò b a V x B b	grammatical
y O h u a B U M T T b a á b B C N b Z z	grammatical
ù á h ě b b a b ú H ó a C b v A a N f D	ungrammatical
ǔ Y b t a x v X h Z K g è b Y g a b a D z	ungrammatical
à ǔ b a b a o S F x b a Y f ě a V y c G	ungrammatical
ǎ b p a á ó i b z a à o b a G u t S g J B	ungrammatical
è a X b b V t a S y b k ǒ k a M Y b ó a	ungrammatical
ó ù ó a c ò C S M a b U k T a Q b q a n b	ungrammatical
ò g R à B a A b B F h a Z b N a b á T è	ungrammatical
ú a n ě b Q m X o E v a j U L C b a b E ě	ungrammatical
B I f k R z g b g O L a b n p a ú m b a	ungrammatical
C o b a s é t S è b a ě b V r a f T a ù j	ungrammatical
E ǒ z ò U a x S á b E M a i O v b a b K F	ungrammatical
F f O l y b I a V b a ǒ l à b Q k z i a v	ungrammatical
b a B s b U ò a k K n E k b D v F l n a	ungrammatical
J á e ǔ t ù z a C b R k g E a ě I b v a b	ungrammatical
K b a T L t b r k g à a A v b m B G a o y	ungrammatical
b è è ú a b a T é o G D b Y a m p v v c	ungrammatical
N b A a ò ù Z b r y ě a b Q x o t è a ǔ	ungrammatical
P V ǎ Z é U a ú b a b M G é a L ò b d y A	ungrammatical
Q q i L F v a K u U r b N a b a b j O K	ungrammatical
S W P K ǎ d h X a O è K b a P ó ù b a b	ungrammatical
T b y ě Q a S Z ú F é é x A P k b Q a b a	ungrammatical
V b a b ò C a F b U v p y ě l J V a H à	ungrammatical
X R a b a è b ú a X s y N n ù H b H f z N	ungrammatical
Y q a b T w a n l b a W b G o q i à q P g	ungrammatical
a à ú b y ó x P L ò n a ò i b P a b w r ě	ungrammatical
a H ó b C L á è H z Z a m D m b n a F s b	ungrammatical
a S t b J ě s a C b ú x a E é q è b p ú	ungrammatical
a b P K é h á n a b a p o z S L b V j I	ungrammatical
a i R b P a ě I i F V b Q h I a b ò ǒ R U	ungrammatical
a t b a y M O ǎ b X z M h ú é a b T V V x	ungrammatical
b ě X g q è a ǒ i J s H I b a U W b M a	ungrammatical
b J h k I a ǎ l à b a ù p b a G e w x M ǔ	ungrammatical
b V h a b h N a V b Y ó ò q j u a ú P T	ungrammatical
b a Z m b è N l D C p ǒ s Q a z b a Q I ú	ungrammatical
b k a g b g a Z m b n a D n d A Y à k u	ungrammatical
b x a b t N ǒ V ǒ ò ě N y a ú b a P U ò C	ungrammatical
d Q b ò ǔ a ǎ p v i b a r ě b m ú ù a c	ungrammatical
e o b ǒ G Q a b a O b ǔ x T h è n q a X	ungrammatical
g a b ó a F X v Q i ú ó ǎ v b ě n g a p b	ungrammatical
i M r k a b I M a Z x z b y j a T b v w q	ungrammatical
j i V C ǎ a b U H T a L b a L b M z e d ǎ	ungrammatical
l Q e y U D ú b a ǎ r b a ǎ é b a ǒ ǒ i p	ungrammatical
a ě C b a n Q J ǎ b E a ǎ m u ǒ H ǔ b C	ungrammatical
o a Y b ò R L a t F Z S k ě b M U a B b ǒ	ungrammatical
q D W U i a W ǎ b w a K w b m a G l b I j	ungrammatical
r z Y a l g b a X b i o m à O a b b ù C	ungrammatical
t Y ó U a b à a b x j o ù g a R J b c w	ungrammatical
u z j O G x s ǎ a Y b m ǒ l a b a N b á	ungrammatical
w a j b é D a g B i F I l ò b a V x B b	ungrammatical
y O h u a B U M T T b a á b B C N a b Z z	ungrammatical
ù ù a I A ǎ a ú t x w ě G E b V a E b O z	grammatical
ǔ S W à b a b N a s g ú Y u p a é r ǎ i à	grammatical
á q b z a Y ǒ U A G G W o ǎ é l g a b a F	grammatical
ǎ e C ó b G q G A F b a ò F b Q X M a w x	grammatical
è a s ǔ p F b I a v k l Q b v r t O a J K	grammatical
ó ǒ b D a O b ǎ è g t D G b á è a Y O ú b	grammatical
ò b ǎ j a è A Q P b g g k R T ó b W y j a	grammatical
ú I n X b H a k R G x a u b l a Z ó L I A	grammatical
A c a b a a J ù T X b v e Y Z t ò u f F à	grammatical
C b ě k S ù Z m a a b è a R h ó I à M l u	grammatical
E Q é ǒ Q B K g b h s b ǎ ě G a b u F a v	grammatical
F f a q b A m a S Y b m i ó a r à l á L à	grammatical
H Y c é b s ù V b a Q ó b g a ǎ E ǔ I X X	grammatical
J A f a C b O b è D i u a ò h à l L b K z	grammatical
K e b a B b O A Q t P a z b n Y k j ǔ E P	grammatical
M a Z W b E ù s I l i y v b h a ù b W l v	grammatical
N q b n E g a r u I à m m á b l K p a ǎ b	grammatical
P Z G b V I i W N a b R a ǒ á J x F ě V a	grammatical
Q u D n a F a m s ù J q C b s y P k Q a b	grammatical
S S C b B u a O b K C w s o à K k a b T b	grammatical
T u b a b r p b z j a B ǎ Q j ù O J é F á	grammatical
V b D N i ò a b U a f é W i à k j a ǎ w I	grammatical
X ù b a b d O D R a b ǎ J a I h g u G é W	grammatical
Y e b e x b I R n ó a X b N y h H a x ò H	grammatical
a á T ǒ b g t C z C a Z b h a n g R à H g	grammatical
a D j ě f v é O b a b Z J é b X a á I i V	grammatical
a Q x s A Y o C r b b Y S Q L n á Q a r b	grammatical
a b J O q á b i a V C ù X b P L D s ǔ D O	grammatical
a h k v I K á t S h t a Z b N B t a b N T	grammatical
a u o j V ò P a b Z Y a s B r ò á b Q X Q	grammatical
b ě a E ǎ a C X é à b Y T ú P m S a á q m	grammatical
b J ó E q ù Q u x a I b ò b a ú F Y a a U	grammatical
b Y U P H a X B s b S i D M ǎ z a Y J a X	grammatical
b a t w b S a H a b ú R i a x j g á à Q à	grammatical
b q P L t a p b D w V S q B a ù à X r a m	grammatical
c X b h ú J a b p a l s ǎ ó ǒ O k K H Y a	grammatical
e ǎ b g o w a b U a U m b K h e X Z I v m	grammatical
f s u e d a O b Y O G t a D b u W R à a M	grammatical
h a B b A B Q u H w z a b K a Z N A i V o	grammatical
j E n N G z ǒ b V n l a H b a b M ù K x Z	grammatical
k a v m b m a n b J H ǒ ò O L i Y D y j a	grammatical
l z O j b a b Q ú Q a Y y X K B w ó W n b	grammatical
n a X C L L k é a b ě ě a A b P Y W b ǒ s	grammatical
p ǎ W a S Z z H A b a C b L v a y u m h e	grammatical
q a ǔ J b y D a ú E O L b é a h P H k è G	grammatical
s é Y r p d ó a b A N i a h b ó A R M b v	grammatical
t b B a b Z ó H ě J ǎ ǎ c r k b a e L ě J	grammatical
v O é a b I a b e a K G Z q t ǒ b u U B ú	grammatical
w j b a x C T è d K b a b G i Y ě L a u s	grammatical
y X a U T a b b ú è O l a z r é b n a b z	grammatical
ù ù a b A ǎ a ú t x w ě G E b V a E b O z	ungrammatical
ǔ S W à b a b N a s g ú Y b p a é r ǎ i à	ungrammatical
á q b z a Y ǒ U A G G W o ǎ b l g a b a F	ungrammatical
ǎ e C ó b G q G A F a b a ò F b Q X M a w x	ungrammatical
è a s ǔ p F b I a v k l Q b v r t O a J b	ungrammatical
ó ǒ b D a O b ǎ a g t D G b á è a Y O ú b	ungrammatical
ò b ǎ j a è A Q P b g g k R a ó b W y j a	ungrammatical
ú I n X b H a k R G x b a u b l a Z ó L I A	ungrammatical
