step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.034897,-53.90676498413086,-53.8958625793457,ptsl2,32,0.001,41.38246154785156
10,0,40.99775,-53.853424072265625,-53.844940185546875,ptsl2,32,0.001,39.490501403808594
20,1,40.960556,-53.80075454711914,-53.79355239868164,ptsl2,32,0.001,40.3555793762207
30,1,40.92321,-53.7480354309082,-53.7415657043457,ptsl2,32,0.001,40.971954345703125
40,2,40.885326,-53.69497299194336,-53.68879318237305,ptsl2,32,0.001,41.28302001953125
50,3,40.848152,-53.6417121887207,-53.63749694824219,ptsl2,32,0.001,39.9426155090332
60,3,40.81054,-53.58855056762695,-53.585201263427734,ptsl2,32,0.001,40.20688247680664
70,4,40.77215,-53.53481674194336,-53.53120803833008,ptsl2,32,0.001,39.06940460205078
80,5,40.734455,-53.48136520385742,-53.478660583496094,ptsl2,32,0.001,39.33454132080078
90,5,40.69781,-53.42808532714844,-53.42833709716797,ptsl2,32,0.001,40.49873352050781
100,6,40.65986,-53.37474060058594,-53.37532424926758,ptsl2,32,0.001,41.154563903808594
110,6,40.62223,-53.321250915527344,-53.3228759765625,ptsl2,32,0.001,39.823829650878906
120,7,40.584564,-53.26788330078125,-53.27019500732422,ptsl2,32,0.001,41.47002029418945
130,8,40.54672,-53.214271545410156,-53.217201232910156,ptsl2,32,0.001,40.048248291015625
140,8,40.508793,-53.16068649291992,-53.163516998291016,ptsl2,32,0.001,40.59903335571289
150,9,40.471565,-53.10760498046875,-53.11170196533203,ptsl2,32,0.001,40.658103942871094
160,10,40.43386,-53.054534912109375,-53.058834075927734,ptsl2,32,0.001,39.78173828125
170,10,40.398037,-53.00168991088867,-53.00959396362305,ptsl2,32,0.001,41.42112731933594
175,10,40.3797,-52.97526931762695,-52.98384475708008,ptsl2,32,0.001,41.900630950927734
